BacDiveID,id,level,name,reference,growth,type,temperature,range
1,435,species,Acetobacter aceti,950,positive,growth,26,mesophilic
2,887700,strain,Acetobacter aceti,41703,positive,growth,30,mesophilic
2,887700,strain,Acetobacter aceti,1402,positive,growth,26,mesophilic
2,887700,strain,Acetobacter aceti,46757,positive,growth,30,mesophilic
2,887700,strain,Acetobacter aceti,67770,positive,growth,30,mesophilic
3,178900,species,Acetobacter cerevisiae,731,positive,growth,26,mesophilic
3,178900,species,Acetobacter cerevisiae,33565,positive,growth,30,mesophilic
3,178900,species,Acetobacter cerevisiae,67770,positive,growth,25,mesophilic
4,438,species,Acetobacter pasteurianus,38091,positive,growth,30,mesophilic
4,438,species,Acetobacter pasteurianus,1403,positive,growth,26,mesophilic
4,438,species,Acetobacter pasteurianus,67770,positive,growth,30,mesophilic
5,940265,strain,Acetobacter pasteurianus,35282,positive,growth,30,mesophilic
5,940265,strain,Acetobacter pasteurianus,12589,positive,growth,28,mesophilic
5,940265,strain,Acetobacter pasteurianus,67770,positive,growth,25,mesophilic
6,438,species,Acetobacter pasteurianus,12590,positive,growth,28,mesophilic
6,438,species,Acetobacter pasteurianus,67770,positive,growth,25,mesophilic
7,1226664,strain,Acetobacter pasteurianus,12591,positive,growth,28,mesophilic
7,1226664,strain,Acetobacter pasteurianus,67770,positive,growth,25,mesophilic
8,1231342,strain,Acetobacter orleanensis,1704,positive,growth,28,mesophilic
8,1231342,strain,Acetobacter orleanensis,46760,positive,growth,30,mesophilic
8,1231342,strain,Acetobacter orleanensis,46760,positive,growth,25-30,mesophilic
8,1231342,strain,Acetobacter orleanensis,67770,positive,growth,30,mesophilic
9,104100,species,Acetobacter lovaniensis,1703,positive,growth,28,mesophilic
9,104100,species,Acetobacter lovaniensis,67770,positive,growth,28,mesophilic
10,104097,species,Acetobacter estunensis,1705,positive,growth,28,mesophilic
10,104097,species,Acetobacter estunensis,67770,positive,growth,25,mesophilic
11,1307917,strain,Acetobacter pomorum,4505,positive,growth,30,mesophilic
11,1307917,strain,Acetobacter pomorum,23232,positive,growth,30,mesophilic
11,1307917,strain,Acetobacter pomorum,32837,positive,growth,30,mesophilic
12,1307903,strain,Acetobacter cerevisiae,5318,positive,growth,28,mesophilic
12,1307903,strain,Acetobacter cerevisiae,41779,positive,growth,30,mesophilic
12,1307903,strain,Acetobacter cerevisiae,67770,positive,growth,30,mesophilic
13,1307910,strain,Acetobacter malorum,5310,positive,growth,28,mesophilic
13,1307910,strain,Acetobacter malorum,37644,positive,growth,30,mesophilic
13,1307910,strain,Acetobacter malorum,67770,positive,growth,30,mesophilic
14,1307919,strain,Acetobacter syzygii,5994,positive,growth,30,mesophilic
14,1307919,strain,Acetobacter syzygii,33119,positive,growth,30,mesophilic
14,1307919,strain,Acetobacter syzygii,67770,positive,growth,30,mesophilic
15,1307904,strain,Acetobacter cibinongensis,5995,positive,growth,30,mesophilic
15,1307904,strain,Acetobacter cibinongensis,40567,positive,growth,30,mesophilic
15,1307904,strain,Acetobacter cibinongensis,67770,positive,growth,30,mesophilic
16,1307913,strain,Acetobacter orientalis,5996,positive,growth,30,mesophilic
16,1307913,strain,Acetobacter orientalis,33782,positive,growth,30,mesophilic
16,1307913,strain,Acetobacter orientalis,67770,positive,growth,30,mesophilic
17,1307920,strain,Acetobacter tropicalis,5997,positive,growth,30,mesophilic
17,1307920,strain,Acetobacter tropicalis,67770,positive,growth,30,mesophilic
18,1307908,strain,Acetobacter indonesiensis,5998,positive,growth,30,mesophilic
18,1307908,strain,Acetobacter indonesiensis,67770,positive,growth,30,mesophilic
19,1307912,strain,Acetobacter oeni,17309,positive,growth,25,mesophilic
