ncbiTaxID	Genome	Superkingdom	Phylum	Class	Order	Family	Genus
205	GCA_022779145.1	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
218	GCA_022782945.1	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
218	GCA_022787285.1	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
239	GCA_014378745.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
239	GCA_017306835.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
239	GCA_018993165.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
239	GCA_027531125.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
239	GCA_027531465.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
239	GCA_027532705.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
239	GCA_027533275.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
239	GCA_028687115.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
333	GCA_003945765.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
376	GCF_900011265.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium
1396	GCA_025946485.2	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1506	GCA_015058335.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1506	GCA_018054245.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1506	GCA_018063715.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1506	GCA_021632605.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1506	GCA_021636645.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1667	GCA_025924795.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter
1667	GCA_025925425.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter
1667	GCA_025934175.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter
1667	GCA_025935165.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter
1701	GCA_012841325.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium
1720	GCA_003638845.1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1720	GCA_012799005.1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1720	GCA_013393575.1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1720	GCA_018366175.1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1782	GCF_002101775.1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacter
1785	GCA_002786085.1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium
