Source_ID	ncbiTaxID	Name	Type	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1	435	Acetobacter aceti	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
2	887700	Acetobacter aceti	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
2	887700	Acetobacter aceti	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
3	178900	Acetobacter cerevisiae	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
3	178900	Acetobacter cerevisiae	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
3	178900	Acetobacter cerevisiae	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
4	438	Acetobacter pasteurianus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
4	438	Acetobacter pasteurianus	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
5	940265	Acetobacter pasteurianus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
5	940265	Acetobacter pasteurianus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
5	940265	Acetobacter pasteurianus	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
6	438	Acetobacter pasteurianus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
6	438	Acetobacter pasteurianus	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
7	1226664	Acetobacter pasteurianus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
7	1226664	Acetobacter pasteurianus	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
