CCUG Number	cond
53761 AT	Blood agar, aerobic, 37°C
76614T	R2A, aerobic, 30°C, 3days
76604T	Blood agar, aerobic, 30°C
76605T	Blood agar, aerobic, 30°C
76606T	Chocolate agar, CO2 or microaerobic, 37°C
76607T	Blood or FAA or Chocolate agar, anaerobic, 37°C
76608T	R2A agar, aerobic, 30-37°C, 24h
76579T	TSA or blood agar, aerobic, 30-37°C, 24h
76580T	Blood agar, aerobic, 30-37°C, 24h
76581T	7H10 or chocolate agar, aerobic or CO2, 37°C, 5d
76560T	MRS agar, anaerobic, 30°C
76561T	FAA or chocolate agar, anaerobic, 37°C, 72h
76547T	Chocolate or blood agar, CO2, 37°C
76271T	Blood agar, aerobic, 30°C
76272T	Blood agar, aerobic, 30°C
75877T	Blood agar, aerobic, 20-30°C
75668T	Blood agar, aerobic, 30°C, 24h
75669T	R2A agar, aerobic, 30°C, 72h
75670T	Blood or TSA agar, aerobic, 30°C, 48-72h
75671T	Legionella agar, aerobic, 30°C, 2-4 days
75672T	Blood agar, aerobic, 30°C, 24h
75492T	Blood agar, CO2, 37°C
75319T	Blood agar, aerobic, 30°C, 24h
75085T	FAA agar, anaerobic, 37°C, 3days
75230T	Chocolate agar, CO2, 37°C, 24h
75233T	Chocolate agar, CO2, 37°C, 24-48h
75235T	7H10 or Chocolate agar, CO2, 37°C, 3 days
75236T	7H10 agar, aerobic, 30°C, 3 days
75237T	7H10 or chocolate agar, CO2, 37°C or aerobic, 30°, 72h
75192T	Blood agar, aerobic, 30°C, 24h
75193T	Blood agar, aerobic, 30°C, 24h
75194T	Blood agar, aerobic, 30°C, 24h
75195T	Blood agar, aerobic, 30°C, 24h
75196T	Blood agar, aerobic, 30°C, 24h
75176T	Marine agar, aerobic, 30°C, 24-48h
75177T	Marine agar, aerobic, 30°C, 24-48h
75178T	Marine agar, aerobic, 30°C, 24-48h
75179T	R2A agar, aerobic, 30°C, 48h
75084T	Chocolate or FAA agar, anaerobic, 37°C, 1-3 days
75086T	Chocolate agar, anaerobic, 37°C, 48h
75078T	R2A agar, aerobic, 30°C, 2 days
75079T	Blood agar, aerobic, 30°C, 2days
75080T	R2A agar, aerobic, 30°C
74982T	Blood agar, aerobic, 30°C
74983T	Blood agar, aerobic, 30°C, 48h
74870T	Blood agar, aerobic, 30°C
74871T	Blood agar, aerobic, 30°C
74872T	Blood agar, aerobic, 30°C
74873T	Blood agar, aerobic, 30°C
74874T	Blood agar, aerobic, 30°C
74875T	Blood agar, aerobic, 30°C
74795T	Blood agar, CO2, 37°C, 24h
74796T	Blood agar, CO2, 37°C, 24hs
74789T	Blood agar, aerobic, 37°C
74790T	Blood agar, aerobic, 37°C
74754T	Blood agar, aerobic, 30°C, 24h
74755T	Blood or TSA agar, aerobic, 20-30°C
74323T	Marine agar, aerobic, 30°C
74665T	Blood agar, aerobic, 30°C
74666T	Blood agar, aerobic, 30°C
74667T	Blood agar, CO2, 37°C
74668T	Blood agar, CO2, 37°C
74670T	Blood agar, CO2, 37°C
74671T	Blood agar, aerobic, 30°C
74655T	Blood or Chocolate agar, CO2, 37°C
74625T	Blood agar, aerobic, 37°C, 24h
74597T	Chocolate agar, anaerobic, 37°C, 72h
74465T	Blood agar, 37°C, CO2
74466T	Chocolate agar, CO2, 37°C
74467T	Chocolate agar, CO2, 37°C
74468T	Blood agar, 30°C, CO2
74371T	Blood agar, CO2, 37°C
74373T	Blood agar, CO2, 37°C
74374T	Blood agar, CO2, 37°C
74322T	Marine agar, aerobic, 30°C, 3days
74324T	Marine agar, aerobic, 30°C or room temperature, 3days
74330T	Marine agar, aerobic, 30°C, 2days
74332T	Marine agar, aerobic, 30°C, 3days
