Source_ID	Name	Temp	ncbiTaxID
76614T	Ideonella paludis	30	1233411
76604T	Mixta gaviniae	30	665914
76605T	Mixta calida	30	665913
76606T	Eikenella halliae	37	1795832
76607T	Eikenella longinqua	37	1795827
76608T	Ideonella livida	30-37	2707176
76579T	Cronobacter condimenti	30-37	1163710
76580T	Cronobacter universalis	30-37	535744
76581T	Mycobacterium eburneum	37	2035343
76560T	Lactobacillus paragasseri	30	2107999
76561T	Dialister succinatiphilus	37	487173
76547T	Lacticaseibacillus casei	37	1582
76271T	Acinetobacter kanungonis	30	2699469
76272T	Acinetobacter stercoris	30	2126983
75877T	Acinetobacter silvestris	20-30	1977882
75668T	Alcaligenes endophyticus	30	1929088
75669T	Ideonella azotifigens	30	513160
75670T	Ideonella sakaiensis	30	1547922
75671T	Legionella saoudiensis	30	1750561
75672T	Pseudomonas furukawaii	30	1149133
75492T	Streptococcus toyakuensis	37	2819619
75319T	Vibrio paracholerae	30	650003
75085T	Sangeribacter muris	37	2880703
75230T	Corynebacterium gottingense	37	2041036
75233T	Corynebacterium urinapleomorphum	37	1852380
75235T	Mycobacterium engbaekii	37	188915
75236T	Mycobacterium heraklionense	30	512402
75237T	Mycobacterium virginiense	37	1795032
75192T	Enterobacter roggenkampii	30	1812935
75193T	Enterobacter kobei	30	208224
75194T	Enterobacter bugandensis	30	881260
75195T	Phytobacter massiliensis	30	1485952
75196T	Mixta theicola	30	1458355
75176T	Alteromonas antoniana	30	2803813
75177T	Alteromonas lipotrueae	30	2803814
75178T	Alteromonas lipotruiana	30	2803815
75179T	Hydrotalea lipotrueae	30	2803817
75084T	Anaerostipes faecis	37	2880702
75086T	Duncaniella muricolitica	37	2880704
75078T	Ancylobacter lacus	30	2579970
75079T	Ancylobacter dichloromethanicus	30	518825
75080T	Ancylobacter plantiphilus	30	2579975
74982T	Brevundimonas pondensis	30	2774189
74983T	Brevundimonas goettingensis	30	2774190
74870T	Pseudomonas iridis	30	2710587
74871T	Pseudomonas piscicola	30	547007
74872T	Pseudomonas arcuscaelestis	30	2710591
74873T	Pseudomonas pisciculturae	30	2730413
74874T	Pseudomonas mucoides	30	2730424
74875T	Pseudomonas neuropathica	30	2730425
74795T	Gulosibacter hominis	37	2770504
74796T	Pseudoclavibacter triregionum	37	2820673
74789T	Staphylococcus caledonicus	37	2741333
74790T	Staphylococcus canis	37	2724942
74754T	Pseudomonas lalucatii	30	1424203
74755T	Pseudomonas anatoliensis	20-30	2710589
74323T	Winogradskyella forsetii	30	2686077
74665T	Listeria rustica	30	2713503
74666T	Listeria immobilis	30	2713502
74667T	Listeria cossartiae subsp. cossartiae	37	2713603
74668T	Listeria farberii	37	2713500
74670T	Listeria cossartiae subsp. cayugensis	37	2713505
74671T	Listeria portnoyii	30	2713504
74655T	Streptococcus pacificus	37	2740577
74625T	Acinetobacter geminorum	37	2730922
74597T	Veillonella nakazawae	37	2682456
74465T	Neisseria sicca	37	490
74466T	Corynebacterium trachiae	37	1471401
74467T	Corynebacterium pelargi	37	1471400
74468T	Vibrio metoecus	30	1481663
74371T	Streptococcus vicugnae	37	2740579
74373T	Neisseria zalophi	37	640030
74374T	Streptococcus zalophi	37	640031
74322T	Winogradskyella vidalii	30	2615024
74324T	Winogradskyella costae	30	2697008
74330T	Winogradskyella schleiferi	30	2686078
74332T	Winogradskyella ursingii	30	2686079
74333T	Winogradskyella helgolandensis	30	2697010
74293T	Eikenella glucosivorans	37	2766967
74294T	Parvimonas parva	37	2769485
74260T	Pseudomonas sivasensis	30	1880678
74246T	Fusobacterium watanabei	37	2686067
74118T	Streptobacillus canis	37	2678686
74064T	Acinetobacter nosocomialis	30	106654
74036T	Acinetobacter chinensis	30	2004650
74038T	Acinetobacter defluvii	30	1871111
74039T	Acinetobacter sichuanensis	30	2136183
74040T	Acinetobacter wuhouensis	30	1879050
74043T	Acinetobacter cumulans	30	2136182
73951T	Streptococcus caledonicus	37	2614158
73898T	Pseudomonas atacamensis	30	2565368
73831T	Tenacibaculum finnmarkense	5-8	2781243
73840T	Bifidobacterium panos	37	2675321
73842T	Bifidobacterium moraviense	37	2675323
73843T	Bifidobacterium erythrocebi	37	2675325
73845T	Bifidobacterium olomucense	37	2675324
73932T	Bifidobacterium oedipodis	37	2675322
73832T	Tenacibaculum finnmarkense	20	2781243
73833T	Tenacibaculum piscium	20	1458515
73785T	Bifidobacterium cebidarum	37	2650773
73786T	Bifidobacterium leontopitheci	37	2650774
73747T	Staphylococcus borealis	37	2742203
73691T	Pseudomonas lalkuanensis	30	2604832
73653T	Oceanivirga miroungae	37	1130046
73638T	Pseudomonas nosocomialis	30	1056496
73600T	Pseudoflavitalea rhizosphaerae	30	1884793
73601T	Pseudoflavitalea soli	30	1542729
73594T	Neisseria sicca	37	490
73596T	Enterobacter mori	30	539813
73597T	Neisseria oralis	37	1107316
73599T	Enterobacter muelleri	30	61645
73582T	Capnocytophaga canis	37	1848903
73583T	Corynebacterium faecale	37	1758466
73584T	Corynebacterium glyciniphilum	37	1404244
73585T	Corynebacterium pollutisoli	37	1610489
73586T	Corynebacterium uropygiale	37	1775911
