ncbiTaxID	Source_ID	Name	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1233411	76614T	Ideonella paludis	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Ideonella
665914	76604T	Mixta gaviniae	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Mixta
665913	76605T	Mixta calida	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Mixta
1795832	76606T	Eikenella halliae	37	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
1795827	76607T	Eikenella longinqua	37	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
2707176	76608T	Ideonella livida	30-37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Ideonella
1163710	76579T	Cronobacter condimenti	30-37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter
535744	76580T	Cronobacter universalis	30-37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter
2035343	76581T	Mycobacterium eburneum	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium
2107999	76560T	Lactobacillus paragasseri	30	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
487173	76561T	Dialister succinatiphilus	37	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister
1582	76547T	Lacticaseibacillus casei	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus
2699469	76271T	Acinetobacter kanungonis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
2126983	76272T	Acinetobacter stercoris	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
1977882	75877T	Acinetobacter silvestris	20-30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
1929088	75668T	Alcaligenes endophyticus	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
513160	75669T	Ideonella azotifigens	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Ideonella
1547922	75670T	Ideonella sakaiensis	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Ideonella
1750561	75671T	Legionella saoudiensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
1149133	75672T	Pseudomonas furukawaii	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2819619	75492T	Streptococcus toyakuensis	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
650003	75319T	Vibrio paracholerae	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
2880703	75085T	Sangeribacter muris	37	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sangeribacter
2041036	75230T	Corynebacterium gottingense	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1852380	75233T	Corynebacterium urinapleomorphum	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
188915	75235T	Mycobacterium engbaekii	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacter
512402	75236T	Mycobacterium heraklionense	30	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacter
1795032	75237T	Mycobacterium virginiense	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacter
1812935	75192T	Enterobacter roggenkampii	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
208224	75193T	Enterobacter kobei	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
881260	75194T	Enterobacter bugandensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
1485952	75195T	Phytobacter massiliensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Phytobacter
1458355	75196T	Mixta theicola	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Mixta
2803813	75176T	Alteromonas antoniana	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
2803814	75177T	Alteromonas lipotrueae	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
2803815	75178T	Alteromonas lipotruiana	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
2803817	75179T	Hydrotalea lipotrueae	30	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Hydrotalea
2880702	75084T	Anaerostipes faecis	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes
2880704	75086T	Duncaniella muricolitica	37	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella
2579970	75078T	Ancylobacter lacus	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Ancylobacter
518825	75079T	Ancylobacter dichloromethanicus	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Ancylobacter
2579975	75080T	Ancylobacter plantiphilus	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Ancylobacter
2774189	74982T	Brevundimonas pondensis	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
2774190	74983T	Brevundimonas goettingensis	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
2710587	74870T	Pseudomonas iridis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
547007	74871T	Pseudomonas piscicola	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2710591	74872T	Pseudomonas arcuscaelestis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2730413	74873T	Pseudomonas pisciculturae	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2730424	74874T	Pseudomonas mucoides	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2730425	74875T	Pseudomonas neuropathica	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2770504	74795T	Gulosibacter hominis	37	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Gulosibacter
2820673	74796T	Pseudoclavibacter triregionum	37	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Pseudoclavibacter
2741333	74789T	Staphylococcus caledonicus	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
2724942	74790T	Staphylococcus canis	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
1424203	74754T	Pseudomonas lalucatii	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2710589	74755T	Pseudomonas anatoliensis	20-30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2686077	74323T	Winogradskyella forsetii	30	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
2713503	74665T	Listeria rustica	30	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
2713502	74666T	Listeria immobilis	30	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
2713603	74667T	Listeria cossartiae subsp. cossartiae	37	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
2713500	74668T	Listeria farberii	37	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
2713505	74670T	Listeria cossartiae subsp. cayugensis	37	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
2713504	74671T	Listeria portnoyii	30	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
2740577	74655T	Streptococcus pacificus	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
2730922	74625T	Acinetobacter geminorum	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
2682456	74597T	Veillonella nakazawae	37	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
490	74465T	Neisseria sicca	37	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
1471401	74466T	Corynebacterium trachiae	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1471400	74467T	Corynebacterium pelargi	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1481663	74468T	Vibrio metoecus	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
2740579	74371T	Streptococcus vicugnae	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
640030	74373T	Neisseria zalophi	37	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
640031	74374T	Streptococcus zalophi	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
2615024	74322T	Winogradskyella vidalii	30	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
2697008	74324T	Winogradskyella costae	30	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
2686078	74330T	Winogradskyella schleiferi	30	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
2686079	74332T	Winogradskyella ursingii	30	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
2697010	74333T	Winogradskyella helgolandensis	30	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
2766967	74293T	Eikenella glucosivorans	37	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
2769485	74294T	Parvimonas parva	37	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas
1880678	74260T	Pseudomonas sivasensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2686067	74246T	Fusobacterium watanabei	37	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
2678686	74118T	Streptobacillus canis	37	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus
106654	74064T	Acinetobacter nosocomialis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
2004650	74036T	Acinetobacter chinensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
1871111	74038T	Acinetobacter defluvii	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
2136183	74039T	Acinetobacter sichuanensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
1879050	74040T	Acinetobacter wuhouensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
2136182	74043T	Acinetobacter cumulans	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
2614158	73951T	Streptococcus caledonicus	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
2565368	73898T	Pseudomonas atacamensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
2781243	73831T	Tenacibaculum finnmarkense	5-8	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
2675321	73840T	Bifidobacterium panos	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2675323	73842T	Bifidobacterium moraviense	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2675325	73843T	Bifidobacterium erythrocebi	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2675324	73845T	Bifidobacterium olomucense	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2675322	73932T	Bifidobacterium oedipodis	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2781243	73832T	Tenacibaculum finnmarkense	20	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
1458515	73833T	Tenacibaculum piscium	20	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
2650773	73785T	Bifidobacterium cebidarum	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2650774	73786T	Bifidobacterium leontopitheci	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2742203	73747T	Staphylococcus borealis	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
2604832	73691T	Pseudomonas lalkuanensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
1130046	73653T	Oceanivirga miroungae	37	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Oceanivirga
1056496	73638T	Pseudomonas nosocomialis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas
1884793	73600T	Pseudoflavitalea rhizosphaerae	30	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea
1542729	73601T	Pseudoflavitalea soli	30	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea
490	73594T	Neisseria sicca	37	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
539813	73596T	Enterobacter mori	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
1107316	73597T	Neisseria oralis	37	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
61645	73599T	Enterobacter muelleri	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
1848903	73582T	Capnocytophaga canis	37	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
1758466	73583T	Corynebacterium faecale	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1404244	73584T	Corynebacterium glyciniphilum	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1610489	73585T	Corynebacterium pollutisoli	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1775911	73586T	Corynebacterium uropygiale	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
82989	73587T	Buttiauxella ferragutiae	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella
2505970	73571T	Campylobacter armoricus	37	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
2487072	73498T	Epilithonimonas vandammei	30	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Epilithonimonas
564710	73522T	Vagococcus acidifermentans	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus
1160095	73523T	Vagococcus entomophilus	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus
1889241	73524T	Vagococcus humatus	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus
1768210	73525T	Vagococcus martis	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus
633807	73526T	Vagococcus penaei	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus
519472	73527T	Vagococcus teuberi	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus
2508288	73377T	Pandoraea iniqua	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508289	73378T	Pandoraea commovens	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508298	73379T	Pandoraea horticolens	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508291	73380T	Pandoraea eparura	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508292	73381T	Pandoraea terrigena	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508293	73382T	Pandoraea soli	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
