Temp	Name	Strain
22,5	Methanoculleus marisnigri	JR1
23,5	Methanococcoides burtonii	DSM 6242
33,5	Halorubrum lacusprofundi	ATCC 49239
33,5	Methanospirillum hungatei	JF-1
35	Methanococcoides methylutens	MM1
35	Methanohalophilus halophilus	Z-7982
35	Methanohalophilus mahii	DSM 5219
35	Methanosarcina barkeri	227
35	Methanosarcina barkeri	3
35	Methanosarcina barkeri	CM1
35	Methanosarcina barkeri	Fusaro
35	Methanosarcina barkeri	MS
35	Methanosarcina barkeri	Wiesmoor
35	Methanosarcina mazei	Go1
35	Methanosarcina mazei	LYC
35	Methanosarcina mazei	S-6
35	Methanosarcina mazei	SarPi
35	Methanosarcina mazei	WWM610
37	Methanobrevibacter ruminantium	M1
37	Methanobrevibacter smithii	"ATCC 35061; PS; DSMZ 861"
37	Methanocorpusculum labreanum	Z
37	Methanoculleus bourgensis	[isolate BA1]
37	Methanoculleus bourgensis	MS2T
37	Methanolobus psychrophilus	R15
37	Methanosphaera stadtmanae	DSM 3091
37	Natronobacterium gregoryi	SP2
37,5	Haloarcula hispanica	CGMCC 1.2049
37,5	Haloarcula hispanica	N601
37,5	Haloferax gibbonsii	ARA6
37,5	Methanobacterium formicicum	DSM1535
37,5	Methanobacterium formicicum	[isolate Mb9]
37,5	Methanobacterium formicicum	BRM9
37,5	Methanococcus aeolicus	Nankai-3
37,5	Methanococcus maripaludis	C5
37,5	Methanococcus maripaludis	C6
37,5	Methanococcus maripaludis	C7
37,5	Methanococcus maripaludis	S2
37,5	Methanococcus maripaludis	X1
37,5	Methanococcus vannielii	SB
37,5	Methanococcus voltae	A3
37,5	Methanosaeta concilii	GP6
37,5	Methanosarcina acetivorans	C2A
37,5	Natronococcus occultus	SP4
38,5	Methanosarcina vacuolata	Z-761
38,5	Natrialba magadii	ATCC 43099
38,5	Natrinema pellirubrum	DSM 15624
40	Halogeometricum borinquense	PR 3
45	Haloarcula marismortui	ATCC 43049
45	Haloferax volcanii	DS2
45	Haloterrigena turkmenica	DSM 5511
45	Natronomonas pharaonis	Gabara
47,5	Methanohalobium evestigatum	Z-7303
48,5	Haloferax mediterranei	CGMCC 1.2087
50	Halobacterium salinarum	DSM 671 = R1
50	Halobacterium salinarum	"NRC-1; ATCC 700922"
52,5	Methanosarcina thermophila	TM-1
59	Thermoplasma acidophilum	DSM 1728
60	Methanothermobacter marburgensis	Marburg
60	Methanothermobacter thermautotrophicus	Delta H
60	Methanothermobacter wolfeii	[isolate SIV6]
60	Thermoplasma volcanium	GSS1
62,5	Methanothermococcus okinawensis	IH1
72,5	Sulfolobus acidocaldarius	DG1
72,5	Sulfolobus acidocaldarius	DSM 639
72,5	Sulfolobus acidocaldarius	N8
72,5	Sulfolobus acidocaldarius	Ron12/I
72,5	Sulfolobus acidocaldarius	Y14 13-1
72,5	Sulfolobus acidocaldarius	Y14 16-22
72,5	Sulfolobus acidocaldarius	Y14 18-5
72,5	Sulfolobus acidocaldarius	Y14 20-20
75	Metallosphaera cuprina	Ar-4
75	Metallosphaera sedula	ARS120-1
75	Metallosphaera sedula	ARS120-2
75	Metallosphaera sedula	ARS50-1
75	Metallosphaera sedula	ARS50-2
75	Metallosphaera sedula	DSM 5348
75	Metallosphaera sedula	SARC-M1
