Species	Strain	NCTC_number	Type_Strain	Cond_solid	Cond_liquid
Shigella flexneri	Cable	NCTC 1	No		
Shigella flexneri	Hughes	NCTC 2	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Shigella flexneri	Oxford Flexner	NCTC 3	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Shigella flexneri	Mountain 2464	NCTC 4	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Shigella flexneri	Stansfield	NCTC 5	No	nutrient broth,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Shigella flexneri	Original Hiss & Russell	NCTC 6	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Shigella flexneri	Whittington	NCTC 7	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Paratyphi A	Schottmuller	NCTC 13	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae non 0:1	Martin I	NCTC 30	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Proteus mirabilis	Pneum	NCTC 60	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Reading	Reading	NCTC 72	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhimurium	Binns	NCTC 73	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhimurium	Mutton	NCTC 74	No	Nutrient / Columbia blood agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	Escherich	NCTC 86	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Stanley	Stanley	NCTC 92	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Paratyphi C	Baghdad 31	NCTC 96	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus anthracis	Paddington VI	NCTC 109	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Burkholderia mallei	A	NCTC 120	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Escherichia coli	Hueppe	NCTC 122	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Newport	Newport 5	NCTC 129	No	Nutrient agar, 24 hours,37°C, aerobic	nutrient broth,37, facultative anaerobe
Yersinia pestis	Parel	NCTC 144	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhi	Rawlings	NCTC 160	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus equorum	Rayner	NCTC 189	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Micrococcus luteus	Lister	NCTC 196	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Klebsiella pneumoniae sensu stricto	Lister	NCTC 204	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Corynebacterium pseudodiphtheriticum	2	NCTC 231	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Morganella morganii	Spencer	NCTC 232	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Morganella morganii	33 M	NCTC 235	Yes	Nutrient agar, 24 hours,37°C, aerobic	nutrient broth,37, facultative anaerobe
Klebsiella aerogenes	Pfeiffer	NCTC 243	No	nutrient agar,37, facultative anaerobe	nutrient agar, nutrient broth, (pws),37, facultative anaerobe
Clostridium sporogenes	G2 B6	NCTC 275	No	blood agar ano2,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium sporogenes	R 60 XV	NCTC 276	No	blood agar,37, strict anaerobe	viand-leur,37, strict anaerobe
Clostridium novyi	Cossard	NCTC 277	No	meat broth,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium novyi	Domange	NCTC 278	No	nutrient agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetani	USA II	NCTC 279	Yes	Fastidious Anaerobe agar, 24-48 hours, 37°C, anaerobic	nutrient broth,37, strict anaerobe
Clostridium septicum	NFI	NCTC 281	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium septicum	Bedford	NCTC 282	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium septicum	Stokes 4	NCTC 283	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium septicum	George A 2	NCTC 284	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium septicum	Jerral	NCTC 286	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetanomorphum	297 VII	NCTC 288	No	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	meat broth,37, strict anaerobe
Mycobacterium smegmatis	GP 60	NCTC 333	No	Glucose agar,37, aerobic	Glucose broth,37, aerobic
Mycobacterium smegmatis	GP 61	NCTC 334	No	nutrient agar,30, aerobic	nutrient broth,30, aerobic
Salmonella enterica subsp. enterica serotype Typhisuis	Andrewes	NCTC 346	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhisuis	Pfeiler	NCTC 347	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhisuis	Poppe (ATCC 8321)	NCTC 348	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mycobacterium duvalii	Duvals Lepra	NCTC 358	Yes	glucose agar,37, aerobic	nutrient broth,37, aerobic
Enterococcus faecalis	Stubbs IV (Elstree 35)	NCTC 370	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	bnutrient broth,37, facultative anaerobe
Corynebacterium diptheriae var mitis	Parks No. 8	NCTC 380	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Proteus vulgaris	NYU	NCTC 401	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Kurthia zopfii	Novy	NCTC 404	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Kurthia zopfii	Chicago	NCTC 405	No	nutrient agar,37, aerobic	lemco broth,37, aerobic
Alcaligenes faecalis	AMNH 439	NCTC 415	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Klebsiella pneumoniae	240	NCTC 418	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Gallinarum	180 (IIc Theobald Smith)	NCTC 423	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Nocardia sp.	Human	NCTC 434	No	nutrient agar,30, aerobic	nutrient broth,30, aerobic
Streptomyces upcotii	Gibson (Upcott)	NCTC 450	No	glucose agar,30, aerobic	nutrient broth,30, aerobic
Bordetella bronchiseptica	Dog 71	NCTC 452	Yes	Nutrient agar, 48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Bordetella bronchiseptica	Rabbit 72	NCTC 454	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella bronchiseptica	Ferret 1	NCTC 455	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella bronchiseptica	Monkey 21	NCTC 456	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella bronchiseptica	Man 1	NCTC 458	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Clostridium tetanomorphum	146 TBI	NCTC 500	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium septicum	GC 186	NCTC 501	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium histolyticum	Weinberg	NCTC 503	Yes	Columbia blood agar, 48 hours, 37°C, anaerobic	nutrient broth,37, strict anaerobe
Clostridium septicum	141	NCTC 504	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium sporogenes	208	NCTC 505	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium bifermentans	FI	NCTC 506	No	brain heart infusion ano2 /ba,37, strict anaerobe	viand leur,37, strict anaerobe
Clostridium sphenoides	Thorlby	NCTC 507	Yes	Columbia blood agar, 24-48 hours, 37°C, anaerobic	meat broth,37, strict anaerobe
Mycobacterium smegmatis	New York	NCTC 523	No	nutrient agar,37, aerobic	7h9,37, aerobic
Mycobacterium phlei	Hay	NCTC 525	No	Lowenstein-Jensen slopes, 96 hours, 30°C, aerobic	nutrient broth,30, aerobic
Clostridium perfringens	SR 12	NCTC 528	No	Blood agar,37C, strict anaerobe	Meat broth,37C, strict anaerobe
Clostridium sporogenes	SR 5	NCTC 532	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	viand-leur,37, strict anaerobe
Clostridium sporogenes	Bellette	NCTC 533	No	blood agar, strict anaerobe	neopeptone, strict anaerobe
Clostridium sporogenes	Conradi	NCTC 534	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium novyi	Jolly	NCTC 538	No	meat broth,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetani	R 220 E	NCTC 539	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetani	T 67	NCTC 540	No	3% neo-peptone agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tertium	P II Col 54	NCTC 541	No	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	nutrient broth,37, strict anaerobe
Clostridium tetanomorphum	259 E. III	NCTC 543	Yes	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium septicum	Pasteur III	NCTC 547	Yes	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium septicum	R Past I	NCTC 549	No	brain heart infusion,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium septicum	VFS Milk IV	NCTC 550	No	4% blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium septicum	Prior	NCTC 551	No	Columbia blood agar, 48 hours, 37°C, anaerobic	meat broth,37, strict anaerobe
Yersinia pestis	Bombay 267	NCTC 570	No		
Rhodococcus rhodochrous	Khartoum	NCTC 576	No		
Streptomyces sp.	Horton	NCTC 600	No	blood agar,30, aerobic	nutrient broth,30, aerobic
Micrococcus luteus	Thaysen	NCTC 611	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. enterica serotype Enteritidis	Liverpool virus	NCTC 618	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Brucella abortus	English strain 8	NCTC 624	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth,37, aerobic
Nocardia farcinica	24 Foal Blackwell	NCTC 630	No		
Alcaligenes faecalis	Lister	NCTC 655	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Enterococcus durans	Thaysen II	NCTC 662	No	blood agar,37, facultative anaerobe	blood agar,37, facultative anaerobe
Propionibacterium acnes	Ponsonby	NCTC 737	Yes	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	nutrient broth,37, facultative anaerobe
Clostridium botulinum	X	NCTC 751	No	meat broth,37, strict anaerobe	meat broth,37, strict anaerobe
Corynebacterium striatum	Minnett (AL)	NCTC 764	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus faecalis	Tissier	NCTC 775	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhi	Johns Hopkins	NCTC 779	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhi	Lister (CN 6236)	NCTC 786	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Erysipelothrix rhusiopathiae	Topley A	NCTC 807	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Stockholm	NCTC 824	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae biovar belfanti	Horse D 34	NCTC 854	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium botulinum	38	NCTC 887	No	nutrient agar,37, strict anaerobe	blood agar ano2 meat broth,37, strict anaerobe
Pseudomonas putida	Urine	NCTC 912	No	Nutrient agar, 24 hours, 30°C, aerobic	nutrient broth,30, aerobic
Bacillus mycoides	CR ii Rothamsted	NCTC 926	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Corynebacterium segmentosum	Graham	NCTC 934	No	tellurite,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Mycobacterium chelonae subsp. chelonae	Friedmann	NCTC 946	Yes	Columbia blood agar, 48-72 hours, 30°C, aerobic	nutrient broth,30, aerobic
Pasteurella multocida	Mouse	NCTC 948	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium kutscheri	Mouse	NCTC 949	No	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Pseudomonas aeruginosa	0 45	NCTC 950	No	nutrient agar,30, aerobic	nutrient broth,30, aerobic
Bacillus licheniformis	Chapman	NCTC 962	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Micrococcus lylae	Ropy Milk	NCTC 963	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus licheniformis	BI	NCTC 1024	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus licheniformis	C III	NCTC 1025	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Paenibacillus macerans	234A	NCTC 1068	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinomadura madurae	Madura foot	NCTC 1070	No	glucose agar,37, aerobic	glucose broth,37, aerobic
Streptococcus anginosus	van Sickle	NCTC 1080	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	5288 Haemolytic (coli III) Bacterium communis	NCTC 1093	No	Nutrient agar, 24 hours, 30°C, aerobic	nutrient broth,37, facultative anaerobe
Bacillus licheniformis	Potato	NCTC 1097	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Postollea	NCTC 1101	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Pfaff	NCTC 1102	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Schnurer II	NCTC 1103	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Schnurer III	NCTC 1104	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella multocida	Mouse 49	NCTC 1140	No	blood agar,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Erysipelothrix rhusiopathiae	Wragge	NCTC 1224	No	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Clostridium perfringens	Adams	NCTC 1265	No	Blood agar,37C, strict anaerobe	Nutrient broth,37C, strict anaerobe
Pasteurella multocida	Bov Pn I	NCTC 1287	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus anthracis	Fildes	NCTC 1328	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium bifermentans	70	NCTC 1340	No	3% colombia blood agar,37, strict anaerobe	peptone yeast glucos,37, strict anaerobe
Clostridium bifermentans	116	NCTC 1341	No	blood agar an02,37, strict anaerobe	meat broth,37, strict anaerobe
Comamonas terrigena	Bedson	NCTC 1347	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Serratia marcescens	Delft 137	NCTC 1377	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium kutscheri	Browning	NCTC 1386	No	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Lactobacillus plantarum	Type 1	NCTC 1406	No	tomato juice agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
