
Current Name	Number of Results
Abiotrophia adiacens	1
Acholeplasma axanthum	1
Acholeplasma equifetale	1
Acholeplasma equirhinis	1
Acholeplasma granularum	1
Acholeplasma hippikon	1
Acholeplasma laidlawii	1
Acholeplasma modicum	1
Acholeplasma morum	1
Acholeplasma oculi	1
Acholeplasma parvum	1
Achromobacter denitrificans	2
Achromobacter insolitus	1
Achromobacter piechaudii	1
Achromobacter ruhlandii	1
Achromobacter sp.	5
Achromobacter spanios	1
Achromobacter xylosoxidans subsp. xylosoxidans	3
Acinetobacter baumannii	26
Acinetobacter calcoaceticus	1
Acinetobacter colistiniresistens	1
acinetobacter genospecies 13	1
Acinetobacter haemolyticus	4
Acinetobacter haemolyticus subsp haemolyticus	1
Acinetobacter johnsonii	2
Acinetobacter junii	2
Acinetobacter lwoffii	5
Acinetobacter sp.	1
Actinobacillus capsulatus	1
Actinobacillus delphinicola	2
Actinobacillus equuli	7
Actinobacillus equuli ss. haemolyticus	1
Actinobacillus haemolyticus subsp. indologenes	1
Actinobacillus hominis	1
Actinobacillus lignieresii	13
Actinobacillus muris	1
Actinobacillus pleuropneumoniae	5
Actinobacillus rossii	2
Actinobacillus salpingitidis	1
Actinobacillus scotiae	1
Actinobacillus seminis	1
Actinobacillus sp.	3
Actinobacillus suis	5
Actinobacillus ureae	4
Actinobacillus vicugnae	1
Actinobaculum suis	1
Actinomadura madurae	3
Actinomadura pelletieri	3
Actinomyces bovis	6
Actinomyces cardiffensis	1
Actinomyces denticolens	1
Actinomyces europaeus	1
Actinomyces funkei	1
Actinomyces graevenitzii	1
Actinomyces howellii	1
Actinomyces israelii	9
Actinomyces meyeri	1
Actinomyces naeslundii	1
Actinomyces odontolyticus	2
Actinomyces radingae	1
Actinomyces slackii	1
Actinomyces turicensis	1
Actinomyces urogenitalis	1
Actinomyces viscosus	2
Aerococcus viridans	16
Aeromonas caviae	3
Aeromonas encheleia	1
Aeromonas hydrophila	4
Aeromonas hydrophila subsp. formicans	1
Aeromonas liquefaciens	1
Aeromonas salmonicida	4
Aeromonas sobria	4
Aeromonas veronii	2
Afipia	3
Afipia broomeae	1
Afipia clevelandensis	1
Afipia felis	2
Aggregatibacter actinomycetemcomitans	6
Aggregatibacter aphrophilus	9
Aggregatibacter segnis	1
Aggregatibacter sp.	1
Alcaligenes faecalis	5
Alcaligenes faecalis subsp faecalis	2
Alcaligenes odorans	2
Alcaligenes piechaudii	2
Alloicoccus otitidis	1
Alloiococcus otitis	1
Alloprevotella tannerae	1
Alysiella crassa	1
Alysiella filiformis	1
Aminobacter aminovorans	1
Anaerobiospirillum succiniciproducens	1
Anaerobiospirillum thomasii	2
Anaerococcus octavius	2
Anaerococcus prevotii	1
Anaerospora hongkongensis	1
Aneurinibacillus migulanus	1
Aquaspirillum serpens	1
Arcanobacterium haemolyticum	5
Arcanobacterium pyogenes	5
Arcobacter butzleri	1
Arcobacter cryaerophilus	1
Arcobacter nitrofigilis	1
Arcobacter skirrowii	1
Arcobacter sp.	8
Arthrobacter agilis	1
Atopobium vaginae	1
Auritidibacter ignavus	1
Avibacterium avium	1
Avibacterium endocarditidis	1
Avibacterium gallinarum	1
Avibacterium paragallinarum	2
Avibacterium volantium	1
Arcanobacterium hippocoleae	1
Citrobacter braakii	1
Odoribacter splanchnicus	1
Salmonella enterica subsp. enterica Serotype Bovis-Morbificans	1
Salmonella enterica subsp.enterica Paratyphi C	1
