Source_ID	Name	Strain	Temp	ncbiTaxID
NIES-2412	Acaryochloris marina	Muroran strain	25	2762543
NIES-3840	Acaryochloris tomasi	R61	20	1764569
NIES-1349	Achnanthes kuwaitensis	nan	20	483531
NIES-330	Achnanthes subconstricta	IMHB-5	15	-1
NIES-2717	Achnanthidium convergens	K28-2	15	-1
NIES-1350	Achnanthidium minutissimum	nan	20	431333
NIES-372	Achnanthidium minutissimum	KAAC-6	20	431333
NIES-407	Achnanthidium minutissimum	4st-0-8	15	431333
NIES-408	Achnanthidium minutissimum	AT5-23	15	431333
NIES-409	Achnanthidium minutissimum	Ast-3-3	15	431333
NIES-410	Achnanthidium minutissimum	AT4-18	15	431333
NIES-411	Achnanthidium minutissimum	1st-3-17	15	431333
NIES-412	Achnanthidium minutissimum	1st-1-1	15	431333
NIES-413	Achnanthidium minutissimum	1st-2-8	15	431333
NIES-414	Achnanthidium minutissimum	0-25	15	431333
NIES-71	Achnanthidium minutissimum	A15-6	20	431333
NIES-548	Acinetospora crinita	nan	20	3018
NIES-3847	Acrochaete sp.	Iki Island 11P PG1	20	1764255
NIES-415	Actinastrum hantzschii	F7-4	20	55402
NIES-2497	Actinophrys sol	HSA	20	238771
NIES-1367	Adenoides eludens	nan	20	160623
NIES-1832	Akashiwo sanguinea	TKB-263	20	143672
NIES-1987	Akashiwo sanguinea	MHW10	20	143672
NIES-3454	Akashiwo sanguinea	KGW-261	20	143672
NIES-3445	Alexandrium catenella	"KGW-106; Wakayama"	20	2925
NIES-3446	Alexandrium catenella	"KGW-278; Uragami"	20	2925
NIES-3610	Alexandrium catenella	"KGW-276; simoda"	20	2925
NIES-675	Alexandrium catenella	Ac 5	20	2925
NIES-3447	Alexandrium fraterculum	KGW-314	20	2666306
NIES-3611	Alexandrium hiranoi	KGW-307	20	261184
NIES-678	Alexandrium insuetum	nan	20	2935
NIES-4274	Alexandrium ostenfeldii	A	15	40986
NIES-1988	Alexandrium sp.	MHW6	20	-1
NIES-1989	Alexandrium sp.	MHW7	20	-1
NIES-2328	Alexandrium sp.	NCD-4	20	-1
NIES-3612	Alexandrium tamiyavanichii	"KGW-259; 04"	20	201731
NIES-2846	Allapsa brevifila	F2	20	563646
NIES-2414	Allapsa ocior	5A moss	20	563736
NIES-2415	Allapsa scotia	KV Hf	15	563738
NIES-331	Amphidinium carterae	IIDA	20	2961
NIES-3590	Amphidinium carterae	KGW-116	20	2961
NIES-613	Amphidinium klebsii	AK-1	20	142105
NIES-4545	Amphidinium massartii	G12	20	160604
NIES-1368	Amphidinium operculatum	nan	20	107036
NIES-4606	Amphidinium operculatum	I78	20	107036
NIES-4607	Amphidinium operculatum	G3	24	107036
NIES-4608	Amphidinium operculatum	I85	20	107036
NIES-2663	Amphidinium sp.	KCA09051	20	-1
NIES-2664	Amphidinium sp.	KCA09053	20	-1
NIES-3591	Amphidinium sp.	"KGW-215; 96-1"	20	-1
NIES-3592	Amphidinium sp.	"KGW-266; 05-1"	20	-1
NIES-1268	Amphidinium testudo	M-44	20	-1
NIES-4605	Amphidinium uduigamense	I76	24	2870477
NIES-19	Anabaena cylindrica	nan	20	1165
NIES-2093	Anabaena variabilis	nan	20	264691
NIES-2095	Anabaena variabilis	nan	20	264691
NIES-23	Anabaena variabilis	nan	20	1973479
NIES-21	Anabaenopsis circularis	nan	20	1085406
NIES-1698	Anabaenopsis sp.	TAC 427	20	2036203
NIES-1725	Anabaenopsis sp.	Anabaenopsis (Ueno)	20	2050561
NIES-2096	Anacystis marina	SEC 142	20	2081909
NIES-3722	Angulamoeba microcystivorans	A1WVB	20	1654978
NIES-2190	Ankistrodesmus angustus	nan	20	-1
NIES-2191	Ankistrodesmus angustus	nan	20	307511
NIES-2192	Ankistrodesmus angustus	Vischer 9	20	307511
NIES-2193	Ankistrodesmus braunii	nan	20	2802987
NIES-2194	Ankistrodesmus braunii	nan	20	2802987
NIES-2195	Ankistrodesmus falcatus	nan	20	52960
NIES-2196	Ankistrodesmus falcatus	nan	20	52960
NIES-2197	Ankistrodesmus nannoselene	Rodhe 1632	20	875616
NIES-2980	Ankistrodesmus sp.	HAR 1	15	-1
NIES-4383	Annamia dubia	sort 175	20	2759045
NIES-4019	Apatococcus lobatus	Handa-2869-18	20	904363
NIES-1726	Aphanizomenon flos-aquae	Aph E	20	1176
NIES-1727	Aphanizomenon flos-aquae	Aph Gm 	20	1176
NIES-1728	Aphanizomenon flos-aquae	Aph Inba	20	1176
NIES-4052	Aphanizomenon flos-aquae	Ak1335	20	1176
NIES-4053	Aphanizomenon flos-aquae	Ak1337	20	1176
NIES-81	Aphanizomenon flos-aquae	TAC 1 (K-TAN-1)	25	284502
NIES-4050	Aphanizomenon gracile	Ak1306	20	54296
NIES-3731	Aphanizomenon sp.	SZ-25	20	1634041
NIES-3732	Aphanizomenon sp.	SZ-44	20	1634042
NIES-4123	Aphanizomenon sp.	NNS-1 C-5	20	2053184
NIES-416	Aphanocapsa montana	NK-24	20	327566
NIES-42	Aphanothece elabens	nan	25	2883247
NIES-1020	Apiocystis brauniana	#115	15	-1
NIES-39	Arthrospira platensis	nan	20	696747
NIES-46	Arthrospira platensis	nan	20	1236695
NIES-2308	Arthrospira sp.	nan	20	-1
NIES-265	Asterionellopsis glacialis	MB-B-1	15	33640
NIES-417	Asterionellopsis glacialis	nan	15	33640
NIES-1298	Asterochloris cf. glomerata	AYO4871	20	174040
NIES-1299	Asterochloris cf. glomerata	AYO4872	20	174040
NIES-1300	Asterochloris cf. glomerata	AYO4874	20	174040
NIES-1301	Asterochloris cf. glomerata	AYO4875	20	174040
NIES-1331	Asterococcus superbus	Asteroco-4	20	269637
NIES-2198	Asterococcus superbus	nan	20	269637
NIES-4329	Asterodinium gracile	NG512	22	2497328
NIES-4017	Astrephomene gubernaculifera	2014-1002-YkAs8	20	47775
NIES-418	Astrephomene gubernaculifera	1520-4 (-)	20	47775
NIES-419	Astrephomene gubernaculifera	1520-1 (+)	20	47775
NIES-628	Astrephomene gubernaculifera	1727-1(-)	20	47775
NIES-853	Astrephomene gubernaculifera	nan	20	47775
NIES-854	Astrephomene gubernaculifera	nan	20	47775
NIES-855	Astrephomene gubernaculifera	nan	20	47775
NIES-564	Astrephomene perforata	1620-3-2	20	47776
NIES-565	Astrephomene perforata	1620-4-1	20	47776
NIES-3775	Asulcocephalium miricentonis	mi11-8kt	20	1691399
NIES-3948	Aulacoseira ambigua	KKAS-1	20	49234
NIES-333	Aulacoseira granulata	K-Melo	15	285082
NIES-3951	Aulacoseira granulata	KKAS-10	20	285082
NIES-3852	Aulacoseira pusilla	Sort 115	20	2948612
NIES-50	Aulosira laxa	nan	20	1541988
NIES-1863	Aurearena cruciata	TKB-337	25	479719
NIES-1864	Aurearena cruciata	TKB-338	25	479719
NIES-1865	Aurearena cruciata	TKB-339	25	479719
NIES-2163	Auxenochlorella protothecoides	nan	20	3075
NIES-2164	Auxenochlorella protothecoides	nan	20	3075
NIES-2165	Auxenochlorella protothecoides	nan	20	3075
NIES-2176	Auxenochlorella protothecoides	nan	20	3075
NIES-2858	Bangiopsis sp.	"AYCC550; OK6OH11C4 Rhodo16"	20	-1
NIES-1437	Basichlamys sacculifera	TKB-051 (nak-06)	20	47779
NIES-566	Basichlamys sacculifera	3907-1	20	47779
NIES-2670	Bathycoccus prasinos	RD010614-71-3	15	41875
NIES-3657	Bathycoccus prasinos	MH 461	20	41875
NIES-1456	Batrachospermum atrum	BF1	20	69142
NIES-1457	Batrachospermum helminthosum	BF3	20	2684442
NIES-2136	Batrachospermum turfosum	nan	20	2729673
NIES-1458	Batrachospermum virgato-decaisneanum	BF2	20	644272
NIES-1438	Bicosoeca sp.	TKB-211 (NY0158)	20	1273436
NIES-2677	Bigelowiella natans	PROSOPE_153-1	20	227086
NIES-1837	Blidingia minima	TKB-271	20	63414
NIES-1439	Bodo saltans	TKB-013 (NY0117)	15	75058
NIES-622	Botrydium granulatum	nan	20	73013
NIES-2199	Botryococcus braunii	nan	20	38881
NIES-836	Botryococcus braunii	nan	20	38881
NIES-3865	Braarudosphaera bigelowii	KC1-P2	15	373042
NIES-4442	Braarudosphaera bigelowii	KC15-24	20	373042
NIES-375	Brachiomonas submarina	86-SuHH-2	15	327064
NIES-2200	Bracteacoccus giganteus	nan	20	50039
NIES-2574	Bracteacoccus sp.	Holm-Hansen M-37	20	-1
NIES-3808	Breviolum minutum	Mf1.05b.01	20	2499525
NIES-2742	Bulboplastis apyrenoidosa	AYCC 11 (Iriomote strain)	20	1070855
NIES-2505	Bumilleriopsis petersiana	TKB-353	20	-1
NIES-1012	Cafeteria roenbergensis	#106	15	33653
