Name	Strain	Temp	Source_ID
Achnanthidium minutissimum	A15-6	20 C	NIES-71
Cyanophora paradoxa		20 (25) C	NIES-547
Actinastrum hantzschii	F7-4	20 (25) C	NIES-415
Dolichospermum affine		22 C	NIES-40
Dolichospermum circinale		22 C	NIES-41
Anabaena cylindrica		20 (25) C	NIES-19
Sphaerospermopsis kisseleviana	TAC 32 (K-TAN-32)	22 C	NIES-73
Sphaerospermopsis kisseleviana	TAC 33 (K-TAN-33)	22 C	NIES-74
Dolichospermum flos-aquae	TAC 43 (K-TAN-43)	22 C	NIES-75
Dolichospermum spiroides	K-A-12	22 C	NIES-76
Dolichospermum crassum	TAC 31 (K-TAN-31)	22 C	NIES-77
Dolichospermum crassum	TAC 30 (K-TAN-30)	22 C	NIES-78
Dolichospermum ucrainicum	TAC 27 (K-TAN-27)	22 C	NIES-263
Dolichospermum pseudocompactum	TAC 28 (K-TAN-28)	25 C	NIES-79
Dolichospermum planctonicum	TAC 42 (K-TAN-42)	22 C	NIES-80
Anabaena variabilis		20 (25) C	NIES-23
Anabaenopsis circularis		20 (25) C	NIES-21
Aphanizomenon flos-aquae	TAC 1 (K-TAN-1)	25 C	NIES-81
Planctonema lauterbornii	K880818	20 C	NIES-514
Aulacoseira granulata	K-Melo	15 (20) C	NIES-333
Aulosira laxa		20 (25) C	NIES-50
Raphidocelis subcapitata	P-26	20 (25) C	NIES-35
Calothrix brevissima		20 (25) C	NIES-22
Scytonematopsis crustacea		20 (20) C	NIES-266
Calothrix parasitica		20 (20) C	NIES-267
Calothrix parasitica		20 (20) C	NIES-334
Calothrix scopulorum		20 (20) C	NIES-268
Pseudanabaena foetida	PM-81A	20 (20) C	NIES-512
Chattonella marina	KGW-6	20 C	NIES-84
Chattonella marina	KGW-8-5	20 C	NIES-85
Chattonella marina	KGW-42-4	20 C	NIES-86
Arthrospira platensis		20 (25) C	NIES-39
Planktothrix spiroides	KAS-6-50	24 C	NIES-45
Arthrospira platensis		20 (25) C	NIES-46
Spirulina subsalsa		24 C	NIES-527
Spirulina subsalsa		24 C	NIES-27
Microcystis aeruginosa		25 C	NIES-44
Microcystis aeruginosa	K-MA-11	25 C	NIES-87
Microcystis aeruginosa	KW-MA1-3	25 C	NIES-88
Microcystis aeruginosa	KW-MA2-5	25 C	NIES-89
Microcystis aeruginosa	KW-MB-2	25 C	NIES-90
Microcystis aeruginosa	K-MB-13	25 C	NIES-91
Tetradesmus acuminatus	K-S-1	20 C	NIES-92
Tetradesmus dimorphus	F-18-1	20 (25) C	NIES-93
Scenedesmus acutus	2-2-3-1	20 (25) C	NIES-94
Scenedesmus acutus	Aq-S-1	20 (25) C	NIES-95
Desmodesmus sp.	TAC 51-3B (TAN-51-3B)	20 (25) C	NIES-96
Desmodesmus serratus	TAC 51-3C (TAN-51-3C)	20 (25) C	NIES-97
Microcystis aeruginosa	K-MF-K-3	25 C	NIES-98
Microcystis aeruginosa	S-MA-S5	25 C	NIES-99
Microcystis aeruginosa	S-MB-S7	25 C	NIES-100
Microcystis aeruginosa	TAC 48 (S-TAN-48)	25 C	NIES-101
Aphanothece elabens		25 C	NIES-42
Microcystis aeruginosa	K-MV-20	24 C	NIES-102
Microcystis aeruginosa	TAC 44 (K-TAN-44)	25 C	NIES-103
