ID	Name	Strain
2320	Methanopyrus kandleri	116
1927912	Geogemma barossii	121
694429	Pyrolobus fumarii	1A, DSM 11204
1609559	Pyrococcus kukulkanii	NCB100
35616	Pyrodictium brockii	S1
2309	Pyrodictium occultum	PL-19
190192	Methanopyrus kandleri	AV19
39456	Pyrococcus endeavori	
54256	Pyrodictium abyssi	AV2
415426	Hyperthermus butylicus	DSM 5456
529709	Pyrococcus yayanosii	CH1
2262	Pyrococcus woesei	
13773	Pyrobaculum aerophilum	IM2
74610	Pyrococcus glycovorans	AL585
2261	Pyrococcus furiosus	Vc 1 DSM 3638
46540	Thermococcus fumicolans	ST557
2278	Pyrobaculum organotrophum	H10
384616	Pyrobaculum islandicum	DSM 4184
53953	Pyrococcus horikoshii	
272844	Pyrococcus abyssi	GE5
52001	Stetteria hydrogenophila	
999630	Thermoproteus uzoniensis	768-20
-1	Pyrococcus sp	NA2
181486	Pyrobaculum calidifontis	VA1
340102	Pyrobaculum arsenaticum	PZ6, DSM 13514
53952	Thermococcus peptonophilus	OG-1
1505907	Thermococcus eurythermalis	A501
46539	Thermococcus hydrothermalis	AL662
69014	Thermococcus kodakarensis	KOD1
70771	Pyrobaculum neutrophilum	
583356	Ignisphaera aggregans	AQ1.S1, DSM 17230
1104324	Pyrobaculum ferrireducens	1860
399550	Staphylothermus marinus	F1, DSM 3639
160233	Ignicoccus hospitalis	KIN4/I, DSM 18386
54259	Ignicoccus islandicus	Kol8
114376	Ignicoccus pacificus	LPC33
985052	Vulcanisaeta moutnovskia	
160232	Nanoarchaeum equitans	
698757	Pyrobaculum oguniense	TE7, DSM 13380
94694	Desulfurococcus amylolyticus	
1227648	Hyperthermus hephaesti	Ro04
1273541	Pyrodictium delaneyi	Su06
2181	Methanothermus sociabilis	
229980	Aeropyrum camini	SY1, JCM 12091
2275	Desulfurococcus mobilis	
54257	Desulfurococcus saccharovorans	
70771	Thermoproteus neutrophilus	
12915	Acidianus infernus	So4a
2271	Thermoproteus tenax	Kra1
523846	Methanothermus fervidus	V24S, DSM 2088
1806371	Pyrobaculum igneiluti	
593117	Thermococcus gammatolerans	EJ3
523849	Thermococcus litoralis	DSM 5473
187879	Thermococcus marinus	EJ1
187880	Thermococcus radiotolerans	EJ2
195522	Thermococcus nautili	30-1
368408	Thermofilum pendens	Hrk 5
2714	Aquifex pyrophilus	
224324	Aquifex aeolicus	VF5
207809	Sulfolobus tengchongensis	
391623	Thermococcus barophilus	MP, DSM 11836
1184251	Thermogladius calderae	1633
71997	Thermococcus gorgonarius	W-12
71998	Thermococcus pacificus	P-4
2016361	Thermococcus henrietii	
-1	Thermococcus sp	AM4
73007	Sulfolobus yangmingensis	YM1
1128108	Thermococcus prieurii	
-1	Thermofilum adornatus	1910b
933801	Acidianus hospitalis	W1
87734	Thermococcus waimanguensis	
110163	Thermococcus aggregans	TY
163003	Thermococcus cleftensis	CL1
277988	Thermococcus thioreducens	
-1	Pyrobaculum yellowstonensis sp	WP30
49900	Thermococcus stetteri	
2264	Thermococcus celer	
765177	Desulfurococcus mucosus	07/1, DSM 2162
1702097	Saccharolobus caldissimus	HS-3
-1	Pyrococcus chitonophagus	DSM 10152
71280	Thermococcus acidaminovorans	
72803	Thermococcus siculi	RG-20
477696	Thermogladius shockii	
644281	Methanocaldococcus sp	FS406-22 
105851	Acidilobus aceticus	
69656	Sulfurisphaera ohwakuensis	
54077	Thermococcus barossii	SHCK-94
999894	Thermosulfurimonas dismutans	
113653	Geoglobus ahangari	
2189	Methanotorris igneus	Kol5, DSM 5666
573063	Methanocaldococcus infernus	ME
243232	Methanocaldococcus jannaschii	DSM 2661
582419	Thermococcus paralvinellae	ES1
84597	Thermococcus aegaeicus	P5
1432656	Thermococcus guaymasensis	DSM 11113
572478	Vulcanisaeta distributa	DSM 14429
227597	Thermococcus coalescens	TS1
572546	Archaeoglobus profundus	Av18, DSM 5631
589924	Ferroglobus placidus	AEDII12DO, DSM 10642
