Name	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Ecosystem	Environment	Energy Source	Metabolism	Extended Metabolism	Ion for Chemiosmosis	Oxygen Requirement	Min. pH	Max. pH	Avg. Opt. pH	Min. Temp. (°C)	Max. Temp. (°C)	Temp	Pressure for Opt. Temp. (kpa)	Optimum Pressure (Mpa) 	Avg. Opt. salinity (%)	Note	Source	Additional_source	Strain	Genus
Methanopyrus kandleri	2320	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Aquatic	Hydrothermal vent	Organotroph	methanogenesis 	was not able to use any methanogenic substrates other than H2 and CO2.	Na+	Anaerobe			6,45	90	122	105	40000	40	0,03		https://www.pnas.org/content/105/31/10949		116	Methanopyrus
Geogemma barossii	1927912	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Aquatic 	Hydrothermal vent	Chemoautotroph	iron-reduction	"Fe(III) was
reduced to Fe(II) with formation of the magnetic mineral magnetite. The use of Fe(III) as an electron acceptor was key to the isolation of strain 121, as
it does not use other known electron acceptors."		Anaerobe				85	121	106	200				https://pubmed.ncbi.nlm.nih.gov/12920290/		121	Geogemma
Pyrolobus fumarii	2505679005	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	aerobic respiration	gaining energy by H2-oxidation. Nitrate, S2O3 2− , and low concentrations of O2 (up to 0.3% v/v) served as electron acceptors, yielding NH4 + , H2S, and H2O as end products, respectively. Growth was inhibited by acetate, pyruvate, glucose, starch, or sulfur	H+	Facultative Anaerobe	4	6,5	5,5	90	113	106	200	25	0,017		https://pubmed.ncbi.nlm.nih.gov/9680332/		1A, DSM 11204	Pyrolobus
Pyrococcus kukulkanii	2687453501	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Chemoorganoheterotroph	fermentation	Grew on complex proteinaceous substrates such as yeast extract, peptone and tryptone, as well as on glycogen and starch. Elemental sulfur was required for growth and was reduced to hydrogen sulfide. The fermentation products from complex proteinaceous substrates were CO2 and H		Anaerobe	3,5	8,5	7	70	112	105	150	40-50 	0,0275		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001160		NCB100	Pyrococcus
Pyrodictium brockii	35616	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Aquatic	Solfataric waters	Chemolithoautotroph 	sulfur-reduction	Hydrogen-sulphur-autotrophy		Anaerobe	4,5	7,2	5,5	80	110	105	300		0,015		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001201#tab2		S1	Pyrodictium
Pyrodictium occultum	2309	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Aquatic	Solfataric waters	Chemolithoautotroph 	sulfur-reduction	Hydrogen-sulphur-autotrophy		Anaerobe	4,5	7,2	5,5	80	110	105	300		0,015		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001201#tab2		PL-19	Pyrodictium
Methanopyrus kandleri	638154507	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	methanogenesis 	H2/CO2 as energy and carbon sources	Na+	Anaerobe	5,5	7	6,5	84	110	98	300	20-30	0,02		https://link.springer.com/article/10.1007/BF00262992		AV19	Methanopyrus
Pyrococcus endeavori	39456	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Organotroph	sulfur-reduction	Reduces elemental sulphur but can grow very poorly in the absence of sulphur. Organic substrates utilized include yeast extract, peptone and amino acid hydrolysate as well as individual amino acids, the peptide Leu-Ser and starch.		Anaerobe	4	8	7	80	110	98	100 below and 200 above 108C	22	0,028	formerly ES4	https://academic.oup.com/femsec/article/18/1/27/595971			Pyrococcus
Pyrodictium abyssi	54256	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	fermentation	Fermented carbohydrates, proteins, cell homogenates, acetate and formate. Isovalerate, isobutyrate, butanol and CO2 were detected as end products. Growth was stimulated by H2. In the presence of S°, H2S was formed. 	Na+	Anaerobe	4,7	7,1	5,5	80	110	97	300	.2-20	0,02		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001201#tab2	https://www.sciencedirect.com/science/article/abs/pii/S0723202083800113?via%3Dihub	AV2	Pyrodictium
Hyperthermus butylicus	640069314	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Aquatic	Solfataric field	Chemolithoautotroph 	sulfur-reduction,proteinaceous metabolism	utilizes peptide mixtures as carbon and energy sources, and forms H2S from elemental sulfur and molecular hydrogen as a growth-stimulating accessory energy source but not by sulfur respiration. The same fermentation products, C02, 1-butanol, acetic acid, phenylacetic acid, and a trace of hydroxyphenylacetic acid, are formed both with and without of So and H2.	H+	Anaerobe			7	80	108	100,5	1000		 1.7%		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC213380/pdf/jbacter00121-0435.pdf		DSM 5456	Hyperthermus
Pyrococcus yayanosii	650716080	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Chemoorganotroph	sulfur-reduction,proteinaceous metabolism	Growing on complex carbon sources such as peptone, tryptone, yeast extract or beef extract. Poor growth was recorded on casamino acids, and no growth on carbohydrates, alcohols or single amino acids. With appropriate carbon sources, growth was stimulated by elemental sulphur.		Anaerobe	6	9,5	8,25	80	108	98	20000-120000 	52	0,035	Obligate piezophile 	https://www.nature.com/articles/ismej200921	https://www.sciencedirect.com/science/article/abs/pii/S0723202011803760?via%3Dihub	CH1	Pyrococcus
Pyrococcus woesei	2262	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hot spring	Chemolithoheterotroph	sulfur-reduction	Yeast extract and peptides (bactotryptone) and, barely polysaccharides, utilized by sulfur respiration, yeast extract also in the absence of sulfur and in the presence of H2, and polysaccharides efficiently in the presence of H1 and S°. No fermentation observed.		Anaerobe			6,25		104,8	101,5	180		0,03		https://www.sciencedirect.com/science/article/abs/pii/S0723202087800577			Pyrococcus
Pyrobaculum aerophilum	638154513	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hydrothermal vent	Autotroph	proteinaceous metabolism	Growth inhibition by elemental sulfur. Heterotrophic growth on yeast extract, meat extract, tryptone, peptone, gelatin, casein, Casamino Acids, propionate, and acetate. Autotrophic growth by oxidation of hydrogen or thiosulfate. Oxygen, nitrate, and nitrite are possible electron acceptors.	H+	Facultative Anaerobe	5,8	9	7	75	104	100	200		0,015		https://www.jbc.org/content/early/2003/03/21/jbc.M210288200.full.pdf		IM2	Pyrobaculum
