Genome	ID	Identifier	Level
GCF_000221225.1	209285	chaetomium_globosum	Family
GCA_000315935.1	5541	aspergillus_fumigatus	Order
GCA_001599835.1	5088	aspergillus_fumigatus	Order
GCF_000091205.1	45157	galdieria	Class
GCA_026184775.1	2771	galdieria	Class
GCF_004022145.1	264951	aspergillus_fumigatus	Order
GCF_000226095.1	78579	chaetomium_globosum	Family
GCF_000968595.1	68825	aspergillus_fumigatus	Order
GCF_000226115.1	2587410	chaetomium_globosum	Family
GCF_008403515.1	5763	Naegleria_gruberi	Genus
GCA_900128795.2	5041	coccidioides_immitis	Order
GCA_002335675.1	1157962	chlamydomonas	Genus
GCF_000341285.1	130081	galdieria	Genus
GCF_000002725.2	5664	leishmania_tarentolae	Genus
GCA_000182785.1	638632	candida_albicans	Order
GCF_000002595.2	3055	chlamydomonas	Genus
GCF_000182925.2	367110	neurospora_crassa	Genus
GCF_000011425.1	162425	aspergillus_fumigatus	Genus
GCF_000002855.3	5061	aspergillus_fumigatus	Genus
GCF_000184455.2	5062	aspergillus_fumigatus	Genus
GCA_000497105.2	1406948	eremothecium_gossypii	Family
GCF_000149615.1	33178	aspergillus_fumigatus	Genus
GCF_000002545.3	5478	eremothecium_gossypii	Family
GCF_000146045.2	4932	saccharomyces_cerevisiae_rm11	Genus
GCA_010577765.1	76776	coprinus_cinereus	Phylum
GCA_022023575.1	2862414	yarrowia_lipolytica	Family
GCA_900519045.1	479095	yarrowia_lipolytica	Genus
GCA_900106115.1	45354	candida_albicans	Order
GCF_001661255.1	4927	candida_albicans	Order
GCF_000006335.3	5482	candida_albicans	Genus
GCF_000182765.1	5480	candida_albicans	Genus
GCA_024220505.1	64495	rhizopus_oryzae	Genus
GCA_009938135.1	55194	coprinus_cinereus	Phylum
GCA_019702695.1	2961	Berviolum_minutum	Class
GCA_014885115.2	33640	Cyclotella_cryptica	Phylum
GCA_021605115.1	47775	chlamydomonas	Order
GCF_000733215.1	3075	chlorella	Family
GCF_002220235.1	41875	Bathycoccus_prasinos	Genus
GCA_000320545.1	227086	generic	root
GCA_001460835.1	75058	leishmania_tarentolae	Class
GCA_002005505.1	38881	chlorella	Class
GCA_000507305.1	2499525	Berviolum_minutum	Genus
GCA_008330645.1	33653	generic	root
GCA_021927905.1	426638	Cyclotella_cryptica	Class
GCA_003427395.1	69332	arabidopsis	Phylum
GCA_001662365.1	35704	chlamydomonas	Genus
GCA_001662385.1	51683	chlamydomonas	Genus
GCA_016858145.1	47281	chlamydomonas	Order
GCA_001662425.1	28458	chlamydomonas	Genus
GCA_025917655.1	3076	chlorella	Family
GCF_000147415.1	554065	chlorella	Family
GCA_023343905.1	3077	chlorella	Family
GCA_018398765.1	505693	generic	root
GCA_000286095.1	195065	generic	root
GCA_002887195.1	127563	generic	root
GCA_003297045.1	1563116	Berviolum_minutum	Family
GCA_027943415.1	2790670	mesotaenium_endlicherianum	Class
GCA_027943385.1	2019903	mesotaenium_endlicherianum	Class
GCF_000258705.1	248742	chlorella	Class
GCA_000194455.1	2898	generic	root
GCA_013995675.1	2690220	galdieria	Class
GCA_004431415.1	2762	generic	root
GCA_019693525.1	2853	Fragilariopsis_cylindrus_CCMP1102	Family
GCA_015146095.1	457357	generic	root
GCA_914767535.1	257627	Dunaliella_salina	Genus
GCA_002284615.2	3046	Dunaliella_salina	Genus
GCF_000372725.1	2903	generic	root
GCA_003117195.1	593785	volvox	Family
GCA_900893395.1	3039	leishmania_tarentolae	Phylum
GCA_001584585.1	33097	volvox	Family
GCA_003970955.1	44745	chlamydomonas	Order
GCA_000018645.1	464988	generic	root
GCA_003568945.1	797122	generic	root
GCA_000708835.1	105231	arabidopsis	Phylum
GCA_027923505.1	2872254	Fistulifera_solaris	Family
GCA_009746045.1	41882	arabidopsis	Phylum
GCA_008037345.1	81816	Monoraphidium_neglectum	Family
GCF_000240725.1	72520	generic	root
GCF_000090985.2	296587	Micromonas_commoda	Genus
GCF_000151265.2	38833	Micromonas_commoda	Genus
GCA_025201885.1	39955	Monoraphidium_neglectum	Genus
GCA_004335405.1	43926	generic	root
GCA_004519485.1	145522	generic	root
GCA_019593585.1	303400	Fragilariopsis_cylindrus_CCMP1102	Family
GCA_016586335.1	2742595	Fragilariopsis_cylindrus_CCMP1102	Family
GCA_015146655.1	2986	generic	root
GCF_000092065.1	242159	Ostreococcus_sp_lucimarinus	Genus
GCF_000214015.3	70448	Ostreococcus_sp_lucimarinus	Genus
GCA_015712045.1	3074	chlorella	Family
GCA_016759055.1	74790	Paramecium_tetraurelia	Genus
GCA_019918135.1	1928728	generic	root
GCA_918797485.1	35677	generic	root
GCA_023375785.1	102169	mesotaenium_endlicherianum	Class
GCF_000150955.2	2850	Phaeodactylum_tricornutum	Genus
GCA_008690995.1	35688	galdieria	Class
GCA_001652855.1	39449	Berviolum_minutum	Class
GCA_938743325.1	41880	Bathycoccus_prasinos	Phylum
