ncbiTaxID	Name	Identifier	Superkingdom	Phylum	Class	Order	Family	Genus
7462	Apis dorsata	adorsata	Eukaryota	Arthropoda	Insecta	Hymenoptera	Apidae	Apis
7159	Aedes aegypti	aedes	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes
400682	Amphimedon queenslandica	amphimedon	Eukaryota	Porifera	Demospongiae	Haplosclerida	Niphatidae	Amphimedon
53326	Ancylostoma ceylanicum	ancylostoma_ceylanicum	Eukaryota	Nematoda	Chromadorea	Strongylida	Ancylostomatidae	Ancylostoma
7165	Anopheles gambiae	Anopheles_gambiae	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles
3702	Arabidopsis thaliana	arabidopsis	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis
31199	Argopecten irradians	Argopecten_irradians	Eukaryota	Mollusca	Bivalvia	Pectinida	Pectinidae	Argopecten
746128	Aspergillus fumigatus	aspergillus_fumigatus	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
162425	Aspergillus nidulans	aspergillus_nidulans	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
5062	Aspergillus oryzae	aspergillus_oryzae	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
33178	Aspergillus terreus	aspergillus_terreus	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
6145	Aurelia aurita	Aurelia_aurita	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia
41875	Bathycoccus prasinos	Bathycoccus_prasinos	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus
2499525	Berviolum minutum	Berviolum_minutum	Eukaryota		Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum
132113	Bombus impatiens	bombus_impatiens1	Eukaryota	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus
30195	Bombus terrestris	bombus_terrestris2	Eukaryota	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus
40559	Botrytis cinerea	botrytis_cinerea	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
28450	Burkholderia pseudomallei	b_pseudomallei	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
