Genome	ID	Superkingdom	Phylum	Class	Order	Family	Genus
GCF_000221225.1	209285	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermochaetoides
GCA_000315935.1	5541	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces
GCA_001599835.1	5088	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Thermoascus
GCF_000091205.1	45157	Eukaryota	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidioschyzon
GCA_026184775.1	2771	Eukaryota	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidium
GCF_004022145.1	264951	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Paecilomyces
GCF_000226095.1	78579	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermothelomyces
GCF_000968595.1	68825	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia
GCF_000226115.1	2587410	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermothielavioides
GCF_008403515.1	5763	Eukaryota	Heterolobosea			Vahlkampfiidae	Naegleria
GCA_900128795.2	5041	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Malbrancheaceae	Malbranchea
GCA_002335675.1	1157962	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas
GCF_000341285.1	130081	Eukaryota	Rhodophyta	Bangiophyceae	Galdieriales	Galdieriaceae	Galdieria
GCF_000002725.2	5664	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania
GCA_000182785.1	638632	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella
GCF_000002595.2	3055	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas
GCF_000182925.2	367110	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora
GCF_000011425.1	162425	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCF_000002855.3	5061	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCF_000184455.2	5062	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_000497105.2	1406948	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces
GCF_000149615.1	33178	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCF_000002545.3	5478	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces
GCF_000146045.2	4932	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
GCA_010577765.1	76776	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia
GCA_022023575.1	2862414	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Dipodascus
GCA_900519045.1	479095	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia
GCA_900106115.1	45354	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Candida/Metschnikowiaceae
GCF_001661255.1	4927	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
GCF_000006335.3	5482	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
GCF_000182765.1	5480	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
GCA_024220505.1	64495	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus
GCA_009938135.1	55194	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia
GCA_019702695.1	2961	Eukaryota		Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium
GCA_014885115.2	33640	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis
GCA_021605115.1	47775	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Astrephomenaceae	Astrephomene
GCF_000733215.1	3075	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella
GCF_002220235.1	41875	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus
GCA_000320545.1	227086	Eukaryota	Cercozoa	Chlorarachniophyceae			Bigelowiella
GCA_001460835.1	75058	Eukaryota	Euglenozoa	Kinetoplastea	Eubodonida	Bodonidae	Bodo
GCA_002005505.1	38881	Eukaryota	Chlorophyta	Trebouxiophyceae			Botryococcus
GCA_000507305.1	2499525	Eukaryota		Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum
GCA_008330645.1	33653	Eukaryota		Bigyra	Bicosoecida	Cafeteriaceae	Cafeteria
GCA_021927905.1	426638	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros
GCA_003427395.1	69332	Eukaryota	Streptophyta	Charophyceae	Charales	Characeae	Chara
GCA_001662365.1	35704	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas
