Name	Identifier	ncbiTaxID
Apis dorsata	adorsata	7462
Aedes aegypti	aedes	7159
Amphimedon queenslandica	amphimedon	400682
Ancylostoma ceylanicum	ancylostoma_ceylanicum	53326
Anopheles gambiae	Anopheles_gambiae	7165
Arabidopsis thaliana	arabidopsis	3702
Argopecten irradians	Argopecten_irradians	31199
Aspergillus fumigatus	aspergillus_fumigatus	746128
Aspergillus nidulans	aspergillus_nidulans	162425
Aspergillus oryzae	aspergillus_oryzae	5062
Aspergillus terreus	aspergillus_terreus	33178
Aurelia aurita	Aurelia_aurita	6145
Bathycoccus prasinos	Bathycoccus_prasinos	41875
Berviolum minutum	Berviolum_minutum	-1
Bombus impatiens	bombus_impatiens1	132113
Bombus terrestris	bombus_terrestris2	30195
Botrytis cinerea	botrytis_cinerea	40559
Burkholderia pseudomallei	b_pseudomallei	28450
Branchiostoma floridae	Branchiostoma_floridae	7739
Brugia malayi	brugia	6279
Theobroma cacao	cacao	3641
Caenorhabditis elegans	caenorhabditis	6239
Camponotus floridanus	camponotus_floridanus	104421
Candida albicans	candida_albicans	5476
Candida guilliermondii	candida_guilliermondii	-1
Candida tropicalis	candida_tropicalis	5482
Cassiopea xamachana	Cassiopea_xamachana	12993
Chaetomium globosum	chaetomium_globosum	38033
Gallus gallus	chicken	9031
Chiloscyllium punctatum	chiloscyllium	137246
Chlamydomonas reinhardtii	chlamydomonas	3055
Chlamydomonas eustigma	Chlamydomonas_eustigma	1157962
Chlorella	chlorella	-1
Chloropicon primus	Chloropicon_primus	1764295
Chrysaora chesapeakei	Chrysaora_chesapeakei	2039481
Ciona intestinalis	ciona	7719
Coccidioides immitis	coccidioides_immitis	5501
Conidiobolus coronatus	Conidiobolus_coronatus	34488
Coprinus cinereus	coprinus_cinereus	-1
Coyote tobacco	coyote_tobacco	-1
Cryptococcus neoformans gattii	cryptococcus_neoformans_gattii	-1
Cryptococcus neoformans neoformans B	cryptococcus_neoformans_neoformans_B	-1
Cryptococcus neoformans neoformans JEC21	cryptococcus_neoformans_neoformans_JEC21	-1
Cryptosporidium hominis	Cryptosporidium_hominis	237895
Culex quinquefasciatus	culex	7176
Cyclotella cryptica	Cyclotella_cryptica	29204
Debaryomyces hansenii	debaryomyces_hansenii	4959
Dermasterias imbricata	Dermasterias_imbricata	7590
Dunaliella salina	Dunaliella_salina	3046
Escherichia coli K12	E_coli_K12	-1
Ectocarpus siliculosus	Ectocarpus_siliculosus	2880
Callorhinchus milli	elephant_shark	-1
Encephalitozoon cuniculi	Encephalitozoon_cuniculi	6035
Eremothecium gossypii	eremothecium_gossypii	33169
Fistulifera solaris	Fistulifera_solaris	1519565
Drosophila melanogaster	fly	7227
Fragilariopsis cylindrus CCMP1102	Fragilariopsis_cylindrus_CCMP1102	635003
Fusarium graminearum	fusarium_graminearum	5518
Galdieria sulphuraria	galdieria	130081
Gigaspora margarita	gigaspora_margarita	4874
Gonapodya prolifera	Gonapodya_prolifera	1123529
Heliconius melpomene	heliconius_melpomene1	34740
Histoplasma capsulatum	histoplasma_capsulatum	5037
Apis mellifera	honeybee1	7460
Homo sapiens	human	9606
Hydra vulgaris	Hydra_vulgaris	6087
Hymenolepis microstoma	hymenolepis_microstoma	85433
Lethenteron camtschaticum	japaneselamprey	980415
Kluyveromyces lactis	kluyveromyces_lactis	28985
Laccaria bicolor	laccaria_bicolor	29883
Leishmania tarentolae	leishmania_tarentolae	5689
Leptasterias	Leptasterias_sp	-1
Loa loa	Loa_loa	7209
Lodderomyces elongisporus	lodderomyces_elongisporus	36914
Magnaporthe grisea	magnaporthe_grisea	-1
Zea mays	maize	4577
Mesotaenium endlicherianum	mesotaenium_endlicherianum	184485
Micromonas commoda	Micromonas_commoda	296587
Micromonas pusilla	Micromonas_pusilla	38833
Mnemiopsis leidyi	mnemiopsis_leidyi	27923
Monoraphidium neglectum	Monoraphidium_neglectum	145388
Monosiga brevicollis	Monosiga_brevicollis	81824
Naegleria gruberi	Naegleria_gruberi	5762
Nasonia vitripennis	nasonia	7425
Nematostella vectensis	nematostella_vectensis	45351
Nemopilema nomurai	Nemopilema_nomurai	321803
Neurospora crassa	neurospora_crassa	5141
