Identifier	Name
adorsata	Apis dorsata
aedes	Aedes aegypti
amphimedon	Amphimedon queenslandica
ancylostoma_ceylanicum	Ancylostoma ceylanicum
Anopheles_gambiae	Anopheles gambiae
arabidopsis	Arabidopsis thaliana
Argopecten_irradians	Argopecten irradians
aspergillus_fumigatus	Aspergillus fumigatus
aspergillus_nidulans	Aspergillus nidulans
aspergillus_oryzae	Aspergillus oryzae
aspergillus_terreus	Aspergillus terreus
Aurelia_aurita	Aurelia aurita
Bathycoccus_prasinos	Bathycoccus prasinos
Berviolum_minutum	Berviolum minutum
bombus_impatiens1	Bombus impatiens
bombus_terrestris2	Bombus terrestris
botrytis_cinerea	Botrytis cinerea
b_pseudomallei	Burkholderia pseudomallei
Branchiostoma_floridae	Branchiostoma floridae
brugia	Brugia malayi
cacao	Theobroma cacao
caenorhabditis	Caenorhabditis elegans
camponotus_floridanus	Camponotus floridanus
candida_albicans	Candida albicans
candida_guilliermondii	Candida guilliermondii
candida_tropicalis	Candida tropicalis
Cassiopea_xamachana	Cassiopea xamachana
chaetomium_globosum	Chaetomium globosum
chicken	Gallus gallus
chiloscyllium	Chiloscyllium punctatum
chlamydomonas	Chlamydomonas reinhardtii
Chlamydomonas_eustigma	Chlamydomonas eustigma
chlorella	Chlorella
Chloropicon_primus	Chloropicon primus
Chrysaora_chesapeakei	Chrysaora chesapeakei
ciona	Ciona intestinalis
coccidioides_immitis	Coccidioides immitis
Conidiobolus_coronatus	Conidiobolus coronatus
coprinus_cinereus	Coprinus cinereus
coyote_tobacco	Coyote tobacco
cryptococcus_neoformans_gattii	Cryptococcus neoformans gattii
cryptococcus_neoformans_neoformans_B	Cryptococcus neoformans neoformans B
cryptococcus_neoformans_neoformans_JEC21	Cryptococcus neoformans neoformans JEC21
Cryptosporidium_hominis	Cryptosporidium hominis
culex	Culex quinquefasciatus
Cyclotella_cryptica	Cyclotella cryptica
debaryomyces_hansenii	Debaryomyces hansenii
Dermasterias_imbricata	Dermasterias imbricata
Dunaliella_salina	Dunaliella salina
E_coli_K12	Escherichia coli K12
Ectocarpus_siliculosus	Ectocarpus siliculosus
elephant_shark	Callorhinchus milli
Encephalitozoon_cuniculi	Encephalitozoon cuniculi
eremothecium_gossypii	Eremothecium gossypii
Fistulifera_solaris	Fistulifera solaris
fly	Drosophila melanogaster
Fragilariopsis_cylindrus_CCMP1102	Fragilariopsis cylindrus CCMP1102
fusarium_graminearum	Fusarium graminearum
galdieria	Galdieria sulphuraria
gigaspora_margarita	Gigaspora margarita
Gonapodya_prolifera	Gonapodya prolifera
heliconius_melpomene1	Heliconius melpomene
histoplasma_capsulatum	Histoplasma capsulatum
honeybee1	Apis mellifera
human	Homo sapiens
Hydra_vulgaris	Hydra vulgaris
hymenolepis_microstoma	Hymenolepis microstoma
japaneselamprey	Lethenteron camtschaticum
kluyveromyces_lactis	Kluyveromyces lactis
laccaria_bicolor	Laccaria bicolor
leishmania_tarentolae	Leishmania tarentolae
Leptasterias_sp	Leptasterias
Loa_loa	Loa loa
lodderomyces_elongisporus	Lodderomyces elongisporus
magnaporthe_grisea	Magnaporthe grisea
maize	Zea mays
mesotaenium_endlicherianum	Mesotaenium endlicherianum
Micromonas_commoda	Micromonas commoda
Micromonas_pusilla	Micromonas pusilla
mnemiopsis_leidyi	Mnemiopsis leidyi
Monoraphidium_neglectum	Monoraphidium neglectum
Monosiga_brevicollis	Monosiga brevicollis
Naegleria_gruberi	Naegleria gruberi
nasonia	Nasonia vitripennis
nematostella_vectensis	Nematostella vectensis
Nemopilema_nomurai	Nemopilema nomurai
neurospora_crassa	Neurospora crassa
Notospermus_geniculatus	Notospermus geniculatus
Ostreococcus_sp_lucimarinus	Ostreococcus sp. 'lucimarinus'
Ostreococcus_tauri	Ostreococcus tauri
Paramecium_tetraurelia	Paramecium tetraurelia
parasteatoda	Parasteatoda tepidariorum
pea_aphid	Acyrthosiphon pisum
Pediculus_humanus	Pediculus humanus
Perkinsus_marinus	Perkinsus marinus
pfalciparum	Plasmodium falciparum
Phaeodactylum_tricornutum	Phaeodactylum tricornutum
phanerochaete_chrysosporium	Phanerochaete chrysosporium
Physcomitrium_patens	Physcomitrium patens
pichia_stipitis	Pichia stipitis
pisaster	Pisaster ochraceus
pneumocystis	Pneumocystis jirovecii
Populus_trichocarpa	Populus trichocarpa
Pseudo	Pseudo-nitzschia multistriata
Ptychodera_flava	Ptychodera flava
Pycnopodia_helianthoides	Pycnopodia helianthoides
Raphidocelis_subcapitata	Raphidocelis subcapitata
rhincodon	Rhincodon typus
rhizopus_oryzae	Rhizopus oryzae
rhodnius	Rhodnius prolixus
Rhopilema_esculentum	Rhopilema esculentum
rice	Oryza brachyantha
Ricinus_communis	Ricinus communis
saccharomyces_cerevisiae_rm11	Saccharomyces cerevisiae rm11
saccharomyces_cerevisiae_S288C	Saccharomyces cerevisiae S288C
s_aureus	Staphylococcus aureus
schistosoma	Schistosoma mansoni
schizosaccharomyces_pombe	Schizosaccharomyces pombe
Sclerotinia_sclerotiorum	Sclerotinia sclerotiorum
scyliorhinus	Scyliorhinus torazame
sealamprey	Petromyzon marinus
Skeletonema_costatum	Skeletonema costatum
Sordaria_macrospora	Sordaria macrospora
Sphaceloma_murrayae	Sphaceloma murrayae
s_pneumoniae	Streptococcus pneumoniae
strongylocentrotus_purpuratus	Strongylocentrotus purpuratus
sulfolobus_solfataricus	Sulfolobus solfataricus
sunflower	Helianthus annuus
Taeniopygia_guttata	Taeniopygia guttata
tetrahymena	Tetrahymena thermophila
Thalassiosira_pseudonana_CCMP1335	Thalassiosira pseudonana CCMP1335
thermoanaerobacter_tengcongensis	Thermoanaerobacter tengcongensis
tomato	Solanum lycopersicum
toxoplasma	Toxoplasma gondii
tribolium2012	Tribolium castaneum
trichinella	Trichinella spiralis
Trichoplax_adhaerens	Trichoplax adhaerens
Trypanosoma_cruzi	Trypanosoma cruzi
ustilago_maydis	Ustilago maydis
verticillium_albo_atrum1	Verticillium albo-atrum
verticillium_longisporum1	Verticillium longisporum
Vitis_vinifera	Vitis vinifera
Vitrella_brassicaformis	Vitrella brassicaformis
volvox	Volvox carteri
wheat	Triticum aestivum
Xenopus_tropicalis	Xenopus tropicalis
Xiphophorus_maculatus	Xiphophorus maculatus
yarrowia_lipolytica	Yarrowia lipolytica
zebrafish	Danio rerio
