ncbiTaxID	Genome	Superkingdom	Phylum	Class	Order	Family	Genus
246	GCF_003815995.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
436	GCF_014843995.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Novacetimonas
988	GCF_004104035.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella
1512	GCF_008632235.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
1526	GCF_900112885.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
1527	GCF_900205915.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerocolumna
1533	GCF_900129365.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
2292	GCF_013389365.1	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter
2718	GCF_900637305.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium
29347	GCF_020892115.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
29348	GCF_902373765.1	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia
29362	GCF_029318685.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminiclostridium
29364	GCF_900111595.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
29448	GCF_012871055.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium
29450	GCF_014198775.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
33007	GCF_002860625.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Winkia
33074	GCF_003610015.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Zymobacter
33876	GCF_000717135.1	Bacteria	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Catenuloplanes
34061	GCF_900637105.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella
35757	GCF_900187295.1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
35760	GCF_002761235.1	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
36834	GCF_021412605.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
37659	GCF_000703125.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
39483	GCF_028321995.1	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea
39488	GCF_018140635.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerobutyricum
39492	GCA_029076545.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	
39496	GCF_003475105.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium
39962	GCF_900452715.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
43659	GCF_002310835.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
43670	GCF_006538745.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas
43671	GCA_007991475.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Actinotalea
52764	GCF_013388295.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella
55211	GCF_019844095.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia
58621	GCF_014202345.1	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
59610	GCF_000016165.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulforamulus
61150	GCF_007989895.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
61435	GCF_000830905.1	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides
65958	GCF_018491655.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
65959	GCF_002738225.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
68334	GCF_024169515.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia
69824	GCF_900102365.1	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia
76861	GCF_007989825.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas
76862	GCF_020412445.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas
77608	GCF_005877035.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
82979	GCF_002591785.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Budviciaceae	Budvicia
82995	GCF_900186025.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
83655	GCF_001518835.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia
88132	GCF_000183205.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Eremococcus
92759	GCF_014174255.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
94625	GCF_900454225.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
96344	GCF_008807855.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
99656	GCF_900111235.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
100225	GCF_900111385.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermatophilaceae	Austwickia
104102	GCF_001580945.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
106649	GCF_002370525.2	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
110479	GCF_014635085.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia
110937	GCF_009834205.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rathayibacter
111504	GCF_000278095.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella
134536	GCF_000383275.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
142834	GCF_014174355.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
146474	GCF_000963965.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
146475	GCF_000963925.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
146476	GCF_000964225.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
146817	GCF_900104455.1	Bacteria	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Dendrosporobacter
158823	GCF_900635955.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea
158841	GCF_900478135.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Budviciaceae	Leminorella
166935	GCF_000026085.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
178001	GCF_019656015.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
178901	GCF_001580615.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
187327	GCF_902381715.1	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
204042	GCF_002887555.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya
208223	GCF_025758125.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia
208962	GCF_016904755.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
213312	GCF_026127345.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum
215220	GCF_003207895.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
216463	GCF_000965255.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus
