ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
368407	Methanoculleus marisnigri	JR1	22,5	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
259564	Methanococcoides burtonii	DSM 6242	23,5	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
416348	Halorubrum lacusprofundi	ATCC 49239	33,5	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum
323259	Methanospirillum hungatei	JF-1	33,5	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum
1434104	Methanococcoides methylutens	MM1	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
2177	Methanohalophilus halophilus	Z-7982	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus
547558	Methanohalophilus mahii	DSM 5219	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus
1434106	Methanosarcina barkeri	227	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1434107	Methanosarcina barkeri	3	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
796385	Methanosarcina barkeri	CM1	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
2208	Methanosarcina barkeri	Fusaro	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1434108	Methanosarcina barkeri	MS	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
2208	Methanosarcina barkeri	Wiesmoor	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
192952	Methanosarcina mazei	Go1	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1434114	Methanosarcina mazei	LYC	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
213585	Methanosarcina mazei	S-6	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1434115	Methanosarcina mazei	SarPi	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1434117	Methanosarcina mazei	WWM610	35	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
634498	Methanobrevibacter ruminantium	M1	37	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
2173	Methanobrevibacter smithii	ATCC 35061; PS; DSMZ 861	37	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
410358	Methanocorpusculum labreanum	Z	37	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum
83986	Methanoculleus bourgensis	[isolate BA1]	37	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
83986	Methanoculleus bourgensis	MS2T	37	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
1094980	Methanolobus psychrophilus	R15	37	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus
339860	Methanosphaera stadtmanae	DSM 3091	37	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera
797304	Natronobacterium gregoryi	SP2	37	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronobacterium
51589	Haloarcula hispanica	CGMCC 1.2049	37,5	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula
1417673	Haloarcula hispanica	N601	37,5	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula
35746	Haloferax gibbonsii	ARA6	37,5	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax
2162	Methanobacterium formicicum	DSM1535	37,5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
2162	Methanobacterium formicicum	[isolate Mb9]	37,5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
2162	Methanobacterium formicicum	BRM9	37,5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
419665	Methanococcus aeolicus	Nankai-3	37,5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
402880	Methanococcus maripaludis	C5	37,5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
444158	Methanococcus maripaludis	C6	37,5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
426368	Methanococcus maripaludis	C7	37,5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
267377	Methanococcus maripaludis	S2	37,5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
