ncbiTaxID	Name	Strain	Temp
368407	Methanoculleus marisnigri	JR1	22,5
259564	Methanococcoides burtonii	DSM 6242	23,5
416348	Halorubrum lacusprofundi	ATCC 49239	33,5
323259	Methanospirillum hungatei	JF-1	33,5
1434104	Methanococcoides methylutens	MM1	35
2177	Methanohalophilus halophilus	Z-7982	35
547558	Methanohalophilus mahii	DSM 5219	35
1434106	Methanosarcina barkeri	227	35
1434107	Methanosarcina barkeri	3	35
796385	Methanosarcina barkeri	CM1	35
2208	Methanosarcina barkeri	Fusaro	35
1434108	Methanosarcina barkeri	MS	35
2208	Methanosarcina barkeri	Wiesmoor	35
192952	Methanosarcina mazei	Go1	35
1434114	Methanosarcina mazei	LYC	35
213585	Methanosarcina mazei	S-6	35
1434115	Methanosarcina mazei	SarPi	35
1434117	Methanosarcina mazei	WWM610	35
634498	Methanobrevibacter ruminantium	M1	37
2173	Methanobrevibacter smithii	ATCC 35061; PS; DSMZ 861	37
410358	Methanocorpusculum labreanum	Z	37
83986	Methanoculleus bourgensis	[isolate BA1]	37
83986	Methanoculleus bourgensis	MS2T	37
1094980	Methanolobus psychrophilus	R15	37
339860	Methanosphaera stadtmanae	DSM 3091	37
797304	Natronobacterium gregoryi	SP2	37
51589	Haloarcula hispanica	CGMCC 1.2049	37,5
1417673	Haloarcula hispanica	N601	37,5
35746	Haloferax gibbonsii	ARA6	37,5
2162	Methanobacterium formicicum	DSM1535	37,5
2162	Methanobacterium formicicum	[isolate Mb9]	37,5
2162	Methanobacterium formicicum	BRM9	37,5
419665	Methanococcus aeolicus	Nankai-3	37,5
402880	Methanococcus maripaludis	C5	37,5
444158	Methanococcus maripaludis	C6	37,5
426368	Methanococcus maripaludis	C7	37,5
267377	Methanococcus maripaludis	S2	37,5
1053692	Methanococcus maripaludis	X1	37,5
406327	Methanococcus vannielii	SB	37,5
456320	Methanococcus voltae	A3	37,5
-1	Methanosaeta concilii	GP6	37,5
188937	Methanosarcina acetivorans	C2A	37,5
694430	Natronococcus occultus	SP4	37,5
1434123	Methanosarcina vacuolata	Z-761	38,5
547559	Natrialba magadii	ATCC 43099	38,5
797303	Natrinema pellirubrum	DSM 15624	38,5
60847	Halogeometricum borinquense	PR 3	40
272569	Haloarcula marismortui	ATCC 43049	45
309800	Haloferax volcanii	DS2	45
543526	Haloterrigena turkmenica	DSM 5511	45
2257	Natronomonas pharaonis	Gabara	45
644295	Methanohalobium evestigatum	Z-7303	47,5
2252	Haloferax mediterranei	CGMCC 1.2087	48,5
2242	Halobacterium salinarum	DSM 671 = R1	50
2242	Halobacterium salinarum	NRC-1; ATCC 700922	50
523844	Methanosarcina thermophila	TM-1	52,5
273075	Thermoplasma acidophilum	DSM 1728	59
145263	Methanothermobacter marburgensis	Marburg	60
145262	Methanothermobacter thermautotrophicus	Delta H	60
145261	Methanothermobacter wolfeii	[isolate SIV6]	60
273116	Thermoplasma volcanium	GSS1	60
647113	Methanothermococcus okinawensis	IH1	62,5
2285	Sulfolobus acidocaldarius	DG1	72,5
330779	Sulfolobus acidocaldarius	DSM 639	72,5
1028566	Sulfolobus acidocaldarius	N8	72,5
2285	Sulfolobus acidocaldarius	Ron12/I	72,5
2285	Sulfolobus acidocaldarius	Y14 13-1	72,5
2285	Sulfolobus acidocaldarius	Y14 16-22	72,5
2285	Sulfolobus acidocaldarius	Y14 18-5	72,5
2285	Sulfolobus acidocaldarius	Y14 20-20	72,5
1006006	Metallosphaera cuprina	Ar-4	75
43687	Metallosphaera sedula	ARS120-1	75
43687	Metallosphaera sedula	ARS120-2	75
43687	Metallosphaera sedula	ARS50-1	75
43687	Metallosphaera sedula	ARS50-2	75
399549	Metallosphaera sedula	DSM 5348	75
43687	Metallosphaera sedula	SARC-M1	75
693661	Archaeoglobus veneficus	SNP6	80
579137	Methanocaldococcus vulcanius	M7	80
49899	Thermococcus profundus	DT 5432	80
572546	Archaeoglobus profundus	DSM 5631	82
523846	Methanothermus fervidus	DSM 2088	82,5
224325	Archaeoglobus fulgidus	DSM 4304	83
1344584	Archaeoglobus fulgidus	DSM 8774	83
71997	Thermococcus gorgonarius	W-12	84
71998	Thermococcus pacificus	P-4	84
397948	Caldivirga maquilingensis	IC-167	85
765177	Desulfurococcus mucosus	DSM 2162	85
589924	Ferroglobus placidus	DSM 10642	85
1301915	Methanocaldococcus bathoardescens	JH146	85
573064	Methanocaldococcus fervens	AG86	85
573063	Methanocaldococcus infernus	ME	85
243232	Methanocaldococcus jannaschii	DSM 2661	85
-1	Sulfolobus solfataricus	98/2	85
-1	Sulfolobus solfataricus	P1	85
-1	Sulfolobus solfataricus	P2	85
-1	Sulfolobus solfataricus	SULA	85
-1	Sulfolobus solfataricus	SULB	85
-1	Sulfolobus solfataricus	SULC	85
55802	Thermococcus barophilus	CH5	85
391623	Thermococcus barophilus	MP	85
54262	Thermococcus chitonophagus	[isolate 1]	85
54262	Thermococcus chitonophagus	GC74	85
53952	Thermococcus peptonophilus	OG-1	85
633148	Thermosphaera aggregans	DSM 11486	85
368408	Thermofilum pendens	Hrk 5	87,5
880724	Methanotorris igneus	Kol 5	88
2264	Thermococcus celer	Vu 13	88
1432656	Thermococcus guaymasensis	DSM 11113	88
523849	Thermococcus litoralis	DSM 5473	88
940295	Ignicoccus islandicus	DSM 13165	90
768679	Thermoproteus tenax	Kra 1	90
999630	Thermoproteus uzoniensis	768-20	90
490899	Desulfurococcus amylolyticus	1221n	91
768672	Desulfurococcus amylolyticus	DSM 16532	91
399550	Staphylothermus marinus	F1	92
29292	Pyrococcus abyssi	Orsay	96
70601	Pyrococcus horikoshii	OT3	98
384616	Pyrobaculum islandicum	DSM 4184	100
1185654	Pyrococcus furiosus	COM1	100
186497	Pyrococcus furiosus	DSM 3638	100
694429	Pyrolobus fumarii	1A	106
415426	Hyperthermus butylicus	DSM 5456	114
238834	Clostridium estertheticum	nan	7
1217908	Octadecabacter antarcticus	nan	7
60217	Shewanella violacea	nan	7
28229	Colwellia psychrerythraea	nan	9,5
53946	Octadecabacter arcticus	nan	9,5
84980	Desulfotalea psychrophila	nan	10
74109	Photobacterium profundum	nan	10
57029	Psychroflexus torquis	nan	12,5
59600	Cellulophaga algicola	nan	15
81479	Rhodoferax antarcticus	nan	15
1238	Piscirickettsia salmonis	nan	16,5
1646	Renibacterium salmoninarum	nan	16,5
76594	Cellulophaga baltica	nan	17,5
96345	Flavobacterium psychrophilum	nan	17,5
392734	Terriglobus roseus	nan	17,5
45610	Psychrobacter urativorans	nan	18
101385	Aequorivita sublithincola	nan	20
191579	Fluviicola taffensis	nan	20
188932	Pedobacter cryoconitis	nan	20
296	Pseudomonas fragi	nan	20
56	Sorangium cellulosum	nan	20
55601	Vibrio anguillarum	nan	20
74033	Antarctobacter heliothermus	nan	21
56812	Shewanella frigidimarina	nan	21
313588	Croceibacter atlanticus	nan	21,5
55197	Flavobacterium branchiophilum	nan	21,5
168695	Salinispora tropica	nan	21,5
1247	Oenococcus oeni	nan	22
51663	Pediococcus damnosus	nan	22
43948	Tolumonas auensis	nan	22
40214	Acinetobacter johnsonii	nan	22,5
656366	Arthrobacter alpinus	nan	22,5
1703	Brevibacterium linens	nan	22,5
74318	Maricaulis maris	nan	22,5
412690	Microterricola viridarii	nan	22,5
37332	Nocardia seriolae	nan	22,5
34090	Pelodictyon phaeoclathratiforme	nan	22,5
121292	Pseudarthrobacter sulfonivorans	nan	22,5
132919	Rhodococcus jostii	nan	22,5
60961	Shewanella woodyi	nan	22,5
466153	Singulisphaera acidiphila	nan	23
645	Aeromonas salmonicida	nan	23,5
79329	Chitinophaga pinensis	nan	23,5
-1	Lactobacillus lindneri	nan	23,5
168697	Salinispora arenicola	nan	24
28447	Clavibacter michiganensis	nan	24,5
651	Aeromonas media	nan	25
59754	Alcanivorax borkumensis	nan	25
668	Aliivibrio fischeri	nan	25
353	Azotobacter chroococcum	nan	25
959	Bdellovibrio bacteriovorus	nan	25
533	Beijerinckia indica	nan	25
232259	Belliella baltica	nan	25
304895	Catenulispora acidiphila	nan	25
1096	Chlorobium phaeobacteroides	nan	25
1094	Chlorobium phaeovibrioides	nan	25
100716	Chloroherpeton thalassium	nan	25
395922	Coraliomargarita akajimensis	nan	25
241425	Crinalium epipsammum	nan	25
2724	Hirschia baltica	nan	25
33964	Leuconostoc citreum	nan	25
1244	Leuconostoc gelidum	nan	25
1246	Leuconostoc lactis	nan	25
1245	Leuconostoc mesenteroides	nan	25
119864	Marinomonas mediterranea	nan	25
29405	Microlunatus phosphovorus	nan	25
53461	Nakamurella multipartita	nan	25
450734	Nocardioides dokdonensis	nan	25
984	Pedobacter heparinus	nan	25
85085	Pseudarthrobacter chlorophenolicus	nan	25
43657	Pseudoalteromonas luteoviolacea	nan	25
2434	Roseobacter denitrificans	nan	25
42443	Roseobacter litoralis	nan	25
70864	Shewanella pealeana	nan	25
63612	Sodalis glossinidius	nan	25
564064	Spirosoma rigui	nan	25
1476	Sporosarcina psychrophila	nan	25
1571	Sporosarcina ureae	nan	25
53336	Tatumella citrea	nan	25
28173	Vibrio nigripulchritudo	nan	25
145458	Rathayibacter toxicus	nan	25,5
33888	Rathayibacter tritici	nan	25,5
979	Cellulophaga lytica	nan	26
1861	Geodermatophilus obscurus	nan	26
45658	Vibrio scophthalmi	nan	26
359	Agrobacterium rhizogenes	nan	26,5
358	Agrobacterium tumefaciens	nan	26,5
373	Agrobacterium vitis	nan	26,5
774	Bartonella bacilliformis	nan	26,5
2350	Haliscomenobacter hydrossis	nan	26,5
-1	Bacillus flexus	nan	27
106590	Cupriavidus necator	nan	27
106592	Ensifer adhaerens	nan	27
125	Pirellula staleyi	nan	27
2371	Xylella fastidiosa	nan	27
28446	Anaerotignum propionicum	nan	27,5
78587	Asticcacaulis excentricus	nan	27,5
1079	Blastochloris viridis	nan	27,5
43669	Brachybacterium faecium	nan	27,5
375	Bradyrhizobium japonicum	nan	27,5
74313	Brevundimonas subvibrioides	nan	27,5
41276	Brevundimonas vesicularis	nan	27,5
196	Campylobacter fetus	nan	27,5
69395	Caulobacter henricii	nan	27,5
155892	Caulobacter vibrioides	nan	27,5
253	Chryseobacterium indologenes	nan	27,5
33871	Coriobacterium glomerans	nan	27,5
1727	Corynebacterium variabile	nan	27,5
320787	Cyclobacterium amurskyense	nan	27,5
104	Cyclobacterium marinum	nan	27,5
67780	Edwardsiella ictaluri	nan	27,5
39960	Erythrobacter litoralis	nan	27,5
996	Flavobacterium columnare	nan	27,5
986	Flavobacterium johnsoniae	nan	27,5
81475	Frateuria aurantia	nan	27,5
442	Gluconobacter oxydans	nan	27,5
37487	Marichromatium purpuratum	nan	27,5
71433	Mesorhizobium amorphae	nan	27,5
39645	Mesorhizobium ciceri	nan	27,5
381	Mesorhizobium loti	nan	27,5
-1	Methylobacterium extorquens	nan	27,5
31998	Methylobacterium radiotolerans	nan	27,5
-1	Methylobacterium zatmanii	nan	27,5
300019	Microbacterium paludicola	nan	27,5
1084	Pararhodospirillum photometricum	nan	27,5
182210	Pseudodesulfovibrio aespoeensis	nan	27,5
47878	Pseudomonas azotoformans	nan	27,5
47880	Pseudomonas fulva	nan	27,5
303	Pseudomonas putida	nan	27,5
29449	Rhizobium etli	nan	27,5
56730	Rhizobium gallicum	nan	27,5
384	Rhizobium leguminosarum	nan	27,5
398	Rhizobium tropici	nan	27,5
106	Runella slithyformis	nan	27,5
60920	Sanguibacter keddieii	nan	27,5
380	Sinorhizobium fredii	nan	27,5
110321	Sinorhizobium medicae	nan	27,5
382	Sinorhizobium meliloti	nan	27,5
921	Starkeya novella	nan	27,5
1888	Streptomyces albus	nan	27,5
80679	Thioflavicoccus mobilis	nan	27,5
280	Xanthobacter autotrophicus	nan	27,5
542	Zymomonas mobilis	nan	27,5
-1	Bacillus endophyticus	nan	28
84757	Beutenbergia cavernae	nan	28
60550	Burkholderia pyrrocinia	nan	28
225326	Corynebacterium halotolerans	nan	28
28223	Desulfobacula toluolica	nan	28
79209	Desulfosporosinus meridiei	nan	28
94254	Dyadobacter fermentans	nan	28
1556	Gottschalkia acidurici	nan	28
1575	Leifsonia xyli	nan	28
84292	Microbacterium chocolatum	nan	28
53437	Nocardiopsis alba	nan	28
160799	Paenibacillus borealis	nan	28
189425	Paenibacillus graminis	nan	28
189426	Paenibacillus odorifer	nan	28
169760	Paenibacillus stellifer	nan	28
291112	Photorhabdus asymbiotica	nan	28
29488	Photorhabdus luminescens	nan	28
574560	Photorhabdus temperata	nan	28
103731	Saccharothrix espanaensis	nan	28
61015	Staphylococcus succinus	nan	28
65553	Sulfurospirillum deleyianum	nan	28
29447	Xanthomonas albilineans	nan	28
53413	Xanthomonas axonopodis	nan	28
339	Xanthomonas campestris	nan	28
48664	Xanthomonas fragariae	nan	28
347	Xanthomonas oryzae	nan	28
56458	Xanthomonas sacchari	nan	28
343	Xanthomonas translucens	nan	28
56460	Xanthomonas vesicatoria	nan	28
40576	Xenorhabdus bovienii	nan	28
628	Xenorhabdus nematophila	nan	28
40577	Xenorhabdus poinarii	nan	28
186189	Xylanimonas cellulosilytica	nan	28
340345	Actinoalloteichus hymeniacidonis	nan	28,5
511	Alcaligenes faecalis	nan	28,5
552	Erwinia amylovora	nan	28,5
182337	Erwinia billingiae	nan	28,5
79967	Erwinia pyrifoliae	nan	28,5
82983	Obesumbacterium proteus	nan	28,5
-1	Ochrobactrum anthropi	nan	28,5
554	Pectobacterium carotovorum	nan	28,5
29483	Yersinia aldovae	nan	28,5
630	Yersinia enterocolitica	nan	28,5
29484	Yersinia frederiksenii	nan	28,5
631	Yersinia intermedia	nan	28,5
28152	Yersinia kristensenii	nan	28,5
632	Yersinia pestis	nan	28,5
633	Yersinia pseudotuberculosis	nan	28,5
29485	Yersinia rohdei	nan	28,5
29486	Yersinia ruckeri	nan	28,5
40567	Actinosynnema mirum	nan	29
1452	Bacillus atrophaeus	nan	29
1423	Bacillus subtilis	nan	29
72361	Bacillus vallismortis	nan	29
92947	Ketogulonicigenium robustum	nan	29
92945	Ketogulonicigenium vulgare	nan	29
182640	Kribbella flavida	nan	29
2151	Mesoplasma florum	nan	29
33	Myxococcus fulvus	nan	29
912	Nitrobacter hamburgensis	nan	29
913	Nitrobacter winogradskyi	nan	29
280236	Nocardiopsis gilva	nan	29
253245	Owenweeksia hongkongensis	nan	29
59893	Paenibacillus peoriae	nan	29
388950	Pontibacter akesuensis	nan	29
-1	Porphyrobacter neustonensis	nan	29
53412	Pseudomonas resinovorans	nan	29
265606	Rhodopirellula baltica	nan	29
29510	Turneriella parva	nan	29
644	Aeromonas hydrophila	nan	29,5
238	Elizabethkingia meningoseptica	nan	29,5
172045	Elizabethkingia miricola	nan	29,5
82985	Pragia fontium	nan	29,5
435	Acetobacter aceti	nan	30
438	Acetobacter pasteurianus	nan	30
33952	Acetobacterium woodii	nan	30
-1	Acholeplasma brassicae	nan	30
-1	Acholeplasma palmae	nan	30
1049	Allochromatium vinosum	nan	30
-1	Bacillus simplex	nan	30
1393	Brevibacillus brevis	nan	30
54913	Brevibacillus formosus	nan	30
1465	Brevibacillus laterosporus	nan	30
1708	Cellulomonas fimi	nan	30
1711	Cellulomonas flavigena	nan	30
1092	Chlorobium limicola	nan	30
84022	Clostridium aceticum	nan	30
36745	Clostridium saccharoperbutylacetonicum	nan	30
1697	Corynebacterium ammoniagenes	nan	30
985	Cytophaga hutchinsonii	nan	30
55583	Dehalobacter restrictus	nan	30
55148	Deinococcus proteolyticus	nan	30
1299	Deinococcus radiodurans	nan	30
142877	Desulfitobacterium metallireducens	nan	30
65555	Desulfocapsa sulfexigens	nan	30
326320	Dokdonia donghaensis	nan	30
61645	Enterobacter asburiae	nan	30
550	Enterobacter cloacae	nan	30
208224	Enterobacter kobei	nan	30
173480	Gemmatimonas aurantiaca	nan	30
33996	Gluconacetobacter diazotrophicus	nan	30
569	Hafnia alvei	nan	30
927	Halothiobacillus neapolitanus	nan	30
39765	Hydrogenovibrio crunogenus	nan	30
53399	Hyphomicrobium denitrificans	nan	30
167642	Ilyobacter polytropus	nan	30
372663	Isoptericola dokdonensis	nan	30
43674	Jonesia denitrificans	nan	30
174	Leptospira borgpetersenii	nan	30
173	Leptospira interrogans	nan	30
28183	Leptospira santarosai	nan	30
55518	Magnetospirillum gryphiswaldense	nan	30
36805	Microbacterium aurum	nan	30
2033	Microbacterium testaceum	nan	30
111501	Muricauda ruestringensis	nan	30
-1	Mycobacterium immunogenum	nan	30
1781	Mycobacterium marinum	nan	30
50052	Mycoplasma crocodyli	nan	30
-1	Mycoplasma mobile	nan	30
28091	Neisseria weaveri	nan	30
182710	Oceanobacillus iheyensis	nan	30
-1	Oligotropha carboxidovorans	nan	30
1406	Paenibacillus polymyxa	nan	30
159743	Paenibacillus terrae	nan	30
185300	Paludibacter propionicigenes	nan	30
549	Pantoea agglomerans	nan	30
553	Pantoea ananatis	nan	30
66269	Pantoea stewartii	nan	30
34003	Paracoccus aminophilus	nan	30
