strainID	Genus	Species	Strain	typeID	has_model	biomassID
1	Lactobacillus	plantarum	wcfs1	1	1	
2	Geobacter	sulfurreducens	-	1	1	
3	Chromohalobacter	salexigens	CHR61	1	1	
4	Chromohalobacter	salexigens	CHR95	1	1	
5	Chromohalobacter	salexigens	CHR161	1	1	
6	Chromohalobacter	salexigens	CHR183	1	1	
7	Chromohalobacter	salexigens	DSM 3043	1	1	
8	Acinetobacter	baylyi	ADP1	1	1	
9	Acinetobacter	baylyi	ADP331	1	1	
10	Acinetobacter	baylyi	ADP197	1	1	
11	Acinetobacter	baylyi	ADPU331	1	1	
12	Leishmania	major	-	3	1	
13	Komagataella	pastoris	DSMZ 70382	3	1	
14	Yersinia	pestis	EV76	1	1	
15	Pseudomonas	aeruginosa	PA01	1	1	
16	Chlamydomonas	reinhardtii	-	3	1	
17	Klebsiella 	pneumoniae	-	1	1	
19	Yersinia	pestis	EV76_Vwa+	1	1	
20	Porphyromonas	gingivalis	W83	1	1	
21	Porphyromonas	gingivalis	W50	1	1	
22	Porphyromonas	gingivalis	LH9	1	1	
23	Porphyromonas	gingivalis	WPH15	1	1	
24	Porphyromonas	gingivalis	WPH34	1	1	
25	Porphyromonas	gingivalis	HG91	1	1	
26	Porphyromonas	gingivalis	HG184	1	1	
27	Porphyromonas	gingivalis	Hg185	1	1	
28	Clostridium	acetobutylicum	P262	1	1	
29	Clostridium	acetobutylicum	ATCC 824	1	1	
30	Clostridium	acetobutylicum	SA-2	1	1	
31	Clostridium	beijerinckii	NCIMB 8052	1	1	
32	Escherichia	coli	O157:H7 ATCC 43895	1	1	1
33	Escherichia	coli	O157:H7 RIMD0509952	1	1	1
34	Escherichia	coli	JM109	1	1	1
35	Escherichia	coli	O157:H7	1	1	1
36	Escherichia	coli	HB101	1	1	1
37	Escherichia	coli	JM109[pEcoR4,pRK248cI,pMTC48]	1	1	1
38	Escherichia	coli	ATCC 23794	1	1	1
39	Escherichia	coli	JCL1225[pJF118]	1	1	1
40	Escherichia	coli	JCL1225[pPC201]	1	1	1
41	Escherichia	coli	JCL1535[pJF118]	1	1	1
42	Escherichia	coli	JCL1535[pPC201]	1	1	1
43	Escherichia	coli	JM109[pUC 13]	1	1	1
44	Escherichia	coli	BW25113	1	1	1
45	Escherichia	coli	BW25113_zwf-	1	1	1
46	Escherichia	coli	BW25113_ppc-	1	1	1
47	Escherichia	coli	BW25113_gnd-	1	1	1
48	Escherichia	coli	BW25113_pflA-	1	1	1
49	Escherichia	coli	BW25113_pflB-	1	1	1
50	Escherichia	coli	BW25113_pflC-	1	1	1
51	Escherichia	coli	BW25113_pflD-	1	1	1
52	Escherichia	coli	BW25113_pta-	1	1	1
54	Escherichia	coli	BW25113_adhE-	1	1	1
55	Escherichia	coli	BW25113_pykF-	1	1	1
56	Escherichia	coli	K-10	1	1	1
57	Escherichia	coli	MG1655 / pKB2	1	1	1
58	Escherichia	coli	VH1000 :: ppcnB-lacZ	1	1	1
59	Escherichia	coli	MG1655[pBR322]	1	1	1
60	Escherichia	coli	MG1655[pPP1]	1	1	1
61	Escherichia	coli	W3110[pBR322]	1	1	1
62	Escherichia	coli	W3110[pPP1]	1	1	1
63	Thermotoga	maritima	-	1	1	
64	Escherichia	coli	ML30G	1	1	1
65	Escherichia	coli	TS689	1	1	1
66	Escherichia	coli	K-12	1	1	1
67	Salmonella	enterica	Typhimurium LT2	1	1	
68	Escherichia	coli	MG1655	1	1	1
69	Escherichia	coli	MDS12	1	1	1
70	Escherichia	coli	W3110	1	1	1
71	Escherichia	coli	JM101	1	1	1
72	Escherichia	coli	K-10_Zwf-	1	1	1
73	Escherichia	coli	W3110_Pgi-	1	1	1
74	Escherichia	coli	K-10_PfkA-	1	1	1
75	Escherichia	coli	JM101_PykAF-	1	1	1
76	Escherichia	coli	K-12_Mae-_Pck-	1	1	1
77	Escherichia	coli	MG1655_SdhA-_Mdh-	1	1	1
78	Escherichia	coli	K-12_FumA-	1	1	1
79	Rhizobium	etli	CE3	1	1	
80	Rhizobium	etli	dec/53	1	1	
81	Clostridium	thermocellum	ATCC 27405	1	1	
83	Escherichia	coli	BL21(DE3)	1	1	1
84	Escherichia	coli	B834(DE3)	1	1	1
85	Escherichia	coli	MC4100	1	1	1
87	Rhizobium	etli	M4	1	1	
88	Rhizobium	etli	Viking 1	1	1	
89	Rhizobium	etli	CIAT613	1	1	
90	Rhizobium	etli	CFN42	1	1	
91	Rhizobium	etli	ReTV1	1	1	
92	Rhizobium	etli	ReTV2	1	1	
93	Rhizobium	etli	CFNX186	1	1	
94	Rhizobium	etli	CFNX186-4	1	1	
95	Rhizobium	etli	CFNX186-24	1	1	
96	Vibrio	vulnificus	C7184	1	1	
97	Natronomonas	pharaonis	DSM 2160	2	1	
98	Bacillus	subtilis	168	1	1	4
99	Shewanella	oneidensis	MR-1	1	1	
100	Shewanella	oneidensis	SO4118	1	1	
101	Shewanella	oneidensis	SO3855	1	1	
102	Shewanella	oneidensis	SO4606/SO2363	1	1	
