CCUG Number	Strain	Source	Depositor	Deposit Date
53761 AT	Paenalcaligenes hominis	Human blood, 85-yr-old woman	Blood Dept, SU, Göteborg, Sweden	2006-11-20
76614T	Ideonella paludis	Marshland	J.-S.Lee, KCTC, Daejeon, Korea	2022-10-15
76604T	Mixta gaviniae	Powdered infant formula	BE, Gent, LMG, Vereecke Claudine	2022-10-06
76605T	Mixta calida	Powdered infant formula	LMG, Gent, Belgium	2022-10-06
76606T	Eikenella halliae	Eye discharge	BE, Gent, LMG, Vereecke Claudine	2022-10-06
76607T	Eikenella longinqua	Human blood culture	BE, Gent, LMG, Vereecke Claudine	2022-10-06
76608T	Ideonella livida	Lake water	BE, Gent, LMG, Vereecke Claudine	2022-10-06
76579T	Cronobacter condimenti	Spiced meat	N R Aznar, CECT, Valencia, Spain	2022-09-21
76580T	Cronobacter universalis	Freshwater	N R Aznar, CECT, Valencia, Spain	2022-09-21
76581T	Mycobacterium eburneum	Human sputum	N R Aznar, CECT, Valencia, Spain	2022-09-21
76560T	Lactobacillus paragasseri	Human	M.Sakamoto, JCM, RIKEN, Wako, Saitama, Japan	2022-09-19
76561T	Dialister succinatiphilus	Human faeces	M.Sakamoto, JCM, RIKEN, Wako, Saitama, Japan	2022-09-19
76547T	Lacticaseibacillus casei	Faeces of Canada geese	US, FDA, Silver Spring, Volokhov	2022-09-16
76271T	Acinetobacter kanungonis	Skin of fresh water pufferfish	A.Nemec, Prague, Czech Republic	2022-05-13
76272T	Acinetobacter stercoris	Output sample from biogas plant	A.Nemec, Prague, Czech Republic	2022-05-13
75877T	Acinetobacter silvestris	Mud, bank of a seasonal forest creek	A.Nemec, Prague, Czech Republic	2021-11-25
75668T	Alcaligenes endophyticus	Roots of Ammodenron bifolium	DSMZ, Braunschweig, Germany	2021-08-13
75669T	Ideonella azotifigens	Grass rhizosphere soil	DSMZ, Braunschweig, Germany	2021-08-13
75670T	Ideonella sakaiensis	Microbial consortium	DSMZ, Braunschweig, Germany	2021-08-13
75671T	Legionella saoudiensis	Sewage water sample	DSMZ, Braunschweig, Germany	2021-08-13
75672T	Pseudomonas furukawaii	Soil near biphenyl maufactering plant	DSMZ, Braunschweig, Germany	2021-08-13
75492T	Streptococcus toyakuensis	Human blood	T.Suyama, Tsukuba, Japan	2021-05-24
75319T	Vibrio paracholerae	Water	Bangladesh, Dhaka, Kamrangir Char	2021-04-19
75085T	Sangeribacter muris	Faeces	Beresford-Jones, Cambridge, UK	2021-04-08
75230T	Corynebacterium gottingense	Human blood	DSMZ, Braunschweig, Germany	2021-02-26
75233T	Corynebacterium urinapleomorphum	Human urine	D, Braunschweig, DSMZ, Gronow S	2021-02-26
75235T	Mycobacterium engbaekii	Unknown	D, Braunschweig, DSMZ, Gronow S	2021-02-26
75236T	Mycobacterium heraklionense	Clinical isolate	D, Braunschweig, DSMZ, Gronow S	2021-02-26
75237T	Mycobacterium virginiense	Human biopsy, tenosynovitis of hand of adult woman	DSMZ, Braunschweig, Germany	2021-02-26
75192T	Enterobacter roggenkampii	Human faeces	S Gronow, DSMZ, Braunschweig, DE	2021-02-04
75193T	Enterobacter kobei	Human blood, diabetic patient	S.Gronow, DSMZ, Braunschweig, DE	2021-02-04
75194T	Enterobacter bugandensis	Human blood, neonate	S Gronow, DSMZ, Braunschweig, DE	2021-02-04
75195T	Phytobacter massiliensis	Human faeces of healthy patient	S Gronow, DSMZ, Braunschweig, DE	2021-02-04
75196T	Mixta theicola	Black tea extract	S Gronow, DSMZ, Braunschweig, DE	2021-02-04
75176T	Alteromonas antoniana	Jellyfish(Pelagia noctiluca)	ES, Esporles, IMEDEA, Vega Gago	2021-01-27
75177T	Alteromonas lipotrueae	Jellyfish(Pelagia noctiluca)	ES, Esporles, IMEDEA, Vega Gago	2021-01-27
75178T	Alteromonas lipotruiana	Seawater	ES, Esporles, IMEDEA, Vega Gago	2021-01-27
75179T	Hydrotalea lipotrueae	Ground water	ES, Esporles, IMEDEA, Vega Gago	2021-01-27
75084T	Anaerostipes faecis	Faeces	Beresford-Jones, Cambridge, UK	2020-12-10
75086T	Duncaniella muricolitica	Faeces	Beresford-Jones, Cambridge, UK	2020-12-10
75078T	Ancylobacter lacus	Lake water	N.V. Doronina, RAS, Moscow, Russia	2020-12-08
75079T	Ancylobacter dichloromethanicus	Soil, dichloromethane contaminated	N.V. Doronina, RAS, Moscow, Russia	2020-12-08
75080T	Ancylobacter plantiphilus	Rhizospheric soils of wild carrot	N.V. Doronina, RAS, Moscow, Russia	2020-12-08
74982T	Brevundimonas pondensis	Pondwater surface	Friedrich, Univ Göttingen, DE	2020-10-28
74983T	Brevundimonas goettingensis	Puddlewater surface	Friedrich, Göttingen, DE	2020-10-28
74870T	Pseudomonas iridis	Rainbow trout	TR, Bursa Uludag Univ, Duman M	2020-09-24
74871T	Pseudomonas piscicola	Rainbow trout	TR, Bursa Uludag Univ, Duman M	2020-09-24
74872T	Pseudomonas arcuscaelestis	Rainbow trout	TR, Bursa Uludag Univ, Duman M	2020-09-24
