ncbiTaxID	Source_ID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1445	CECT 1	Bacillus alcalophilus	NCTC 4553	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
44250	CECT 2	Paenibacillus alvei	NCTC 6352	30	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
1348626	CECT 10	Bacillus circulans	NCTC 2610	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia
1398	CECT 12	Bacillus coagulans	CIP 66.25	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Weizmannia
1314753	CECT 14	Bacillus firmus	NCTC 10335	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus
1465	CECT 15	Brevibacillus laterosporus	NCTC 6357	30	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus
1455	CECT 17	Bacillus badius	NCTC 10333	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1348624	CECT 18	Bacillus lentus	NCTC 4824	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lederbergia
1402	CECT 20	Bacillus licheniformis	NCTC 10341	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
948756	CECT 24	Paenibacillus macquariensis	NCTC 10419	20	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
1408	CECT 29	Bacillus pumilus	NCTC 10337	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1421	CECT 33	Lysinibacillus sphaericus	NCTC 10338	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus
1423	CECT 35	Bacillus subtilis	NCTC 8236	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1423	CECT 36	Bacillus subtilis	NCIB 8993	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1452	CECT 38	Bacillus atrophaeus	NCIB 8058	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1423	CECT 39	Bacillus subtilis	NR Smith 1315	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1473	CECT 42	Virgibacillus pantothenticus	NCTC 8162	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus
1422	CECT 43	Geobacillus stearothermophilus	CIP 66.23	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Geobacillus
1404	CECT 44	Bacillus megaterium	ATCC 25848	30	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia
