Name	Strain	Temp	Source_ID	ncbiTaxID	Genome
Bacillus alcalophilus	NCTC 4553	30	CECT 1	-1	GCA_000292245.2
Paenibacillus alvei	NCTC 6352	30	CECT 2	44250	GCA_000293805.1
Bacillus circulans	NCTC 2610	30	CECT 10	-1	GCA_900445325.1; GCA_001591585.1
Bacillus coagulans	CIP 66.25	30	CECT 12	-1	GCA_000832905.1; GCA_000420205.1; GCA_000290615.1
Bacillus firmus	NCTC 10335	30	CECT 14	-1	GCA_001591465.1
Brevibacillus laterosporus	NCTC 6357	30	CECT 15	1465	GCA_000374385.1; GCA_002706795.1
Bacillus badius	NCTC 10333	30	CECT 17	1455	GCA_001591605.1
Bacillus lentus	NCTC 4824	30	CECT 18	-1	GCA_900478165.1; GCA_001591545.1
Bacillus licheniformis	NCTC 10341	37	CECT 20	1402	GCA_000011645.1; GCA_000008425.1
Paenibacillus macquariensis	NCTC 10419	20	CECT 24	948756	GCA_001637165.1; GCA_900156375.1
Bacillus pumilus	NCTC 10337	30	CECT 29	1408	GCA_000172815.1; GCA_900186955.1
Lysinibacillus sphaericus	NCTC 10338	30	CECT 33	1421	GCA_002982115.1; GCA_000427235.1
Bacillus subtilis	NCTC 8236	30	CECT 35	1423	
Bacillus subtilis	NCIB 8993	30	CECT 36	1423	
Bacillus atrophaeus	NCIB 8058	30	CECT 38	1452	
Bacillus subtilis	NR Smith 1315	30	CECT 39	1423	GCA_000155325.1
Bacillus sp	Bacillus sp.	30	CECT 40	-1	
Virgibacillus pantothenticus	NCTC 8162	30	CECT 42	1473	GCA_001189575.1; GCA_900156795.1
Geobacillus stearothermophilus	CIP 66.23	55	CECT 43	1422	GCA_001277805.1
Bacillus megaterium	ATCC 25848	30	CECT 44	-1	
Escherichia coli	NCIB 86	37	CECT 45	562	
Geobacillus stearothermophilus	NCDO 1780	55	CECT 47	1422	
Geobacillus stearothermophilus	Bacillus stearothermophilus var. calidolactis	55	CECT 48	1422	
Geobacillus stearothermophilus	NCIMB 8919	55	CECT 49	1422	
Kocuria rosea	NCTC 7523	30	CECT 52	1275	GCA_003124035.1
Staphylococcus aureus	NCIMB 6571	37	CECT 59	1280	
Brevibacterium linens	NCIMB 9909	30	CECT 69	1703	GCA_900169165.1
Corynebacterium glutamicum	ATCC 21798	30	CECT 70	1718	
Corynebacterium glutamicum	ATCC 21801	30	CECT 71	1718	
Corynebacterium ammoniagenes	ATCC 19350	30	CECT 72	1697	
Corynebacterium glutamicum	ATCC 21086	30	CECT 74	1718	
Brevibacterium linens	ATCC 19391	30	CECT 75	1703	
Brevibacterium aurantiacum	NCIMB 8546	30	CECT 76	273384	GCA_900169065.1
Corynebacterium glutamicum	ATCC 13869	30	CECT 77	1718	
Corynebacterium glutamicum	ATCC 13287	30	CECT 78	1718	
Corynebacterium glutamicum	ATCC 21253	30	CECT 79	1718	
Corynebacterium glutamicum	ATCC 21254	30	CECT 80	1718	
Staphylococcus aureus	NCTC 10443	37	CECT 82	1280	
Staphylococcus aureus	NCTC 8532	37	CECT 86	1280	GCA_001027105.1; GCA_000330825.2
Rhizobium radiobacter	ATV	26	CECT 88	-1	
Rhizobium radiobacter	C-58	26	CECT 90	-1	
Pseudomonas savastanoi	NCPPB 1464	26	CECT 93	29438	
Pseudomonas syringae	NCPPB 1652	26	CECT 94	317	
Xanthomonas campestris	NCPPB 528	30	CECT 97	339	GCA_000007145.1
Pediococcus acidilactici	ATCC 8042	30	CECT 98	1254	
Escherichia coli	NCIMB 8666	37	CECT 99	562	
Escherichia coli	NCIB 9485	37	CECT 100	562	
Escherichia coli	NCIMB 9484	37	CECT 101	562	
Escherichia coli	NCIMB 9483	37	CECT 102	562	
Escherichia coli	Ferrer 12	37	CECT 103	562	
Escherichia coli	GY1	37	CECT 104	562	
Escherichia coli	GY4054	37	CECT 105	562	
Escherichia coli	GY 36	37	CECT 106	562	
Escherichia coli	C	30	CECT 107	498388	
Pseudomonas aeruginosa	ATCC 27853	37	CECT 108	287	
Pseudomonas aeruginosa	NCIMB 9685	37	CECT 109	287	
Pseudomonas aeruginosa	NCIMB 8295	37	CECT 110	287	GCA_001042925.1
Pseudomonas aeruginosa	NCIMB 8626	37	CECT 111	287	
Stenotrophomonas maltophilia	Diaz 552	37	CECT 112	40324	
Stenotrophomonas maltophilia	555	37	CECT 113	40324	
Stenotrophomonas rhizophila	NCPPB 1975	37	CECT 114	216778	
Stenotrophomonas maltophilia	NCIMB 9203	37	CECT 115	40324	GCA_000597745.1
Pseudomonas aeruginosa	NCIMB 10421	37	CECT 116	287	
Burkholderia caryophylli	NCPPB 349	26	CECT 117	-1	
Pseudomonas aeruginosa	NCTC 10662	37	CECT 118	287	
Pseudomonas aeruginosa	NCIMB 8704	37	CECT 119	287	
Pseudomonas corrugata	NCPPB 2445	26	CECT 124	47879	GCA_001411965.1; GCA_900106085.1; GCA_001269905.1
Ralstonia solanacearum	NCPPB 1493	30	CECT 125	305	
Pseudomonas syringae	NCPPB 996	26	CECT 126	317	
Pseudomonas syringae	NCPPB 93	26	CECT 127	317	
Robbsia andropogonis	NCPPB 968	30	CECT 128	28092	
Bacillus cereus	NCIMB 7464	30	CECT 131	1396	
Klebsiella pneumoniae	NCTC 7761	37	CECT 141	573	
Klebsiella pneumoniae	CIP 53.153	37	CECT 142	573	
Klebsiella pneumoniae	NCTC 9633	37	CECT 143	573	GCA_000614665.1
Klebsiella pneumoniae	ATCC 27736	37	CECT 144	573	
Alcaligenes faecalis	NCTC 415	37	CECT 145	511	
Bacillus cereus	NCTC 2599	30	CECT 148	1396	GCA_000007825.1
Domibacillus aminovorans	NCTC 2870	30	CECT 151	29332	
Bacillus pumilus	NCTC 8241	30	CECT 152	1408	
Paenibacillus polymyxa	NCTC 4747	30	CECT 153	1406	
Paenibacillus polymyxa	NCTC 10343	30	CECT 155	1406	GCA_000217775.1
Hafnia alvei	NCIMB 6578	30	CECT 157	569	
Hafnia alvei	NCTC 8105	30	CECT 158	569	GCA_000735375.1
Serratia marcescens	NCTC 1377	26	CECT 159	615	
Proteus vulgaris	NCIMB 8067	37	CECT 165	585	
Providencia alcalifaciens	NCTC 10286	37	CECT 166	126385	GCA_000173415.1
Proteus vulgaris	NCTC 4635	37	CECT 167	585	
Providencia alcalifaciens	NCTC 6344	37	CECT 168	126385	
Providencia alcalifaciens	NCTC 6345	37	CECT 169	126385	
Proteus mirabilis	NCIMB 5887	37	CECT 170	584	
Providencia rettgeri	NCTC 7475	37	CECT 171	587	
Proteus mirabilis	NCIB 60	37	CECT 172	584	
Morganella morganii	NCTC 235	37	CECT 173	582	GCA_001598895.1
Proteus vulgaris	ATCC 6380	37	CECT 174	585	
Streptococcus agalactiae	NCTC 8181	37	CECT 183	1311	GCA_000186445.1
Enterococcus faecalis	NCIMB 8256	37	CECT 184	1351	
Lactococcus lactis	NCIMB 6681	37	CECT 185	1358	GCA_000615405.1
Lactococcus lactis	NCIMB 10484	30	CECT 188	1358	
Streptococcus pyogenes	NCIMB 8884	37	CECT 189	1314	
Streptococcus pyogenes	ATCC 27762	37	CECT 190	1314	
Streptococcus pyogenes	ATCC 19615	37	CECT 191	1314	
Staphylococcus aureus	NCIMB 8709	37	CECT 192	1280	
Bacillus cereus	NCIMB 8849	30	CECT 193	1396	
Enterobacter cloacae	ATCC 13047	30	CECT 194	550	
Bacillus thuringiensis	NCIMB 9134	30	CECT 197	1428	GCA_002119445.1; GCA_002243685.1
Azotobacter chroococcum	NCIMB 8003	30	CECT 203	1328314	
Azotobacter vinelandii	NCIMB 8004	30	CECT 204	354	
Azotobacter chroococcum	NCIMB 8515	30	CECT 205	353	
Azotobacter vinelandii	Str 4	30	CECT 208	354	
Azomonas agilis	NCIMB 8636	30	CECT 210	116849	
Streptococcus equinus	NCTC 8177	37	CECT 213	1335	
Leuconostoc mesenteroides	NCIMB 3739	26	CECT 215	1245	
Levilactobacillus brevis	NCIMB 8561	30	CECT 216	1580	
Oenococcus oeni	DSM 20252	26	CECT 217	1247	GCA_000309445.1
Oenococcus oeni	CCM 2834	26	CECT 218	1247	
Leuconostoc mesenteroides	NRRL B-1118	26	CECT 219	1245	GCA_000014445.1
Lactiplantibacillus plantarum	NCIMB 8014	30	CECT 220	1590	
Lactiplantibacillus plantarum	ATCC 14431	30	CECT 221	1590	
Erwinia amylovora	NCPPB 595	30	CECT 222	552	
Lactiplantibacillus plantarum	19-E-1	30	CECT 223	1590	
Lactiplantibacillus plantarum	20 E1	30	CECT 224	1590	
Pectobacterium carotovorum	NCPPB 312	30	CECT 225	554	GCA_000749855.1; GCA_001039055.1
Pseudomonas marginalis	NCPPB 667	26	CECT 229	298	
Kocuria varians	CCUG 35392	30	CECT 230	1272	
Staphylococcus epidermidis	NCIMB 8853	37	CECT 231	1282	
Staphylococcus epidermidis	ATCC 14990	37	CECT 232	1282	GCA_001310935.1
Staphylococcus hominis	DSM 20328	37	CECT 234	1290	GCA_002901845.1
Staphylococcus saprophyticus	DSM 20229	37	CECT 235	29385	GCA_002902025.1
Staphylococcus warneri	DSM 20316	37	CECT 236	1292	GCA_002901765.1
Staphylococcus xylosus	DSM 20266	37	CECT 237	1288	GCA_002732165.1
Staphylococcus aureus	NCIMB 9518	37	CECT 239	1280	
Staphylococcus aureus	ATCC 6538P	37	CECT 240	1280	
Kocuria rhizophila	CIP 53.45	30	CECT 241	72000	
Micrococcus luteus	NCIB 10418	30	CECT 243	1270	
Micrococcus luteus	NCIB 8994	30	CECT 244	1270	
Micrococcus luteus	NCIMB 8166	30	CECT 245	1270	
Kocuria varians	NCIMB 2677	30	CECT 246	1272	
Micrococcus luteus	NCIB 8942	30	CECT 247	1270	
Lacticaseibacillus rhamnosus	NCIMB 8963	37	CECT 275	47715	
Lacticaseibacillus rhamnosus	NCIMB 8651	37	CECT 276	47715	
Lacticaseibacillus paracasei	NCIB 8835	30	CECT 277	1597	
Lacticaseibacillus rhamnosus	NCIMB 8010	37	CECT 278	47715	GCA_000615245.1
Enterococcus hirae	NCIMB 6459	37	CECT 279	1354	GCA_000393835.1; GCA_000407425.1
Lactobacillus delbrueckii	NCIMB 8118	37	CECT 282	1584	
Weissella viridescens	NCIMB 8965	30	CECT 283	1629	GCA_001437355.1; GCA_001460875.1
Limosilactobacillus fermentum	NCIMB 6991	37	CECT 285	1613	
Lactobacillus delbrueckii	NCIMB 8130	37	CECT 286	1584	GCA_000615095.1; GCA_001433875.1; GCA_001263315.1
Lactobacillus delbrueckii	NCIMB 8117	37	CECT 287	1584	
Lacticaseibacillus rhamnosus	NCIMB 7473	37	CECT 288	47715	
Lactobacillus johnsonii	NCIMB 8795	37	CECT 289	33959	
Enterococcus durans	NCIB 8191	37	CECT 294	53345	
Acetobacter aceti	NCIMB 8621	26	CECT 298	435	GCA_000193495.1
Rhodobacter sphaeroides	NCIMB 8253	26	CECT 300	-1	GCA_000269625.2; GCA_000273405.1
Rhodospirillum rubrum	NCIMB 8255	26	CECT 301	1085	GCA_000013085.1
Delftia acidovorans	NCIMB 9681	30	CECT 311	80866	GCA_001598795.1
Pseudomonas syringae	NCCPB 1408	26	CECT 312	317	
Brevundimonas diminuta	DSM 1635	30	CECT 313	293	
Pectobacterium atrosepticum	NCPPB 549	30	CECT 314	29471	GCA_000749905.1; GCA_001038685.1
Gluconobacter oxydans	NCIB 4112	26	CECT 315	442	
Brevundimonas diminuta	NCIMB 9393	30	CECT 317	293	GCA_000204035.1
Pseudomonas oleovorans	NCIMB 9946	30	CECT 318	301	
Pseudomonas mendocina	NCIMB 10541	37	CECT 320	300	GCA_000813265.1
Pseudomonas syringae	NCPPB 52	26	CECT 321	317	
Burkholderia cepacia	NCIMB 9085	30	CECT 322	292	
Shewanella baltica	NCTC 10735	26	CECT 323	62322	GCA_900456975.1
Pseudomonas putida	NCIMB 9494	30	CECT 324	303	GCA_000412675.1
Pseudomonas sp	NCTC 10475	30	CECT 325	-1	
Comamonas testosteroni	NCIMB 8955	30	CECT 326	285	GCA_000740035.1
Brevundimonas vesicularis	NCIMB 1945	30	CECT 327	41276	GCA_001592205.1
Pseudomonas sp	ATCC 15915	30	CECT 328	-1	
Ralstonia pickettii	NCTC 11149	30	CECT 330	329	GCA_000743455.1
Ensifer adhaerens	IAM 1013	30	CECT 333	106592	
Escherichia coli	NCTC 9706	37	CECT 348	562	
Escherichia coli	NCTC 8623	37	CECT 349	562	
Escherichia coli	NCTC 9026	37	CECT 351	562	
Escherichia coli	NCTC 9707	37	CECT 352	562	
Bacillus subtilis	NCIB 8054	30	CECT 356	1423	
Gluconobacter oxydans	NCIB 621	26	CECT 360	442	
Clostridium butyricum	NCIMB 7423	37	CECT 361	1492	GCA_000409755.1
Lactobacillus acidophilus	NCIB 8116	37	CECT 362	1579	
Escherichia coli	NCTC 1601	37	CECT 363	562	
Escherichia coli	NCIMB 8583	37	CECT 364	562	
Klebsiella sp	NCTC 9161	37	CECT 367	-1	
Bacillus megaterium	NCIMB 8291	30	CECT 370	-1	
Bacillus subtilis	NCIB 8057	30	CECT 371	1423	
Lactobacillus delbrueckii	NCIMB 8882	37	CECT 372	1584	
Paenibacillus chibensis	NCIB 8144	30	CECT 375	59846	
Clostridium perfringens	NCTC 8237	37	CECT 376	1502	GCA_000013285.1
Clostridium pasteurianum	NCIMB 9486	37	CECT 377	1501	GCA_000807175.1; GCA_000807255.1; GCA_000724205.1
Pseudomonas fluorescens	NCIMB 9046	30	CECT 378	294	GCA_001269845.1
Escherichia coli	NCIMB 8134	37	CECT 379	562	
Escherichia coli	NCTC 8603	37	CECT 380	562	
Escherichia coli	GY335	37	CECT 381	562	
Pseudomonas putida	NCIMB 8865	30	CECT 385	303	
Pseudarthrobacter oxydans	NCIMB 9333	30	CECT 386	1671	
Pseudarthrobacter oxydans	NCIMB 9334	30	CECT 387	1671	
Arthrobacter globiformis	NCIMB 8907	30	CECT 388	1665	GCA_000238915.2
Halobacterium sp	S-9	37	CECT 389	-1	
