ncbiTaxID	Name	Strain	Temp	Type	Superkingdom	Phylum	Class	Order	Family	Genus	Source	Source_ID
1307912	Acetobacter oeni		28.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	BacDive	19
1307918	Acetobacter senegalensis		35.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	BacDive	21
524	Acidiphilium cryptum		38.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	BacDive	26
1121106	Belnapia moabensis		25.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia	BacDive	38
938405	Belnapia rosea		30.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia	BacDive	39
94	Stella humosa		29.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella	BacDive	64
217070	Stella vacuolata		28.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella	BacDive	65
50715	Acidisphaera rubrifaciens		32.5	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisphaera	BacDive	67
198092	Muricoccus roseus		30.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	BacDive	69
287609	Roseomonas lacus		30.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Neoroseomonas	BacDive	71
373043	Roseomonas aquatica		14.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Paeniroseomonas	BacDive	72
424704	Roseomonas vinacea		16.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	BacDive	73
424704	Roseomonas vinacea		31.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	BacDive	73
452982	Roseomonas aerilata		30.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	BacDive	76
452982	Roseomonas aerilata		30.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	BacDive	76
693023	Roseomonas pecuniae		30.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	BacDive	77
693023	Roseomonas pecuniae		30.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	BacDive	77
364410	Granulibacter bethesdensis		18.5	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter	BacDive	80
512382	Acidisoma tundrae		11.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisoma	BacDive	81
512383	Acidisoma sibiricum		12.5	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisoma	BacDive	82
78120	Succinispira mobilis		37.0	optimum	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succinispira	BacDive	105
53635	Acidimicrobium ferrooxidans		25.0	optimum	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	BacDive	106
1121877	Ferrimicrobium acidiphilum		35.0	optimum	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrimicrobium	BacDive	108
1121881	Ferrithrix thermotolerans		43.0	optimum	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrithrix	BacDive	109
388466	Edaphobacter modestus		30.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter	BacDive	132
570835	Edaphobacter aggregans		30.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter	BacDive	133
870903	Terriglobus saanensis		25.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus	BacDive	135
474952	Granulicella rosea		11.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	BacDive	136
474950	Granulicella pectinivorans		11.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	BacDive	137
474949	Granulicella aggregans		11.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	BacDive	138
474951	Granulicella paludicola		11.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	BacDive	139
474953	Telmatobacter bradus		24.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Telmatobacter	BacDive	140
863522	Bryocella elongata		22.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Bryocella	BacDive	141
946336	Acidicapsa borealis		25.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidicapsa	BacDive	142
542300	Acidicapsa ligni		25.0	optimum	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidicapsa	BacDive	143
1657	Actinobaculum suis		37.0	optimum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinobaculum	BacDive	144
52773	Schaalia meyeri		33.5	optimum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia	BacDive	161
1167628	Actinomyces massiliensis		37.0	optimum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	BacDive	192
1288391	Actinomyces timonensis		37.0	optimum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	BacDive	193
1288828	Gleimia hominis		35.0	optimum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Gleimia	BacDive	194
644284	Arcanobacterium haemolyticum		37.0	optimum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	BacDive	197
312285	Trueperella bialowiezensis		37.0	optimum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	BacDive	216
312286	Trueperella bonasi		37.0	optimum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	BacDive	217
1120952	Aerococcus urinaeequi		15.0	optimum	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	BacDive	222
1121925	Globicatella sulfidifaciens		39.5	optimum	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Globicatella	BacDive	234
218936	Aeromonas simiae		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	261
271417	Aeromonas molluscorum		27.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	262
196024	Aeromonas dhakensis		33.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	272
70856	Aeromonas popoffii		28.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	279
440079	Aeromonas bivalvium		33.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	280
591962	Aeromonas fluvialis		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	283
633417	Aeromonas taiwanensis		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	285
633415	Aeromonas sanarellii		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	286
648794	Aeromonas rivuli		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	BacDive	288
346183	Oceanisphaera donghaensis		36.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	BacDive	292
981381	Oceanisphaera sediminis		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	BacDive	293
595494	Tolumonas auensis		22.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	BacDive	294
675874	Tolumonas osonensis		22.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	BacDive	295
347534	Zobellella denitrificans		32.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Zobellella	BacDive	296
56119	Castellaniella denitrificans		27.5	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	BacDive	348
266123	Castellaniella caeni		30.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	BacDive	349
546114	Castellaniella ginsengisoli		30.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	BacDive	350
659013	Castellaniella daejeonensis		30.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	BacDive	351
414049	Pigmentiphaga daeguensis		37.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pigmentiphaga	BacDive	360
516702	Pigmentiphaga litoralis		27.5	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pigmentiphaga	BacDive	361
659016	Pusillimonas soli		30.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas	BacDive	363
453575	Pusillimonas ginsengisoli		30.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas	BacDive	364
657015	Pusillimonas harenae		30.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas	BacDive	365
521	Bordetella avium		37.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	BacDive	377
123899	Bordetella trematum		37.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	BacDive	379
310575	Advenella kashmirensis		26.0	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	BacDive	383
302406	Advenella mimigardefordensis		33.5	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	BacDive	384
658167	Candidimonas bauzanensis		27.5	optimum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Candidimonas	BacDive	390
285091	Alcanivorax dieselolei		28.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alloalcanivorax	BacDive	394
413232	Alcanivorax balearicus		28.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alloalcanivorax	BacDive	395
523791	Kangiella koreensis		33.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Kangiellales	Kangiellaceae	Kangiella	BacDive	396
1122134	Kangiella aquimarina		33.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Kangiellales	Kangiellaceae	Kangiella	BacDive	397
796379	Kangiella spongicola		29.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Kangiellales	Kangiellaceae	Kangiella	BacDive	398
