growthID	strainID	medID	sourceID	Growth_Rate	Growth_Units	pH	Temperature_C	Additional_Notes	contributor_id	approved
1	1	1	2	0,6	1/h	5,5	37		1	1
2	1	2	2			5,5	37		1	1
3	2	3	3	0,06	1/h	7	30	strictly anaerobic	1	1
4	3	4	4	0,043	1/h	7,2	37		1	1
5	3	5	4	0,066	1/h	7,2	37		1	1
6	3	6	4	0,1	1/h	7,2	37		1	1
7	3	7	4	0,061	1/h	7,2	37		1	1
8	3	8	4	0	1/h	7,2	37		1	1
9	3	9	4	0,013	1/h	7,2	37		1	1
10	3	10	4	0,045	1/h	7,2	37		1	1
11	3	11	4	0,032	1/h	7,2	37		1	1
12	3	12	4	0	1/h	7,2	37		1	1
13	3	13	4	0,012	1/h	7,2	37		1	1
14	3	14	4	0,03	1/h	7,2	37		1	1
15	3	15	4	0,007	1/h	7,2	37		1	1
16	4	4	4	0,09	1/h	7,2	37		1	1
17	4	5	4	0,055	1/h	7,2	37		1	1
18	4	6	4	0,044	1/h	7,2	37		1	1
19	4	7	4	0,007	1/h	7,2	37		1	1
20	4	8	4	0,038	1/h	7,2	37		1	1
21	4	9	4	0,045	1/h	7,2	37		1	1
22	4	10	4	0,046	1/h	7,2	37		1	1
23	4	11	4	0,02	1/h	7,2	37		1	1
24	4	12	4	0,01	1/h	7,2	37		1	1
25	4	13	4	0,023	1/h	7,2	37		1	1
26	4	14	4	0,045	1/h	7,2	37		1	1
27	4	15	4	0	1/h	7,2	37		1	1
28	5	8	4	0	1/h	7,2	37		1	1
29	5	9	4	0,011	1/h	7,2	37		1	1
30	5	10	4	0,041	1/h	7,2	37		1	1
31	5	11	4	0,029	1/h	7,2	37		1	1
32	5	12	4	0	1/h	7,2	37		1	1
33	5	13	4	0,012	1/h	7,2	37		1	1
34	5	14	4	0,024	1/h	7,2	37		1	1
35	5	15	4	0	1/h	7,2	37		1	1
36	6	8	4	0,033	1/h	7,2	37		1	1
37	6	9	4	0,044	1/h	7,2	37		1	1
38	6	10	4	0,04	1/h	7,2	37		1	1
39	6	11	4	0,016	1/h	7,2	37		1	1
40	6	12	4	0,015	1/h	7,2	37		1	1
41	6	13	4	0,021	1/h	7,2	37		1	1
42	6	14	4	0,023	1/h	7,2	37		1	1
43	6	15	4	0	1/h	7,2	37		1	1
44	7	16	5	0,12	1/h	7,5	30		1	1
45	7	17	5			7,5	30		1	1
46	8	18	6						1	1
47	8	19	6						1	1
48	8	20	6						1	1
49	8	21	6						1	1
50	8	22	6						1	1
51	8	23	6						1	1
52	8	24	6						1	1
53	8	25	6						1	1
54	8	26	7				30		1	1
55	8	27	7				30		1	1
56	8	28	7				30		1	1
57	8	29	7	0,805905	1/h		30		1	1
58	8	30	7				30		1	1
59	8	31	7				30		1	1
60	8	32	8	0,5373	1/h	6,8	30		1	1
61	9	26	7				30		1	1
62	9	27	7				30		1	1
63	9	28	7				30		1	1
64	9	29	7				30		1	1
65	9	30	7				30		1	1
66	9	31	7				30		1	1
67	10	26	7				30		1	1
68	10	27	7				30		1	1
69	10	28	7				30		1	1
70	10	29	7	0,5342	1/h		30		1	1
71	10	30	7				30		1	1
72	10	31	7				30		1	1
73	11	26	7				30		1	1
74	11	27	7				30		1	1
75	11	28	7				30		1	1
76	11	29	7				30		1	1
77	11	30	7				30		1	1
78	11	31	7				30		1	1
79	12	33	9			7,2	25		1	1
80	13	34	11	0,2	1/h	5	25		1	1
81	14	42	12	0,153482	1/h	7	37		1	1
82	14	67	12	0,338452	1/h	7	37		1	1
83	14	71	12	0,249687	1/h	7	37		1	1
84	15	35	14	1,048	1/h		37		1	1
85	16	36	15	0,035	1/h	7	25	Heterotrophic	1	1
86	16	37	15	0,059	1/h	7	25	Max solar flux: 2100 uE/m2/s	1	1
