ncbiTaxID	Source_ID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
623	NCTC 2	Shigella flexneri	Hughes	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
623	NCTC 3	Shigella flexneri	Oxford Flexner	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
623	NCTC 4	Shigella flexneri	Mountain 2464	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
623	NCTC 5	Shigella flexneri	Stansfield	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
623	NCTC 6	Shigella flexneri	Original Hiss & Russell	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
623	NCTC 7	Shigella flexneri	Whittington	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
54388	NCTC 13	Salmonella enterica subsp. enterica serotype paratyphi a	Schottmuller	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
666	NCTC 30	Vibrio cholerae non 0:1	Martin I	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
584	NCTC 60	Proteus mirabilis	Pneum	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
165302	NCTC 72	Salmonella enterica subsp. enterica serotype reading	Reading	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
90371	NCTC 73	Salmonella enterica subsp. enterica serotype typhimurium	Binns	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
90371	NCTC 74	Salmonella enterica subsp. enterica serotype typhimurium	Mutton	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
562	NCTC 86	Escherichia coli	Escherich	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
90371	NCTC 92	Salmonella enterica subsp. enterica serotype stanley	Stanley	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
57045	NCTC 96	Salmonella enterica subsp. enterica serotype paratyphi c	Baghdad 31	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1392	NCTC 109	Bacillus anthracis	Paddington VI	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
13373	NCTC 120	Burkholderia mallei	A	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
562	NCTC 122	Escherichia coli	Hueppe	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
90371	NCTC 129	Salmonella enterica subsp. enterica serotype newport	Newport 5	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
632	NCTC 144	Yersinia pestis	Parel	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
90370	NCTC 160	Salmonella enterica subsp. enterica serotype typhi	Rawlings	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
246432	NCTC 189	Staphylococcus equorum	Rayner	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
1270	NCTC 196	Micrococcus luteus	Lister	37	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus
573	NCTC 204	Klebsiella pneumoniae sensu stricto	Lister	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
37637	NCTC 231	Corynebacterium pseudodiphtheriticum	2	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
582	NCTC 232	Morganella morganii	Spencer	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella
582	NCTC 235	Morganella morganii	33 M	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella
548	NCTC 243	Klebsiella aerogenes	Pfeiffer	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
1509	NCTC 275	Clostridium sporogenes	G2 B6	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1509	NCTC 276	Clostridium sporogenes	R 60 XV	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1542	NCTC 277	Clostridium novyi	Cossard	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1542	NCTC 278	Clostridium novyi	Domange	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1513	NCTC 279	Clostridium tetani	USA II	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 281	Clostridium septicum	NFI	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 282	Clostridium septicum	Bedford	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 283	Clostridium septicum	Stokes 4	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 284	Clostridium septicum	George A 2	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 286	Clostridium septicum	Jerral	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1553	NCTC 288	Clostridium tetanomorphum	297 VII	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1772	NCTC 333	Mycobacterium smegmatis	GP 60	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium
1772	NCTC 334	Mycobacterium smegmatis	GP 61	30	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium
41529	NCTC 346	Salmonella enterica subsp. enterica serotype typhisuis	Andrewes	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
41529	NCTC 347	Salmonella enterica subsp. enterica serotype typhisuis	Pfeiler	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
41529	NCTC 348	Salmonella enterica subsp. enterica serotype typhisuis	Poppe (ATCC 8321)	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
39688	NCTC 358	Mycobacterium duvalii	Duvals Lepra	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium
1351	NCTC 370	Enterococcus faecalis	Stubbs IV (Elstree 35)	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
1806053	NCTC 380	Corynebacterium diptheriae var mitis	Parks No. 8	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
585	NCTC 401	Proteus vulgaris	NYU	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
1650	NCTC 404	Kurthia zopfii	Novy	37	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Kurthia
1650	NCTC 405	Kurthia zopfii	Chicago	37	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Kurthia
511	NCTC 415	Alcaligenes faecalis	AMNH 439	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
573	NCTC 418	Klebsiella pneumoniae	240	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
594	NCTC 423	Salmonella enterica subsp. enterica serotype gallinarum	180 (IIc Theobald Smith)	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
53440	NCTC 434	Nocardia sp.	Human	30	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsaceae	Nocardiopsis
518	NCTC 452	Bordetella bronchiseptica	Dog 71	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
518	NCTC 454	Bordetella bronchiseptica	Rabbit 72	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
518	NCTC 455	Bordetella bronchiseptica	Ferret 1	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
518	NCTC 456	Bordetella bronchiseptica	Monkey 21	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
518	NCTC 458	Bordetella bronchiseptica	Man 1	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
1553	NCTC 500	Clostridium tetanomorphum	146 TBI	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 501	Clostridium septicum	GC 186	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1498	NCTC 503	Clostridium histolyticum	Weinberg	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hathewaya
1504	NCTC 504	Clostridium septicum	141	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1509	NCTC 505	Clostridium sporogenes	208	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1490	NCTC 506	Clostridium bifermentans	FI	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Paraclostridium
29370	NCTC 507	Clostridium sphenoides	Thorlby	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lacrimispora
1772	NCTC 523	Mycobacterium smegmatis	New York	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium
1771	NCTC 525	Mycobacterium phlei	Hay	30	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium
1509	NCTC 532	Clostridium sporogenes	SR 5	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1509	NCTC 534	Clostridium sporogenes	Conradi	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1542	NCTC 538	Clostridium novyi	Jolly	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1513	NCTC 539	Clostridium tetani	R 220 E	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1513	NCTC 540	Clostridium tetani	T 67	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1559	NCTC 541	Clostridium tertium	P II Col 54	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1553	NCTC 543	Clostridium tetanomorphum	259 E. III	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 547	Clostridium septicum	Pasteur III	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 549	Clostridium septicum	R Past I	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 550	Clostridium septicum	VFS Milk IV	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1504	NCTC 551	Clostridium septicum	Prior	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1931	NCTC 600	Streptomyces sp.	Horton	30	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
1270	NCTC 611	Micrococcus luteus	Thaysen	37	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus
149539	NCTC 618	Salmonella enterica subsp. enterica serotype enteritidis	Liverpool virus	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
235	NCTC 624	Brucella abortus	English strain 8	37	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
511	NCTC 655	Alcaligenes faecalis	Lister	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
53345	NCTC 662	Enterococcus durans	Thaysen II	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
1747	NCTC 737	Propionibacterium acnes	Ponsonby	37	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium
1491	NCTC 751	Clostridium botulinum	X	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
43770	NCTC 764	Corynebacterium striatum	Minnett (AL)	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1351	NCTC 775	Enterococcus faecalis	Tissier	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
28901	NCTC 779	Salmonella enterica subsp. enterica serotype typhi	Johns Hopkins	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
90370	NCTC 786	Salmonella enterica subsp. enterica serotype typhi	Lister (CN 6236)	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1648	NCTC 807	Erysipelothrix rhusiopathiae	Topley A	37	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix
633	NCTC 824	Yersinia pseudotuberculosis	Stockholm	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
2014537	NCTC 854	Corynebacterium diphtheriae biovar belfanti	Horse D 34	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1491	NCTC 887	Clostridium botulinum	38	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
303	NCTC 912	Pseudomonas putida	Urine	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
1405	NCTC 926	Bacillus mycoides	CR ii Rothamsted	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
43990	NCTC 934	Corynebacterium segmentosum	Graham	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
2099321	NCTC 946	Mycobacterium chelonae subsp. chelonae	Friedmann	30	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacteroides
747	NCTC 948	Pasteurella multocida	Mouse	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
35755	NCTC 949	Corynebacterium kutscheri	Mouse	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
287	NCTC 950	Pseudomonas aeruginosa	0 45	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
1402	NCTC 962	Bacillus licheniformis	Chapman	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1273	NCTC 963	Micrococcus lylae	Ropy Milk	37	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus
1402	NCTC 1024	Bacillus licheniformis	BI	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1402	NCTC 1025	Bacillus licheniformis	C III	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
44252	NCTC 1068	Paenibacillus macerans	234A	37	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
1993	NCTC 1070	Actinomadura madurae	Madura foot	37	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura
1328	NCTC 1080	Streptococcus anginosus	van Sickle	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
562	NCTC 1093	Escherichia coli	5288 Haemolytic (coli III) Bacterium communis	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1402	NCTC 1097	Bacillus licheniformis	Potato	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
633	NCTC 1101	Yersinia pseudotuberculosis	Postollea	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
633	NCTC 1102	Yersinia pseudotuberculosis	Pfaff	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
633	NCTC 1103	Yersinia pseudotuberculosis	Schnurer II	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
633	NCTC 1104	Yersinia pseudotuberculosis	Schnurer III	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
747	NCTC 1140	Pasteurella multocida	Mouse 49	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
1648	NCTC 1224	Erysipelothrix rhusiopathiae	Wragge	37	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix
747	NCTC 1287	Pasteurella multocida	Bov Pn I	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
1392	NCTC 1328	Bacillus anthracis	Fildes	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1490	NCTC 1340	Clostridium bifermentans	70	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Paraclostridium
1490	NCTC 1341	Clostridium bifermentans	116	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Paraclostridium
32013	NCTC 1347	Comamonas terrigena	Bedson	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
615	NCTC 1377	Serratia marcescens	Delft 137	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
35755	NCTC 1386	Corynebacterium kutscheri	Browning	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1590	NCTC 1406	Lactobacillus plantarum	Type 1	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
1590	NCTC 1407	Lactobacillus odontolyticus	Type 2	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
235	NCTC 1478	Brucella abortus	Weybridge IV	37	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
2014578	NCTC 1523	Corynebacterium dihptheriae var intermedius	55	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
144549	NCTC 1542	Mycobacterium fortuitum	Cobbett	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium
562	NCTC 1601	Escherichia coli	Towne	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1272	NCTC 1630	Micrococcus sp.	Thaysen	37	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria
1272	NCTC 1631	Kocuria varians	Milk	27	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria
733	NCTC 1659	Haemophilus haemoglobinophilus	XIII	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Canicola
28450	NCTC 1688	Burkholderia pseudomallei	Rat	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
1648	NCTC 1694	Erysipelothrix rhusiopathiae	Aberdeen	37	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix
518	NCTC 1704	Bordetella bronchiseptica	Rahmen 78	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
582	NCTC 1707	Morganella morganii	Palestine I	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella
1579	NCTC 1723	Lactobacillus acidophilus	4 B	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
747	NCTC 1737	Pasteurella multocida	Gaiger	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
633	NCTC 1779	Yersinia pseudotuberculosis	C 8	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
1280	NCTC 1803	Staphylococcus aureus	Gaiger	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
747	NCTC 1876	Pasteurella multocida	01316	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
747	NCTC 1877	Pasteurella multocida	08366	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
1579	NCTC 1899	Lactobacillus acidophilus	2	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
1823	NCTC 1934	Nocardia otitidiscaviarum	Noc II Sumatra	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia
37329	NCTC 1935	Nocardia farcinica	Noc I Sumatra	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia
39831	NCTC 1936	Klebsiella pneumoniae subsp. rhinoscleromatis	5 Sumatra	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
32013	NCTC 1937	Comamonas terrigena	Mudd	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
287	NCTC 1999	Pseudomonas aeruginosa	Fildes III	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
287	NCTC 2000	Pseudomonas aeruginosa	Eyre I	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
1908	NCTC 2006	Mycobacterium fortuitum	Terrapin C 3	30	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
1491	NCTC 2012	Clostridium botulinum	Loch Maree	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
632	NCTC 2028	Yersinia pestis	Java	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
1402	NCTC 2120	Bacillus licheniformis	ATCC 8187	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1314	NCTC 2218	Streptococcus pyogenes	SF 3	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
600	NCTC 2252	Salmonella enterica subsp. enterica serotype thompson	Thompson	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1766	NCTC 2291	Mycobacterium fortuitum	Halibut	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium
1314	NCTC 2366	Streptococcus pyogenes	E 3	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1351	NCTC 2400	Enterococcus faecalis	Rettger	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
747	NCTC 2417	Pasteurella multocida	Rabbit 105	37	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
