Species	Strain	Source_ID	Temp
Shigella flexneri	Hughes	NCTC 2	37
Shigella flexneri	Oxford Flexner	NCTC 3	37
Shigella flexneri	Mountain 2464	NCTC 4	37
Shigella flexneri	Stansfield	NCTC 5	37
Shigella flexneri	Original Hiss & Russell	NCTC 6	37
Shigella flexneri	Whittington	NCTC 7	37
Salmonella enterica subsp. enterica serotype paratyphi a	Schottmuller	NCTC 13	37
Vibrio cholerae non 0:1	Martin I	NCTC 30	37
Proteus mirabilis	Pneum	NCTC 60	37
Salmonella enterica subsp. enterica serotype reading	Reading	NCTC 72	37
Salmonella enterica subsp. enterica serotype typhimurium	Binns	NCTC 73	37
Salmonella enterica subsp. enterica serotype typhimurium	Mutton	NCTC 74	37
Escherichia coli	Escherich	NCTC 86	37
Salmonella enterica subsp. enterica serotype stanley	Stanley	NCTC 92	37
Salmonella enterica subsp. enterica serotype paratyphi c	Baghdad 31	NCTC 96	37
Bacillus anthracis	Paddington VI	NCTC 109	37
Burkholderia mallei	A	NCTC 120	37
Escherichia coli	Hueppe	NCTC 122	37
Salmonella enterica subsp. enterica serotype newport	Newport 5	NCTC 129	37
Yersinia pestis	Parel	NCTC 144	37
Salmonella enterica subsp. enterica serotype typhi	Rawlings	NCTC 160	37
Staphylococcus equorum	Rayner	NCTC 189	37
Micrococcus luteus	Lister	NCTC 196	37
Klebsiella pneumoniae sensu stricto	Lister	NCTC 204	37
Corynebacterium pseudodiphtheriticum	2	NCTC 231	37
Morganella morganii	Spencer	NCTC 232	37
Morganella morganii	33 M	NCTC 235	37
Klebsiella aerogenes	Pfeiffer	NCTC 243	37
Clostridium sporogenes	G2 B6	NCTC 275	37
Clostridium sporogenes	R 60 XV	NCTC 276	37
Clostridium novyi	Cossard	NCTC 277	37
Clostridium novyi	Domange	NCTC 278	37
Clostridium tetani	USA II	NCTC 279	37
Clostridium septicum	NFI	NCTC 281	37
Clostridium septicum	Bedford	NCTC 282	37
Clostridium septicum	Stokes 4	NCTC 283	37
Clostridium septicum	George A 2	NCTC 284	37
Clostridium septicum	Jerral	NCTC 286	37
Clostridium tetanomorphum	297 VII	NCTC 288	37
Mycobacterium smegmatis	GP 60	NCTC 333	37
Mycobacterium smegmatis	GP 61	NCTC 334	30
Salmonella enterica subsp. enterica serotype typhisuis	Andrewes	NCTC 346	37
Salmonella enterica subsp. enterica serotype typhisuis	Pfeiler	NCTC 347	37
Salmonella enterica subsp. enterica serotype typhisuis	Poppe (ATCC 8321)	NCTC 348	37
Mycobacterium duvalii	Duvals Lepra	NCTC 358	37
Enterococcus faecalis	Stubbs IV (Elstree 35)	NCTC 370	37
Corynebacterium diptheriae var mitis	Parks No. 8	NCTC 380	37
Proteus vulgaris	NYU	NCTC 401	37
Kurthia zopfii	Novy	NCTC 404	37
Kurthia zopfii	Chicago	NCTC 405	37
Alcaligenes faecalis	AMNH 439	NCTC 415	37
Klebsiella pneumoniae	240	NCTC 418	37
Salmonella enterica subsp. enterica serotype gallinarum	180 (IIc Theobald Smith)	NCTC 423	37
Nocardia sp.	Human	NCTC 434	30
Streptomyces upcotii	Gibson (Upcott)	NCTC 450	30
