Species	Strain	Source_ID	Temp	ncbiTaxID
Shigella flexneri	Hughes	NCTC 2	37	623
Shigella flexneri	Oxford Flexner	NCTC 3	37	623
Shigella flexneri	Mountain 2464	NCTC 4	37	623
Shigella flexneri	Stansfield	NCTC 5	37	623
Shigella flexneri	Original Hiss & Russell	NCTC 6	37	623
Shigella flexneri	Whittington	NCTC 7	37	623
Salmonella enterica subsp. enterica serotype paratyphi a	Schottmuller	NCTC 13	37	-1
Vibrio cholerae non 0:1	Martin I	NCTC 30	37	-1
Proteus mirabilis	Pneum	NCTC 60	37	584
Salmonella enterica subsp. enterica serotype reading	Reading	NCTC 72	37	-1
Salmonella enterica subsp. enterica serotype typhimurium	Binns	NCTC 73	37	-1
Salmonella enterica subsp. enterica serotype typhimurium	Mutton	NCTC 74	37	-1
Escherichia coli	Escherich	NCTC 86	37	562
Salmonella enterica subsp. enterica serotype stanley	Stanley	NCTC 92	37	-1
Salmonella enterica subsp. enterica serotype paratyphi c	Baghdad 31	NCTC 96	37	-1
Bacillus anthracis	Paddington VI	NCTC 109	37	1392
Burkholderia mallei	A	NCTC 120	37	13373
Escherichia coli	Hueppe	NCTC 122	37	562
Salmonella enterica subsp. enterica serotype newport	Newport 5	NCTC 129	37	-1
Yersinia pestis	Parel	NCTC 144	37	632
Salmonella enterica subsp. enterica serotype typhi	Rawlings	NCTC 160	37	-1
Staphylococcus equorum	Rayner	NCTC 189	37	246432
Micrococcus luteus	Lister	NCTC 196	37	1270
Klebsiella pneumoniae sensu stricto	Lister	NCTC 204	37	-1
Corynebacterium pseudodiphtheriticum	2	NCTC 231	37	37637
Morganella morganii	Spencer	NCTC 232	37	582
Morganella morganii	33 M	NCTC 235	37	582
Klebsiella aerogenes	Pfeiffer	NCTC 243	37	548
Clostridium sporogenes	G2 B6	NCTC 275	37	1509
Clostridium sporogenes	R 60 XV	NCTC 276	37	1509
Clostridium novyi	Cossard	NCTC 277	37	1542
Clostridium novyi	Domange	NCTC 278	37	1542
Clostridium tetani	USA II	NCTC 279	37	1513
Clostridium septicum	NFI	NCTC 281	37	1504
Clostridium septicum	Bedford	NCTC 282	37	1504
Clostridium septicum	Stokes 4	NCTC 283	37	1504
Clostridium septicum	George A 2	NCTC 284	37	1504
Clostridium septicum	Jerral	NCTC 286	37	1504
Clostridium tetanomorphum	297 VII	NCTC 288	37	1553
Mycobacterium smegmatis	GP 60	NCTC 333	37	-1
Mycobacterium smegmatis	GP 61	NCTC 334	30	-1
Salmonella enterica subsp. enterica serotype typhisuis	Andrewes	NCTC 346	37	-1
Salmonella enterica subsp. enterica serotype typhisuis	Pfeiler	NCTC 347	37	-1
Salmonella enterica subsp. enterica serotype typhisuis	Poppe (ATCC 8321)	NCTC 348	37	-1
Mycobacterium duvalii	Duvals Lepra	NCTC 358	37	-1
Enterococcus faecalis	Stubbs IV (Elstree 35)	NCTC 370	37	1351
Corynebacterium diptheriae var mitis	Parks No. 8	NCTC 380	37	-1
Proteus vulgaris	NYU	NCTC 401	37	585
Kurthia zopfii	Novy	NCTC 404	37	1650
Kurthia zopfii	Chicago	NCTC 405	37	1650
Alcaligenes faecalis	AMNH 439	NCTC 415	37	511
Klebsiella pneumoniae	240	NCTC 418	37	573
Salmonella enterica subsp. enterica serotype gallinarum	180 (IIc Theobald Smith)	NCTC 423	37	-1
Nocardia sp.	Human	NCTC 434	30	-1
Streptomyces upcotii	Gibson (Upcott)	NCTC 450	30	-1
Bordetella bronchiseptica	Dog 71	NCTC 452	37	518
Bordetella bronchiseptica	Rabbit 72	NCTC 454	37	518
Bordetella bronchiseptica	Ferret 1	NCTC 455	37	518
Bordetella bronchiseptica	Monkey 21	NCTC 456	37	518
Bordetella bronchiseptica	Man 1	NCTC 458	37	518
Clostridium tetanomorphum	146 TBI	NCTC 500	37	1553
Clostridium septicum	GC 186	NCTC 501	37	1504
Clostridium histolyticum	Weinberg	NCTC 503	37	-1
Clostridium septicum	141	NCTC 504	37	1504
Clostridium sporogenes	208	NCTC 505	37	1509
Clostridium bifermentans	FI	NCTC 506	37	-1
Clostridium sphenoides	Thorlby	NCTC 507	37	-1
Mycobacterium smegmatis	New York	NCTC 523	37	-1
Mycobacterium phlei	Hay	NCTC 525	30	-1
Clostridium sporogenes	SR 5	NCTC 532	37	1509
Clostridium sporogenes	Conradi	NCTC 534	37	1509
Clostridium novyi	Jolly	NCTC 538	37	1542
Clostridium tetani	R 220 E	NCTC 539	37	1513
Clostridium tetani	T 67	NCTC 540	37	1513
Clostridium tertium	P II Col 54	NCTC 541	37	1559
