Length (>=)	Absolute Count
0	236761
100	213663
200	176700
300	142635
400	105485
500	76482
600	54551
700	41191
800	31272
900	24335
1000	19017
1100	15186
1200	12385
1300	10239
1400	8555
1500	7119
1600	6060
1700	5274
1800	4551
1900	3911
2000	3341
2100	2957
2200	2538
2300	2196
2400	1919
2500	1693
2600	1499
2700	1345
2800	1190
2900	1089
3000	1016
3100	917
3200	843
3300	799
3400	742
3500	694
3600	655
3700	615
3800	579
3900	555
4000	507
4100	467
4200	445
4300	424
4400	394
4500	368
4600	310
4700	284
4800	271
4900	246
5000	222
5100	189
5200	160
5300	144
5400	132
5500	123
5600	109
5700	103
5800	101
5900	98
6000	94
6100	92
6200	91
6300	89
6400	88
6500	87
6600	86
6700	81
6800	80
6900	77
7000	72
7100	71
7200	68
7300	66
7400	62
7500	59
7600	57
7700	56
7800	53
7900	52
8000	49
8100	47
8200	47
8300	47
8400	46
8500	45
8600	40
8700	40
8800	36
8900	34
9000	32
9100	32
9200	32
9300	32
9400	32
9500	32
9600	32
9700	32
9800	32
9900	32
10000	32
10100	31
10200	31
10300	30
10400	30
10500	30
10600	29
10700	29
10800	29
10900	29
11000	29
11100	29
11200	27
11300	27
11400	27
11500	27
11600	27
11700	27
11800	27
11900	26
12000	26
12100	26
12200	26
12300	26
12400	25
12500	25
12600	25
12700	25
12800	25
12900	25
13000	25
13100	24
13200	23
13300	23
13400	23
13500	23
13600	23
13700	23
13800	23
13900	23
14000	23
14100	23
14200	23
14300	23
14400	23
14500	23
14600	22
14700	22
14800	22
14900	22
15000	22
15100	22
15200	22
15300	22
15400	22
15500	22
15600	22
15700	21
15800	21
15900	21
16000	21
16100	21
16200	21
16300	20
16400	20
16500	20
16600	20
16700	20
16800	20
16900	20
17000	20
17100	20
17200	20
17300	20
17400	20
17500	20
17600	20
17700	20
17800	20
17900	20
18000	19
18100	19
18200	17
18300	17
18400	17
18500	17
18600	14
18700	14
18800	14
18900	14
19000	14
19100	14
19200	14
19300	14
19400	14
19500	14
19600	14
19700	14
19800	14
19900	14
20000	14
20100	14
20200	14
20300	14
20400	14
20500	14
20600	14
20700	14
20800	14
20900	14
21000	14
21100	14
21200	14
21300	14
21400	14
21500	14
21600	14
21700	14
21800	14
21900	14
22000	14
22100	14
22200	14
22300	14
22400	14
22500	14
22600	14
22700	14
22800	14
22900	14
23000	14
23100	14
23200	14
23300	14
23400	14
23500	14
23600	14
23700	14
23800	14
23900	14
24000	14
24100	14
24200	14
24300	14
24400	14
24500	14
24600	14
24700	14
24800	14
24900	14
25000	14
25100	14
25200	14
25300	14
25400	14
25500	14
25600	14
25700	14
25800	14
25900	14
26000	14
26100	14
26200	14
26300	14
26400	14
26500	14
26600	14
26700	14
26800	14
26900	13
27000	12
27100	11
27200	10
27300	10
27400	10
27500	10
27600	10
27700	10
27800	10
27900	10
28000	10
28100	10
28200	10
28300	10
28400	10
28500	10
28600	10
28700	10
28800	10
28900	10
29000	10
29100	10
29200	10
29300	10
29400	10
29500	10
29600	10
29700	10
29800	10
29900	10
30000	10
30100	10
30200	10
30300	10
30400	10
30500	10
30600	10
30700	10
30800	10
30900	10
31000	10
31100	10
31200	10
31300	10
31400	10
31500	10
31600	10
31700	10
31800	10
31900	10
32000	10
32100	10
32200	10
32300	10
32400	10
32500	10
32600	10
32700	10
32800	10
32900	10
33000	9
33100	9
33200	9
33300	9
33400	9
33500	7
33600	7
33700	6
33800	6
33900	6
34000	6
34100	6
34200	6
34300	5
34400	4
34500	2
34600	2
34700	2
34800	2
34900	2
35000	2
35100	2
35200	2
35300	1
35400	1
35500	1
35600	1
35700	1
35800	1
35900	1
