ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus	Genome
2320	Methanopyrus kandleri	116	100	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	
1927912	Geogemma barossii	121	106	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Geogemma	
694429	Pyrolobus fumarii	1A	106	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	GCA_000223395.1
1609559	Pyrococcus kukulkanii	NCB100	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	GCA_001577775.1
190192	Methanopyrus kandleri	AV19	98	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	GCA_000007185.1
35616	Pyrodictium brockii	S1	105	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	
2309	Pyrodictium occultum	PL-19	105	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	
54256	Pyrodictium abyssi	AV2	97	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	
529709	Pyrococcus yayanosii	CH1	98	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	GCA_000215995.1
415426	Hyperthermus butylicus	DSM 5456	100,5	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	GCA_000015145.1
13773	Pyrobaculum aerophilum	IM2 	100	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	GCA_000007225.1
74610	Pyrococcus glycovorans	AL585	95	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	
2261	Pyrococcus furiosus	Vc1	100	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	GCA_000007305.1
46540	Thermococcus fumicolans	ST557	87,5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
2278	Pyrobaculum organotrophum	JCM 9190	102	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	
2277	Pyrobaculum islandicum	GEO3	100	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	GCA_000015205.1
70601	Pyrococcus horikoshii	OT3	98	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	GCA_000011105.1
272844	Pyrococcus abyssi	GE5	96	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	GCA_000195935.2
52001	Stetteria hydrogenophila	DSM 11227	95	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Stetteria	
184117	Thermoproteus uzoniensis	Z-605	90	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	GCA_000193375.1
272557	Aeropyrum pernix	K1	92,5	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	GCA_000011125.1
121277	Pyrobaculum arsenaticum	PZ6	90	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	GCA_000016385.1
2269	Thermofilum pendens	Hvv3	87,5	Archaea	Thermoproteota	Thermoprotei	Thermofilales	Thermofilaceae	Thermofilum	GCA_000015225.1
1505907	Thermococcus eurythermalis	A501	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_000769655.1
69014	Thermococcus kodakarensis	KOD1	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_000009965.1
46539	Thermococcus hydrothermalis	AL662	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
93466	Fervidobacterium pennivorans	Ven 5	80	Bacteria	Thermotogota	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium	GCA_000235405.3
181486	Pyrobaculum calidifontis	VA1	92,5	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	
53952	Thermococcus peptonophilus	OG-1	87,5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_001592435.1
399550	Staphylothermus marinus	F1	92	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	GCA_000015945.1
160233	Ignicoccus hospitalis	 KIN4/I	90	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	GCA_000017945.1
114376	Ignicoccus pacificus	LPC33	90	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	
54259	Ignicoccus islandicus	Kol8	90	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	GCA_001481685.1
54250	Thermodiscus maritimus	S2	90	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermodiscus	
2265	Thermococcus litoralis	NS-C	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_000246985.3
334771	Ignisphaera aggregans	AQ1.S1	93,5	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	
1104324	Pyrobaculum ferrireducens	1860	92,5	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	GCA_000234805.1
985053	Vulcanisaeta moutnovskia	768-28	82,5	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	GCA_000190315.1
2181	Methanothermus sociabilis	Kf1-F1	88	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	
229980	Aeropyrum camini	SY1	85	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	GCA_000591035.1
2180	Methanothermus fervidus	V24S	83	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	GCA_000166095.1
698757	Pyrobaculum oguniense	TE7	92	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	
1227648	Hyperthermus hephaesti	Ro04	91	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	
1273541	Pyrodictium delaneyi	Su06	91	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	GCA_001412615.1
1150674	Desulfurococcus amylolyticus	Z-533	91	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	GCA_000231015.3
12915	Acidianus infernus	So4a 	90	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	
768679	Thermoproteus tenax	Kra 1	90	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	GCA_000253055.1
1806371	Pyrobaculum igneiluti	521	90	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	
187880	Thermococcus radiotolerans	EJ2	88	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_002214565.1
187879	Thermococcus marinus	EJ1	88	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
593117	Thermococcus gammatolerans	EJ3	88	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_000022365.1
195522	Thermococcus nautili	43860	87,5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_000585495.1
53426	Sulfophobococcus zilligii	K1	87	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Sulfophobococcus	
2714	Aquifex pyrophilus	Kol5a	85	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Aquifex	
207809	Sulfolobus tengchongensis	RT8-4	85	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
155321	Thermococcus atlanticus	MA898	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
391623	Thermococcus barophilus	MP	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_000151105.2
54261	Ferroglobus placidus	AEDII12DO 	85	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	GCA_000025505.1
1184251	Thermogladius calderae	1633	84	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	GCA_000264495.1
1128108	Thermococcus prieurii	Bio-pl-0405IT2	80	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
73007	Sulfolobus yangmingensis	YM1	80	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1712654	Thermococcus piezophilus	CDGS	75	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_001647085.1
84597	Thermococcus aegaeus	P5	89	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
71998	Thermococcus pacificus	P-4	84	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_002214485.1
71997	Thermococcus gorgonarius	W-12	84	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_002214385.1
163003	Thermococcus cleftensis	CL1	88	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_000265525.1
110163	Thermococcus aggregans	TY	88	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
49900	Thermococcus stetteri	K-3	75	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
277988	Thermococcus thioreducens	OGL-20P	84	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_002214545.1
1702097	Saccharolobus caldissimus	HS-3	85	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
72803	Thermococcus siculi	RG-20	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_002214505.1
71280	Thermococcus acidaminovorans	AEDII10	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	
54262	Thermococcus chitonophagus	GC74	85	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	GCA_900012635.1
477696	Thermogladius shockii	WB1	84	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	
