Name	Strain	Temp	ncbiTaxID	Genome
Methanopyrus kandleri	116	100	2320	
Geogemma barossii	121	106	1927912	
Pyrolobus fumarii	1A	106	694429	GCA_000223395.1
Pyrococcus kukulkanii	NCB100	105	1609559	GCA_001577775.1
Methanopyrus kandleri	AV19	98	190192	GCA_000007185.1
Pyrodictium brockii	S1	105	35616	
Pyrodictium occultum	PL-19	105	2309	
Pyrodictium abyssi	AV2	97	54256	
Pyrococcus yayanosii	CH1	98	529709	GCA_000215995.1
Hyperthermus butylicus	DSM 5456	100,5	415426	GCA_000015145.1
Pyrobaculum aerophilum	IM2 	100	13773	GCA_000007225.1
Pyrococcus glycovorans	AL585	95	74610	
Pyrococcus furiosus	Vc1	100	2261	GCA_000007305.1
Thermococcus fumicolans	ST557	87,5	46540	
Pyrobaculum organotrophum	JCM 9190	102	2278	
Pyrobaculum islandicum	GEO3	100	2277	GCA_000015205.1
Pyrococcus horikoshii	OT3	98	70601	GCA_000011105.1
Pyrococcus abyssi	GE5	96	272844	GCA_000195935.2
Stetteria hydrogenophila	DSM 11227	95	52001	
Thermoproteus uzoniensis	Z-605	90	184117	GCA_000193375.1
Aeropyrum pernix	K1	92,5	272557	GCA_000011125.1
Pyrobaculum arsenaticum	PZ6	90	121277	GCA_000016385.1
Thermofilum pendens	Hvv3	87,5	2269	GCA_000015225.1
Thermococcus eurythermalis	A501	85	1505907	GCA_000769655.1
Thermococcus kodakarensis	KOD1	85	69014	GCA_000009965.1
Thermococcus hydrothermalis	AL662	85	46539	
Fervidobacterium pennivorans	Ven 5	80	93466	GCA_000235405.3
Pyrobaculum calidifontis	VA1	92,5	181486	
Thermococcus peptonophilus	OG-1	87,5	53952	GCA_001592435.1
Staphylothermus marinus	F1	92	399550	GCA_000015945.1
Ignicoccus hospitalis	 KIN4/I	90	160233	GCA_000017945.1
Ignicoccus pacificus	LPC33	90	114376	
Ignicoccus islandicus	Kol8	90	54259	GCA_001481685.1
Thermodiscus maritimus	S2	90	54250	
Thermococcus litoralis	NS-C	85	2265	GCA_000246985.3
Ignisphaera aggregans	AQ1.S1	93,5	334771	
Pyrobaculum ferrireducens	1860	92,5	1104324	GCA_000234805.1
Vulcanisaeta moutnovskia	768-28	82,5	985053	GCA_000190315.1
Methanothermus sociabilis	Kf1-F1	88	2181	
Aeropyrum camini	SY1	85	229980	GCA_000591035.1
Methanothermus fervidus	V24S	83	2180	GCA_000166095.1
Pyrobaculum oguniense	TE7	92	698757	
Hyperthermus hephaesti	Ro04	91	1227648	
Pyrodictium delaneyi	Su06	91	1273541	GCA_001412615.1
Desulfurococcus amylolyticus	Z-533	91	1150674	GCA_000231015.3
Acidianus infernus	So4a 	90	12915	
Thermoproteus tenax	Kra 1	90	768679	GCA_000253055.1
Pyrobaculum igneiluti	521	90	1806371	
Thermococcus radiotolerans	EJ2	88	187880	GCA_002214565.1
Thermococcus marinus	EJ1	88	187879	
Thermococcus gammatolerans	EJ3	88	593117	GCA_000022365.1
Thermococcus nautili	43860	87,5	195522	GCA_000585495.1
Sulfophobococcus zilligii	K1	87	53426	
Aquifex pyrophilus	Kol5a	85	2714	
Sulfolobus tengchongensis	RT8-4	85	207809	
Thermococcus atlanticus	MA898	85	155321	
Thermococcus barophilus	MP	85	391623	GCA_000151105.2
Ferroglobus placidus	AEDII12DO 	85	54261	GCA_000025505.1
Thermogladius calderae	1633	84	1184251	GCA_000264495.1
Thermococcus prieurii	Bio-pl-0405IT2	80	1128108	
Sulfolobus yangmingensis	YM1	80	73007	
Thermococcus piezophilus	CDGS	75	1712654	GCA_001647085.1
Thermococcus aegaeus	P5	89	84597	
Thermococcus pacificus	P-4	84	71998	GCA_002214485.1
Thermococcus gorgonarius	W-12	84	71997	GCA_002214385.1
Thermococcus cleftensis	CL1	88	163003	GCA_000265525.1
Thermococcus aggregans	TY	88	110163	
Thermococcus stetteri	K-3	75	49900	
Thermococcus thioreducens	OGL-20P	84	277988	GCA_002214545.1
Saccharolobus caldissimus	HS-3	85	1702097	
Thermococcus siculi	RG-20	85	72803	GCA_002214505.1
Thermococcus acidaminovorans	AEDII10	85	71280	
Thermococcus chitonophagus	GC74	85	54262	GCA_900012635.1
Thermogladius shockii	WB1	84	477696	
Vulcanisaeta distributa	IC-017	90	164451	GCA_000148385.1
Acidilobus aceticus	1904	85	105851	
Methanocaldococcus fervens	AG8G 	85	83171	GCA_000023985.1
Caldivirga maquilingensis	IC-167	85	397948	GCA_000018305.1
Sulfurisphaera ohwakuensis	TA-1	84	69656	GCA_009729055.1
Thermococcus barossii	SHCK-94	82,5	54077	GCA_002214465.1
Thermosulfurimonas dismutans	S95	74	999894	
Methanotorris igneus	Kol 5	88	880724	GCA_000214415.1
Thermococcus paralvinellae	ES1	82	582419	GCA_000517445.1
Geoglobus ahangari	234	88	113653	GCA_001006045.1
Thermococcus guaymasensis	TYS 	88	110164	GCA_000816105.1
Thermococcus coalescens	TS1	87	227597	
