ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
2320	Methanopyrus kandleri	116	105	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus
1927912	Geogemma barossii	121	106	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Geogemma
694429	Pyrolobus fumarii	1A, DSM 11204	106	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus
1609559	Pyrococcus kukulkanii	NCB100	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
35616	Pyrodictium brockii	S1	105	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium
2309	Pyrodictium occultum	PL-19	105	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium
190192	Methanopyrus kandleri	AV19	98	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus
39456	Pyrococcus endeavori	nan	98	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
54256	Pyrodictium abyssi	AV2	97	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium
415426	Hyperthermus butylicus	DSM 5456	100,5	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus
529709	Pyrococcus yayanosii	CH1	98	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
2262	Pyrococcus woesei	nan	101,5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
178306	Pyrobaculum aerophilum	IM2	100	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
74610	Pyrococcus glycovorans	AL585	95	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
