ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
285268	Acetobacter nitrogenifigens	LMG 23498 = DSM 23921	30.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	
41673	Acidianus brierleyi	DSM 1651	70.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	
1160895	Acidianus copahuensis (Candidatus)	ALE1	75.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	
282676	Acidianus manzaensis	YN-25	65.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	
619593	Acidianus sulfidivorans	JP7	74.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	
1765683	Acidibacillus ferrooxidans	ITV01	30.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Ferroacidibacillus	
1765683	Acidibacillus ferrooxidans	SLC66	30.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Ferroacidibacillus	
1765684	Acidibacillus sulfuroxidans	Y002	43.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Sulfoacidibacillus	
209650	Acidicaldus organivorans	DX-1	52.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidicaldus	
1281578	Acidiferrobacter sp.	SPIII_3	22.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Acidiferrobacter	
163359	Acidiferrobacter thiooxydans	m-1	33.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Acidiferrobacter	
1765967	Acidihalobacter ferrooxidans	V8	30.0	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	
160660	Acidihalobacter prosperus	F5	30.0	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	
160660	Acidihalobacter prosperus	DSM 5130	37.0	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	
