Genome	Description	TotalLength
GCF_001267255.1	AAABECEJ_00570 HTH-type transcriptional regulator CynR	292
GCF_001267255.1	AAABECEJ_00268 Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	258
GCF_001267255.1	AAABECEJ_01081 30S ribosomal protein S9	130
GCF_001267255.1	AAABECEJ_00501 GTPase Era	296
GCF_001267255.1	AAABECEJ_02095 hypothetical protein	634
GCF_004118155.1	AAABMHGO_01874 hypothetical protein	241
GCF_004118155.1	AAABMHGO_01968 hypothetical protein	150
GCF_004118155.1	AAABMHGO_02711 hypothetical protein	123
GCF_004118155.1	AAABMHGO_01585 hypothetical protein	325
GCF_004118155.1	AAABMHGO_00873 hypothetical protein	129
GCF_900187235.1	AAAJONPG_00196 Glutamate--tRNA ligase	499
GCF_900187235.1	AAAJONPG_01033 hypothetical protein	924
GCF_900187235.1	AAAJONPG_00061 HTH-type transcriptional regulator CmtR	119
GCF_900187235.1	AAAJONPG_01891 Fe(3+) dicitrate transport ATP-binding protein FecE	274
GCF_900187235.1	AAAJONPG_01773 Phosphorylated carbohydrates phosphatase	86
GCF_003609635.1	AABGNIDA_03245 hypothetical protein	141
GCF_003609635.1	AABGNIDA_03601 Pyrroline-5-carboxylate reductase	365
GCF_003609635.1	AABGNIDA_00020 Ribosome hibernation promotion factor	176
GCF_003609635.1	AABGNIDA_03704 Competence protein ComM	515
GCF_003609635.1	AABGNIDA_02216 hypothetical protein	454
GCF_000828675.1	AACCEPPI_00957 putative butyrate kinase 2	368
GCF_000828675.1	AACCEPPI_00425 hypothetical protein	346
GCF_000828675.1	AACCEPPI_01331 putative formate transporter 1	268
GCF_000828675.1	AACCEPPI_00127 hypothetical protein	128
GCF_000828675.1	AACCEPPI_00093 Vitamin B12 import ATP-binding protein BtuD	334
GCF_000482805.1	AACFHINC_00106 Trehalose synthase/amylase TreS	575
GCF_000482805.1	AACFHINC_02258 tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	226
GCF_000482805.1	AACFHINC_00039 hypothetical protein	684
GCF_000482805.1	AACFHINC_01576 Phosphate-binding protein PstS	344
GCF_000482805.1	AACFHINC_00897 Deoxyguanosinetriphosphate triphosphohydrolase-like protein	385
GCF_025561465.1	AACLPBFE_01785 galactose-6-phosphate isomerase subunit LacA	143
GCF_025561465.1	AACLPBFE_00121 FAD:protein FMN transferase	306
GCF_025561465.1	AACLPBFE_02222 hypothetical protein	70
GCF_025561465.1	AACLPBFE_00925 ABC transporter permease	242
GCF_025561465.1	AACLPBFE_01852 MFS family major facilitator transporter	400
GCF_003263775.1	AACMCJGH_04104 Homoserine/homoserine lactone efflux protein	208
GCF_003263775.1	AACMCJGH_04573 D-inositol-3-phosphate glycosyltransferase	379
GCF_003263775.1	AACMCJGH_01925 Toxin RTX-I translocation ATP-binding protein	206
GCF_003263775.1	AACMCJGH_02861 sn-glycerol-3-phosphate-binding periplasmic protein UgpB	328
GCF_003263775.1	AACMCJGH_01907 hypothetical protein	278
GCF_002174535.1	AADGGCNA_02842 2-isopropylmalate synthase	529
GCF_002174535.1	AADGGCNA_00903 hypothetical protein	142
GCF_002174535.1	AADGGCNA_03187 hypothetical protein	322
GCF_002174535.1	AADGGCNA_01916 hypothetical protein	157
GCF_002174535.1	AADGGCNA_01193 Dihydrolipoyl dehydrogenase	469
GCF_014642735.1	AADGLJGP_03839 tRNA(fMet)-specific endonuclease VapC	130
GCF_014642735.1	AADGLJGP_00089 Large-conductance mechanosensitive channel	151
GCF_014642735.1	AADGLJGP_01727 TelA-like protein	291
GCF_014642735.1	AADGLJGP_03474 hypothetical protein	111
GCF_014642735.1	AADGLJGP_03798 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	325
GCA_003535675.1	AADGMLEP_01156 4-hydroxy-tetrahydrodipicolinate synthase	297
GCA_003535675.1	AADGMLEP_01332 hypothetical protein	101
GCA_003535675.1	AADGMLEP_00205 Phenylalanine--tRNA ligase alpha subunit	346
GCA_003535675.1	AADGMLEP_00388 tRNA (cytidine(34)-2'-O)-methyltransferase	186
GCA_003535675.1	AADGMLEP_01305 Lichenan permease IIC component	422
GCA_000167115.1	AADM01000162.1.g7.t1	868
GCA_000167115.1	AADM01000281.1.g12.t1	211
GCA_000167115.1	AADM01000132.1.g9.t1	1488
GCA_000167115.1	AADM01000031.1.g16.t1	1374
GCA_000167115.1	AADM01000071.1.g7.t1	306
GCF_000020485.1	AADMLLFM_02141 Methionine--tRNA ligase	653
GCF_000020485.1	AADMLLFM_00812 Chemotaxis protein CheW	159
GCF_000020485.1	AADMLLFM_01293 Na(+)/H(+) antiporter subunit E	172
GCF_000020485.1	AADMLLFM_01211 hypothetical protein	83
GCF_000020485.1	AADMLLFM_02476 putative membrane protein YdfK	227
GCF_001586935.1	AAEINNDH_00521 Acetylornithine aminotransferase	392
GCF_001586935.1	AAEINNDH_00527 Adenylate kinase	217
GCF_001586935.1	AAEINNDH_00411 4-hydroxy-tetrahydrodipicolinate synthase	294
GCF_001586935.1	AAEINNDH_00613 O-acetyl-L-homoserine sulfhydrylase	423
GCF_001586935.1	AAEINNDH_00037 UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase	453
GCF_000797465.1	AAEMPCBO_01988 tRNA pseudouridine synthase A	261
GCF_000797465.1	AAEMPCBO_01003 hypothetical protein	218
GCF_000797465.1	AAEMPCBO_03083 hypothetical protein	289
GCF_000797465.1	AAEMPCBO_01673 tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	650
GCF_000797465.1	AAEMPCBO_01716 Glycine cleavage system H protein	126
GCF_008011915.1	AAFAJGBM_01443 hypothetical protein	107
GCF_008011915.1	AAFAJGBM_03053 Aminopeptidase N	523
GCF_008011915.1	AAFAJGBM_03119 50S ribosomal protein L35	64
GCF_008011915.1	AAFAJGBM_00726 hypothetical protein	259
GCF_008011915.1	AAFAJGBM_03661 putative endonuclease 4	253
GCF_001311925.1	AAFEMKAA_02750 hypothetical protein	46
GCF_001311925.1	AAFEMKAA_02110 Arginine-binding extracellular protein ArtP	246
GCF_001311925.1	AAFEMKAA_00458 1-deoxy-D-xylulose-5-phosphate synthase	623
GCF_001311925.1	AAFEMKAA_03231 hypothetical protein	277
GCF_001311925.1	AAFEMKAA_00686 50S ribosomal protein L10	161
GCF_002252985.1	AAFHELKG_02181 GDP-mannose mannosyl hydrolase	149
GCF_002252985.1	AAFHELKG_01638 hypothetical protein	126
GCF_002252985.1	AAFHELKG_01543 Type A flavoprotein FprA	268
GCF_002252985.1	AAFHELKG_02050 hypothetical protein	152
GCF_002252985.1	AAFHELKG_03067 Serine--tRNA ligase	456
GCF_018403665.1	AAFPMPPP_00244 putative MFS-type transporter YfcJ	400
GCF_018403665.1	AAFPMPPP_03886 hypothetical protein	102
GCF_018403665.1	AAFPMPPP_00359 tRNA N6-adenosine threonylcarbamoyltransferase	100
GCF_018403665.1	AAFPMPPP_02562 Putative aliphatic sulfonates transport permease protein SsuC	266
GCF_018403665.1	AAFPMPPP_05823 putative multiple-sugar transport system permease YteP	262
GCF_001941975.1	AAHGPCHP_03312 hypothetical protein	278
GCF_001941975.1	AAHGPCHP_01436 Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit B	317
GCF_001941975.1	AAHGPCHP_01422 Propionyl-CoA carboxylase beta chain	509
GCF_001941975.1	AAHGPCHP_04209 Lactate racemase	431
GCF_001941975.1	AAHGPCHP_01904 Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	440
GCF_004116025.1	AAHHIBKE_00104 Hemolysin BL-binding component	362
GCF_004116025.1	AAHHIBKE_01702 Chemotaxis protein CheA	667
GCF_004116025.1	AAHHIBKE_04499 hypothetical protein	49
GCF_004116025.1	AAHHIBKE_04572 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	168
GCF_004116025.1	AAHHIBKE_01969 HTH-type transcriptional regulator LrpC	150
GCF_000420085.1	AAIFCNMJ_03343 hypothetical protein	67
GCF_000420085.1	AAIFCNMJ_04245 Crossover junction endodeoxyribonuclease RuvC	161
GCF_000420085.1	AAIFCNMJ_02846 Anaerobic nitric oxide reductase transcription regulator NorR	542
GCF_000420085.1	AAIFCNMJ_04780 DNA topoisomerase 4 subunit B	651
GCF_000420085.1	AAIFCNMJ_02924 Spermidine export protein MdtJ	287
GCF_000011105.1	AAJEBMCH_00963 hypothetical protein	307
GCF_000011105.1	AAJEBMCH_01912 Ribosomal RNA small subunit methyltransferase F	387
GCF_000011105.1	AAJEBMCH_00566 hypothetical protein	154
GCF_000011105.1	AAJEBMCH_01383 putative membrane-bound hydrogenase subunit mbhJ	173
GCF_000011105.1	AAJEBMCH_01147 hypothetical protein	36
GCF_019396405.1	AAJFBEIK_05047 hypothetical protein	184
GCF_019396405.1	AAJFBEIK_00048 hypothetical protein	186
GCF_019396405.1	AAJFBEIK_03180 hypothetical protein	180
GCF_019396405.1	AAJFBEIK_04253 hypothetical protein	204
GCF_019396405.1	AAJFBEIK_01069 putative amino acid permease YhdG	497
GCF_017873815.1	AAKCFAEF_02179 putative tRNA pseudouridine synthase D	502
GCF_017873815.1	AAKCFAEF_02356 hypothetical protein	316
GCF_017873815.1	AAKCFAEF_00861 2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	340
GCF_017873815.1	AAKCFAEF_01778 hypothetical protein	137
GCF_017873815.1	AAKCFAEF_00236 hypothetical protein	136
GCF_000175615.1	AAKCNKKF_01011 putative sensor histidine kinase pdtaS	517
GCF_000175615.1	AAKCNKKF_00770 Thymidylate synthase	293
GCF_000175615.1	AAKCNKKF_01201 Heat shock protein 15	130
GCF_000175615.1	AAKCNKKF_01168 hypothetical protein	432
GCF_000175615.1	AAKCNKKF_00422 tRNA (guanine-N(7)-)-methyltransferase	268
GCF_900445215.1	AAKGELPB_02116 D-alanine--D-alanine ligase	316
GCF_900445215.1	AAKGELPB_01731 DNA repair protein RadA	461
GCF_900445215.1	AAKGELPB_02034 hypothetical protein	266
GCF_900445215.1	AAKGELPB_03397 ADP-L-glycero-D-manno-heptose-6-epimerase	332
GCF_900445215.1	AAKGELPB_01493 Adaptive-response sensory-kinase SasA	468
GCF_014199295.1	AAKLKCLB_01720 hypothetical protein	379
GCF_014199295.1	AAKLKCLB_01435 Adaptive-response sensory-kinase SasA	501
GCF_014199295.1	AAKLKCLB_00007 Leucine--tRNA ligase	854
GCF_014199295.1	AAKLKCLB_02233 hypothetical protein	155
GCF_014199295.1	AAKLKCLB_02240 DNA topoisomerase 1	848
GCF_001543325.1	AAKMDLHC_02601 tRNA N6-adenosine threonylcarbamoyltransferase	344
GCF_001543325.1	AAKMDLHC_02556 Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	382
GCF_001543325.1	AAKMDLHC_01383 Multidrug resistance protein MdtA	607
GCF_001543325.1	AAKMDLHC_01908 hypothetical protein	273
GCF_001543325.1	AAKMDLHC_02503 hypothetical protein	240
GCF_002072105.2	AAKOAAOE_00117 hypothetical protein	246
GCF_002072105.2	AAKOAAOE_00955 50S ribosomal protein L11	145
GCF_002072105.2	AAKOAAOE_02640 hypothetical protein	1058
GCF_002072105.2	AAKOAAOE_00732 50S ribosomal protein L20	114
GCF_002072105.2	AAKOAAOE_02289 Dihydrolipoyl dehydrogenase	463
GCF_003028855.1	AAMBNMGB_04884 hypothetical protein	351
GCF_003028855.1	AAMBNMGB_01519 Adenosine deaminase	485
GCF_003028855.1	AAMBNMGB_00774 HTH-type transcriptional activator RhaR	246
GCF_003028855.1	AAMBNMGB_04609 Glucose-6-phosphate 1-dehydrogenase	490
GCF_003028855.1	AAMBNMGB_02143 Riboflavin synthase	103
GCF_003259525.1	AAMBPJMO_00135 Glutamine--tRNA ligase	667
GCF_003259525.1	AAMBPJMO_00292 hypothetical protein	70
GCF_003259525.1	AAMBPJMO_00344 hypothetical protein	180
GCF_003259525.1	AAMBPJMO_00069 Acetylornithine deacetylase	353
GCF_003259525.1	AAMBPJMO_01883 Photosystem II 12 kDa extrinsic protein	296
GCF_003952165.1	AAMCFLPG_00121 hypothetical protein	188
GCF_003952165.1	AAMCFLPG_06247 Glyoxylate carboligase	596
GCF_003952165.1	AAMCFLPG_06259 hypothetical protein	104
GCF_003952165.1	AAMCFLPG_02329 Putative universal stress protein	148
GCF_003952165.1	AAMCFLPG_02067 Isocitrate dehydrogenase [NADP]	344
GCF_900639875.1	AAMCKLGD_01125 1-acyl-sn-glycerol-3-phosphate acyltransferase	243
GCF_900639875.1	AAMCKLGD_00454 hypothetical protein	436
GCF_900639875.1	AAMCKLGD_00766 hypothetical protein	763
GCF_900639875.1	AAMCKLGD_01440 Cell division coordinator CpoB	264
GCF_900639875.1	AAMCKLGD_01215 hypothetical protein	821
GCF_000163435.1	AAMJIDAF_00295 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	274
GCF_000163435.1	AAMJIDAF_00704 Monoacylglycerol lipase	249
GCF_000163435.1	AAMJIDAF_00671 hypothetical protein	58
GCF_000163435.1	AAMJIDAF_01072 hypothetical protein	147
GCF_000163435.1	AAMJIDAF_00707 putative HTH-type transcriptional regulator	216
GCF_000800395.1	AANAMNGH_02736 hypothetical protein	549
GCF_000800395.1	AANAMNGH_01144 Vitamin B12 import ATP-binding protein BtuD	350
GCF_000800395.1	AANAMNGH_02702 hypothetical protein	370
GCF_000800395.1	AANAMNGH_02968 hypothetical protein	119
GCF_000800395.1	AANAMNGH_01235 Alkyl hydroperoxide reductase AhpD	187
GCA_017986355.1	AANNKDHD_00957 hypothetical protein	295
GCA_017986355.1	AANNKDHD_01477 Inner membrane protein YbaN	124
GCA_017986355.1	AANNKDHD_00672 Sensor histidine kinase RcsC	1281
GCA_017986355.1	AANNKDHD_01043 Staphylopine export protein	398
GCA_017986355.1	AANNKDHD_00997 hypothetical protein	165
GCF_003938205.1	AANONJGO_00961 hypothetical protein	71
GCF_003938205.1	AANONJGO_00203 Protein YrdA	184
GCF_003938205.1	AANONJGO_02602 Succinate--CoA ligase [ADP-forming] subunit alpha	289
GCF_003938205.1	AANONJGO_03224 ATP-dependent DNA helicase RecG	693
GCF_003938205.1	AANONJGO_02868 Cytochrome bo(3) ubiquinol oxidase subunit 2	318
GCF_003369565.1	AAOBKNIP_01750 HTH-type transcriptional regulator BetI	211
GCF_003369565.1	AAOBKNIP_03333 Putative multidrug export ATP-binding/permease protein	574
GCF_003369565.1	AAOBKNIP_00771 hypothetical protein	76
GCF_003369565.1	AAOBKNIP_01069 Stage V sporulation protein T	178
GCF_003369565.1	AAOBKNIP_00446 hypothetical protein	69
GCF_900638305.1	AAOFDJGC_00535 tRNA modification GTPase MnmE	468
GCF_900638305.1	AAOFDJGC_01895 Erythronate-4-phosphate dehydrogenase	370
GCF_900638305.1	AAOFDJGC_01533 hypothetical protein	363
GCF_900638305.1	AAOFDJGC_01070 Mrr restriction system protein	292
GCF_900638305.1	AAOFDJGC_02060 hypothetical protein	356
GCF_001418345.1	AAOFINOM_00890 23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	248
GCF_001418345.1	AAOFINOM_01811 Fatty acid oxidation complex subunit alpha	713
GCF_001418345.1	AAOFINOM_00087 Tuberculostearic acid methyltransferase UfaA1	416
GCF_001418345.1	AAOFINOM_00960 Fumarate hydratase class I, anaerobic	503
GCF_001418345.1	AAOFINOM_00075 Phenylalanine--tRNA ligase alpha subunit	326
GCA_003511765.1	AAOGOGDO_01645 Flagellar biosynthetic protein FliQ	89
GCA_003511765.1	AAOGOGDO_00608 Ribosome maturation factor RimM	181
GCA_003511765.1	AAOGOGDO_00145 hypothetical protein	70
GCA_003511765.1	AAOGOGDO_00668 hypothetical protein	81
GCA_003511765.1	AAOGOGDO_01845 hypothetical protein	205
GCF_014636235.1	AAOGPOHG_04198 Deaminated glutathione amidase	312
GCF_014636235.1	AAOGPOHG_03535 hypothetical protein	211
GCF_014636235.1	AAOGPOHG_04515 hypothetical protein	388
GCF_014636235.1	AAOGPOHG_01828 PCP degradation transcriptional activation protein	298
GCF_014636235.1	AAOGPOHG_04283 ATP-dependent RNA helicase RhlE	499
GCF_000498515.1	AAOICLON_01886 hypothetical protein	238
GCF_000498515.1	AAOICLON_00939 hypothetical protein	234
GCF_000498515.1	AAOICLON_02189 hypothetical protein	93
GCF_000498515.1	AAOICLON_02706 hypothetical protein	303
GCF_000498515.1	AAOICLON_00135 hypothetical protein	298
GCF_016918565.1	AAOKOFBO_03287 Teichuronic acid biosynthesis protein TuaB	485
GCF_016918565.1	AAOKOFBO_02676 Methyl-accepting chemotaxis protein McpA	358
GCF_016918565.1	AAOKOFBO_03546 NAD kinase	287
GCF_016918565.1	AAOKOFBO_00494 Propanediol dehydratase medium subunit	212
GCF_016918565.1	AAOKOFBO_02489 Amylosucrase	650
GCF_002407065.1	AAPFJEJP_00517 hypothetical protein	205
GCF_002407065.1	AAPFJEJP_00881 o-succinylbenzoate synthase	325
GCF_002407065.1	AAPFJEJP_00195 hypothetical protein	225
GCF_002407065.1	AAPFJEJP_01274 hypothetical protein	133
GCF_002407065.1	AAPFJEJP_00291 putative protein YesU	218
GCF_001655035.1	AAPNDGNF_00640 hypothetical protein	131
GCF_001655035.1	AAPNDGNF_02588 Adenylate cyclase	849
GCF_001655035.1	AAPNDGNF_02479 PTS-dependent dihydroxyacetone kinase operon regulatory protein	651
GCF_001655035.1	AAPNDGNF_01314 Beta-lactamase	389
GCF_001655035.1	AAPNDGNF_03466 Outer membrane porin C	382
GCF_002029235.1	ABACNFFJ_02104 30S ribosomal protein S2	233
GCF_002029235.1	ABACNFFJ_01092 Single-stranded-DNA-specific exonuclease RecJ	284
GCF_002029235.1	ABACNFFJ_00070 IS1182 family transposase ISMsp1	294
GCF_002029235.1	ABACNFFJ_00311 putative HTH-type transcriptional regulator YxaF	191
GCF_002029235.1	ABACNFFJ_01812 hypothetical protein	299
GCF_004362855.1	ABADCGJM_02377 hypothetical protein	331
