ncbiTaxID	Genome	Quality	best-match-status	taxonomy-check-status
7	GCF_000010525.1	Complete Genome	below-threshold-mismatch	OK
14	GCF_000020965.1	Complete Genome	below-threshold-mismatch	OK
17	GCF_000378225.1	Scaffold	below-threshold-mismatch	OK
19	GCF_000012885.1	Complete Genome	below-threshold-mismatch	OK
23	GCF_001735525.1	Scaffold	species-match	OK
24	GCF_025402875.1	Complete Genome	species-match	OK
25	GCF_007197645.1	Contig	species-match	OK
33	GCF_900111765.1	Scaffold	species-match	OK
34	GCF_000012685.1	Complete Genome	species-match	OK
41	GCF_900109545.1	Contig	mismatch	OK
48	GCF_001027285.1	Complete Genome	species-match	OK
52	GCF_001189295.1	Complete Genome	low-coverage	OK
65	GCA_000018565.1	Complete Genome	below-threshold-mismatch	OK
69	GCF_002355975.1	Complete Genome	species-match	OK
72	GCF_002951835.1	Complete Genome	species-match	OK
86	GCF_000685215.1	Contig	below-threshold-mismatch	OK
94	GCF_003751345.1	Contig	species-match	OK
100	GCF_004339465.1	Contig	below-threshold-mismatch	OK
104	GCF_000222485.1	Complete Genome	below-threshold-mismatch	OK
106	GCF_000218895.1	Complete Genome	below-threshold-mismatch	OK
108	GCA_000024525.1	Complete Genome	below-threshold-mismatch	OK
120	GCF_000092105.1	Complete Genome	below-threshold-mismatch	OK
122	GCF_007747015.1	Complete Genome	species-match	OK
125	GCF_000025185.1	Complete Genome	low-coverage	OK
128	GCF_000186345.1	Complete Genome	low-coverage	OK
134	GCF_009685195.1	Complete Genome	species-match	OK
139	GCF_000181575.2	Scaffold	species-match	OK
154	GCF_000184345.1	Complete Genome	low-coverage	OK
159	GCF_017751225.1	Complete Genome	species-match	OK
160	GCF_000246755.1	Chromosome	derived-species-match	OK
167	GCF_000195275.1	Complete Genome	low-coverage	OK
173	GCF_002073495.2	Complete Genome	species-match	OK
174	GCF_003516145.1	Complete Genome	species-match	OK
189	GCF_000381985.1	Scaffold	low-coverage	OK
190	GCF_000420525.1	Contig	low-coverage	OK
192	GCF_007827425.1	Contig	species-match	OK
193	GCF_008364955.1	Scaffold	below-threshold-mismatch	OK
195	GCF_009730395.1	Complete Genome	species-match	OK
196	GCF_011600945.2	Complete Genome	derived-species-match	OK
197	GCF_000009085.1	Complete Genome	derived-species-match	OK
