ProteomeId	Organism	ncbiTaxID	Protein count	Domain
UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	6060	Eukaryota
UP000000542	Leishmania major	5664	8038	Eukaryota
UP000000598	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	284590	5071	Eukaryota
UP000001798	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	332648	13038	Eukaryota
UP000001805	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	10256	Eukaryota
UP000002009	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)	296587	10115	Eukaryota
UP000002866	Tetrapisispora blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7) (Yeast) (Kluyveromyces blattae)	1071380	5385	Eukaryota
UP000005220	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276) (Yeast) (Kluyveromyces africanus)	1071382	5354	Eukaryota
UP000005238	Phytophthora ramorum (Sudden oak death agent)	164328	15349	Eukaryota
UP000005627	Torulaspora delbrueckii (Yeast) (Candida colliculosa)	4950	4966	Eukaryota
UP000006906	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	18829	Eukaryota
UP000008141	Chlorella variabilis (Green alga)	554065	9831	Eukaryota
UP000009170	Ostreococcus tauri	70448	7745	Eukaryota
UP000013827	Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi)	2903	35707	Eukaryota
UP000019335	Nannochloropsis gaditana	72520	10819	Eukaryota
UP000027073	Pleurotus ostreatus PC15	1137138	12186	Eukaryota
UP000028924	Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)	3075	7001	Eukaryota
UP000030104	Penicillium italicum (Blue mold)	40296	9993	Eukaryota
UP000030143	Penicillium expansum (Blue mold rot fungus)	27334	11060	Eukaryota
UP000030680	Galdieria sulphuraria (Red alga)	130081	7035	Eukaryota
UP000034112	Trichoderma harzianum (Hypocrea lixii)	5544	11497	Eukaryota
UP000037696	Penicillium nordicum	229535	12938	Eukaryota
UP000053758	Pseudozyma antarctica (Yeast) (Candida antarctica)	84753	4672	Eukaryota
