ncbiTaxID	Genome	Quality	best-match-status	taxonomy-check-status
1307912	GCA_025995595.1	Contig	species-match	OK
1121106	GCF_000745835.1	Scaffold	below-threshold-mismatch	OK
938405	GCF_900101615.1	Scaffold	species-match	OK
94	GCF_003751345.1	Contig	species-match	OK
50715	GCF_000964365.1	Scaffold	low-coverage	OK
198092	GCF_900141905.1	Scaffold	below-threshold-mismatch	OK
287609	GCF_014644535.1	Contig	below-threshold-mismatch	OK
373043				
424704				
452982	GCF_000711725.1	Contig	below-threshold-mismatch	OK
693023	GCF_014199205.1	Scaffold	below-threshold-mismatch	OK
364410	GCF_001889445.1	Complete Genome	species-match	OK
512382				
512383				
78120	GCF_000384135.1	Scaffold	low-coverage	OK
53635	GCF_000023265.1	Complete Genome	low-coverage	OK
1121877	GCF_000949255.1	Contig	low-coverage	OK
1121881	GCF_900128965.1	Scaffold	low-coverage	OK
388466	GCF_004217555.1	Contig	below-threshold-mismatch	OK
570835	GCF_000745965.1	Scaffold	below-threshold-mismatch	OK
870903	GCF_000179915.2	Complete Genome	low-coverage	OK
474952	GCF_900188085.1	Contig	low-coverage	OK
474950	GCF_900114625.1	Contig	low-coverage	OK
474949	GCF_025685565.1	Contig	low-coverage	OK
474951	GCF_025685545.1	Contig	low-coverage	OK
474953				
863522	GCF_900108185.1	Contig	low-coverage	OK
946336				
542300	GCF_025685655.1	Contig	low-coverage	OK
1657	GCF_900618115.1	Contig	species-match	OK
52773	GCF_016127995.1	Complete Genome	species-match	OK
1167628	GCF_000269805.1	Scaffold	below-threshold-mismatch	OK
1288391	GCF_000295095.1	Scaffold	below-threshold-mismatch	OK
1288828				
644284	GCA_000092365.1	Complete Genome	species-match	OK
312285	GCF_900637955.1	Complete Genome	low-coverage	OK
312286				
1120952	GCA_000425085.1	Scaffold	species-match	OK
1121925	GCF_900167405.1	Scaffold	below-threshold-mismatch	OK
218936	GCF_014892695.1	Complete Genome	species-match	OK
271417	GCF_000388115.1	Contig	below-threshold-mismatch	OK
196024	GCF_020405345.1	Complete Genome	species-match	OK
70856	GCF_000820025.1	Scaffold	below-threshold-mismatch	OK
440079	GCF_003265465.1	Scaffold	species-match	OK
591962	GCF_000819885.1	Scaffold	below-threshold-mismatch	OK
633417	GCF_000820165.1	Scaffold	species-match	OK
633415	GCF_000820085.1	Scaffold	below-threshold-mismatch	OK
648794	GCF_020149575.1	Complete Genome	species-match	OK
346183				
981381				
595494	GCF_000023065.1	Complete Genome	below-threshold-mismatch	OK
675874	GCF_014202415.1	Scaffold	below-threshold-mismatch	OK
347534	GCF_002407485.1	Complete Genome	species-match	OK
546114				
659013				
414049				
516702	GCF_014651835.1	Scaffold	below-threshold-mismatch	OK
659016	GCF_004153445.1	Scaffold	species-match	OK
453575	GCF_004153455.1	Contig	low-coverage	OK
657015	GCF_004153685.1	Contig	species-match	OK
521	GCF_000070465.1	Complete Genome	species-match	OK
123899	GCF_900445945.1	Contig	species-match	OK
310575	GCF_000219915.2	Complete Genome	below-threshold-mismatch	OK
302406	GCF_000521505.1	Complete Genome	below-threshold-mismatch	OK
285091	GCF_000300005.1	Complete Genome	species-match	OK
413232	GCF_025532145.1	Contig	below-threshold-mismatch	OK
523791	GCF_000024085.1	Complete Genome	below-threshold-mismatch	OK
1122134	GCF_000374105.1	Scaffold	below-threshold-mismatch	OK
796379	GCF_003194565.2	Contig	below-threshold-mismatch	OK
1255277	GCF_001544355.1	Contig	low-coverage	OK
252246	GCF_900156755.1	Scaffold	below-threshold-mismatch	OK
392010	GCF_004366795.1	Scaffold	below-threshold-mismatch	OK
1120971	GCF_000429525.1	Scaffold	low-coverage	OK
392011	GCF_026651875.1	Complete Genome	low-coverage	OK
1220571	GCF_001552655.1	Contig	below-threshold-mismatch	OK
392015	GCF_900116805.1	Scaffold	low-coverage	OK
1220573	GCF_001552255.1	Contig	below-threshold-mismatch	OK
1120973	GCF_000376225.1	Contig	low-coverage	OK
471514	GCF_001399675.1	Contig	low-coverage	OK
226011	GCF_020687825.1	Scaffold	low-coverage	OK
1120953	GCF_000429145.1	Scaffold	low-coverage	OK
111143				
453835	GCF_000280055.1	Contig	below-threshold-mismatch	OK
1129374	GCF_000245735.1	Contig	below-threshold-mismatch	OK
553384	GCF_000272005.1	Contig	below-threshold-mismatch	OK
